idx,input,original,original_bits,reimpl,reimpl_bits,match,err_original,err_reimpl
0,0,0,0x00000000,0,0x00000000,True,,
1,1,1,0x3f800000,1,0x3f800000,True,,
2,4,0.5,0x3f000000,0.5,0x3f000000,True,,
3,16,0.25,0x3e800000,0.25,0x3e800000,True,,
4,0.25,2,0x40000000,2,0x40000000,True,,
5,0.5,1.4142135381698608,0x3fb504f3,1.4142135381698608,0x3fb504f3,True,,
6,2,0.7071067690849304,0x3f3504f3,0.7071067690849304,0x3f3504f3,True,,
7,9,0.3333333432674408,0x3eaaaaab,0.3333333432674408,0x3eaaaaab,True,,
8,100,0.10000000149011612,0x3dcccccd,0.10000000149011612,0x3dcccccd,True,,
9,81,0.1111111119389534,0x3de38e39,0.1111111119389534,0x3de38e39,True,,
10,1024,0.03125,0x3d000000,0.03125,0x3d000000,True,,
11,1000000,0.0010000319452956319,0x3a831381,0.0010000319452956319,0x3a831381,True,,
12,1e-06,1000.1126708984375,0x447a0736,1000.1126708984375,0x447a0736,True,,
13,0.001,31.62392234802246,0x41fcfdcb,31.62392234802246,0x41fcfdcb,True,,
14,1.5,0.8164965510368347,0x3f5105eb,0.8164965510368347,0x3f5105eb,True,,
15,12345.6,0.009000612422823906,0x3c13774e,0.009000612422823906,0x3c13774e,True,,
16,0.000123,90.15817260742188,0x42b450fc,90.15817260742188,0x42b450fc,True,,
17,7.7,0.3603932559490204,0x3eb88577,0.3603932559490204,0x3eb88577,True,,
