idx,input,original,original_bits,reimpl,reimpl_bits,match,err_original,err_reimpl
0,0,0,0x00000000,0,0x00000000,True,,
1,1,1,0x3f800000,1,0x3f800000,True,,
2,4,2,0x40000000,2,0x40000000,True,,
3,9,3,0x40400000,3,0x40400000,True,,
4,16,4,0x40800000,4,0x40800000,True,,
5,25,5,0x40a00000,5,0x40a00000,True,,
6,100,10,0x41200000,10,0x41200000,True,,
7,10000,100,0x42c80000,100,0x42c80000,True,,
8,0.25,0.5,0x3f000000,0.5,0x3f000000,True,,
9,0.5,0.7071067690849304,0x3f3504f3,0.7071067690849304,0x3f3504f3,True,,
10,2,1.4142135381698608,0x3fb504f3,1.4142135381698608,0x3fb504f3,True,,
11,3,1.7320507764816284,0x3fddb3d7,1.7320507764816284,0x3fddb3d7,True,,
12,1000000,999.968017578125,0x4479fdf4,999.968017578125,0x4479fdf4,True,,
13,1e-06,0.0009998873574659228,0x3a830ea7,0.0009998873574659228,0x3a830ea7,True,,
14,6789,82.40145874023438,0x42a4cd8c,82.40145874023438,0x42a4cd8c,True,,
15,1234.5,35.13545227050781,0x420c8ab4,35.13545227050781,0x420c8ab4,True,,
16,12.34,3.5128114223480225,0x4060d1e7,3.5128114223480225,0x4060d1e7,True,,
17,81,9,0x41100000,9,0x41100000,True,,
