idx,input,original,original_bits,reimpl,reimpl_bits,match,err_original,err_reimpl
0,0,,,,,True,access violation accessing 0xc,access violation accessing 0xc
1,90,,,,,True,access violation accessing 0xc,access violation accessing 0xc
2,180,,,,,True,access violation accessing 0xc,access violation accessing 0xc
3,270,,,,,True,access violation accessing 0xc,access violation accessing 0xc
4,-90,,,,,True,access violation accessing 0xc,access violation accessing 0xc
5,45,,,,,True,access violation accessing 0xc,access violation accessing 0xc
6,1,,,,,True,access violation accessing 0xc,access violation accessing 0xc
7,-1,,,,,True,access violation accessing 0xc,access violation accessing 0xc
8,360,,,,,True,access violation accessing 0xc,access violation accessing 0xc
9,0,,,,,True,access violation accessing 0xc,access violation accessing 0xc
