idx,input,original,original_bits,reimpl,reimpl_bits,match,err_original,err_reimpl
0,3735928559,3735928559,0xdeadbeef,3735928559,0xdeadbeef,True,,
1,3405691582,3405691582,0xcafebabe,3405691582,0xcafebabe,True,,
2,305419896,305419896,0x12345678,305419896,0x12345678,True,,
3,4294967295,4294967295,0xffffffff,4294967295,0xffffffff,True,,
4,2147483648,2147483648,0x80000000,2147483648,0x80000000,True,,
5,1,1,0x00000001,1,0x00000001,True,,
6,1431655765,1431655765,0x55555555,1431655765,0x55555555,True,,
7,2863311530,2863311530,0xaaaaaaaa,2863311530,0xaaaaaaaa,True,,
8,1065353216,1065353216,0x3f800000,1065353216,0x3f800000,True,,
9,3203386110,3203386110,0xbeefcafe,3203386110,0xbeefcafe,True,,
