idx,input,original,original_bits,reimpl,reimpl_bits,match,err_original,err_reimpl
0,"[0, 0, 0]",0,0x00000000,0,0x00000000,True,,
1,"[1, 0, 0]",1,0x3f800000,1,0x3f800000,True,,
2,"[0, 1, 0]",1,0x3f800000,1,0x3f800000,True,,
3,"[0, 0, 1]",1,0x3f800000,1,0x3f800000,True,,
4,"[3, 4, 0]",5,0x40a00000,5,0x40a00000,True,,
5,"[-3, 4, 0]",5,0x40a00000,5,0x40a00000,True,,
6,"[3, -4, 0]",5,0x40a00000,5,0x40a00000,True,,
7,"[1, 1, 1]",1.7320507764816284,0x3fddb3d7,1.7320507764816284,0x3fddb3d7,True,,
8,"[-1, -1, -1]",1.7320507764816284,0x3fddb3d7,1.7320507764816284,0x3fddb3d7,True,,
9,"[2, 3, 6]",7,0x40e00000,7,0x40e00000,True,,
10,"[10, 0, 0]",10,0x41200000,10,0x41200000,True,,
11,"[100, 100, 100]",173.205078125,0x432d3480,173.205078125,0x432d3480,True,,
12,"[0.001, 0.001, 0.001]",0.0017319901380687952,0x3ae303f2,0.0017319901380687952,0x3ae303f2,True,,
13,"[12.34, -56.78, 90.12]",107.21939849853516,0x42d67055,107.21939849853516,0x42d67055,True,,
14,"[1.5, 2.5, 3.5]",4.5552167892456055,0x4091c456,4.5552167892456055,0x4091c456,True,,
15,"[-99.99, 99.99, -99.99]",173.18199157714844,0x432d2e97,173.18199157714844,0x432d2e97,True,,
16,"[1e-06, 1e-06, 1e-06]",1.7321277709925198e-06,0x35e87b75,1.7321277709925198e-06,0x35e87b75,True,,
17,"[1234.5, 6789, -4321]",8141.8466796875,0x45fe6ec6,8141.8466796875,0x45fe6ec6,True,,
