[--] fn=FUN_0056bce0 PATCHBYTE installed=e9 uninstalled=83 A/B-IS-REAL
[0] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[1] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[2] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[3] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[4] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[5] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[6] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[7] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[8] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[9] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[10] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[11] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[12] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[13] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[14] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[15] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[16] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[17] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[18] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[19] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[20] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[21] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[22] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[23] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[24] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[25] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[26] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[27] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[28] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[29] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[30] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[31] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[32] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[33] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[34] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[35] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[36] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[37] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[38] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[39] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[40] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[41] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[42] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[43] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[44] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[45] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[46] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
[47] fn=FUN_0056bce0 rva=0056bce0 idx=1127 ndiff=0 OK fields=0/4
