rva	name	confidence	file_class	file	linked	scenario	frida	readiness
000b6770	PizWin32Close	C2	cpp	compat/pizwin32bypass.cpp	yes	no		2.2
004030d0	FUN_004030d0	C2	doc	re/analysis/timer_d2/0x004030d0.md	no	yes		1.2
004046a0	FUN_004046a0	C2	doc	re/analysis/timer_d3_cont1_a/0x004046a0.md	no	yes		1.2
004073b0	FUN_004073b0	C2	doc	re/analysis/timer_d3_cont1_a/0x004073b0.md	no	yes		1.2
00407600	Player::GetPositionPtr	C2	doc	re/analysis/profile_career_d4/report.md	no	yes		1.2
00408b00	FUN_00408b00	C2	doc	re/analysis/game_state_d5_cont2/0x00408b00.md	no	yes		1.2
00409290	FUN_00409290	C2	doc	re/analysis/game_state_d5_cont2/0x00409290.md	no	yes		1.2
0040b180	FUN_0040b180	C2	doc	re/analysis/timer_d3_cont1_a/0x0040b180.md	no	yes		1.2
0040bd80	FUN_0040bd80	C2	doc	re/analysis/timer_d3_cont1_a/0x0040bd80.md	no	yes		1.2
0040dbd0	FUN_0040dbd0	C2	doc	re/analysis/timer_d3_cont1_a/0x0040dbd0.md	no	yes		1.2
00410860	FUN_00410860	C2	doc	re/analysis/timer_d3_cont1_a/0x00410860.md	no	yes		1.2
004111c0	FUN_004111c0	C2	doc	re/analysis/timer_d2/0x004111c0.md	no	yes		1.2
00412f30	FUN_00412f30	C2	doc	re/analysis/util_c0_promote/0x00412f30.md	no	yes		1.2
00414060	FUN_00414060	C2	doc	re/analysis/timer_d3_cont1_a/0x00414060.md	no	yes		1.2
00414180	FUN_00414180	C2	doc	re/analysis/timer_d3_cont1_a/0x00414180.md	no	yes		1.2
00414220	FUN_00414220	C2	doc	re/analysis/timer_d3_cont1_a/0x00414220.md	no	yes		1.2
0041cb80	sub_0041cb80	C2	doc	re/analysis/timer_d3_cont1_b/0x0041cb80.md	no	yes		1.2
0041d730	sub_0041d730	C2	doc	re/analysis/timer_d3_cont1_b/0x0041d730.md	no	yes		1.2
0041f120	Player::ComputeVehicleToCameraVec	C2	doc	re/analysis/profile_career_d4/report.md	no	yes		1.2
0041f1e0	FUN_0041f1e0	C2	doc	re/analysis/util_c0_promote/0x0041f1e0.md	no	yes		1.2
004219f0	FUN_004219f0	C2	doc	re/analysis/random_rng_d2/0x004219f0.md	no	yes		1.2
00421d20	FUN_00421d20	C2	doc	re/analysis/random_rng_d2/0x00421d20.md	no	yes		1.2
00424eb0	FUN_00424eb0	C2	doc	re/analysis/util_c0_promote/0x00424eb0.md	no	yes		1.2
00429bd0	FUN_00429bd0	C2	doc	re/analysis/util_c0_promote/0x00429bd0.md	no	yes		1.2
0042c300	FUN_0042c300	C2	doc	re/analysis/localization_d2/0x0042c300.md	no	yes		1.2
0042c3c0	FUN_0042c3c0	C2	doc	re/analysis/localization_d2/0x0042c3c0.md	no	yes		1.2
0042c7c0	FUN_0042c7c0	C2	doc	re/analysis/localization_d2/0x0042c7c0.md	no	yes		1.2
00441700	Camera::SetupFOV	C2	doc	re/analysis/profile_career_d4/report.md	no	yes		1.2
00441760	Camera::Apply	C2	doc	re/analysis/profile_career_d4/report.md	no	yes		1.2
00441820	CameraPath::SamplePoint	C2	doc	re/analysis/profile_career_d4/report.md	no	yes		1.2
