target_rva	size_bytes	size_kind	reached_via_table	table_addr	slot	new_beyond_137	island_called_slot
0x004c40e0	160	span-est	RwMatrix module globals (DAT_007d3ff8+DAT_007d4028)	0x007d4028	+0x08	1	1
0x004d8560	5	defined	RwpSphere	0x005e4f50	+0x04	1	0
0x004d8560	5	defined	RwpSphere	0x005e4f50	+0x1c	1	1
0x004d8560	5	defined	RwpBox	0x005e4fe0	+0x04	1	0
0x004d8560	5	defined	RwpCylinder	0x005e51c8	+0x04	1	0
0x004d8560	5	defined	RwpCapsule	0x005e5338	+0x04	1	0
0x004d8560	5	defined	RwpTriangle	0x005e5db0	+0x04	1	0
0x004d8560	5	defined	RwpNull	0x005e5e50	+0x04	1	0
0x0055c560	32	span-est	RwpSphere	0x005e4f50	+0x08	1	1
0x0055c580	80	span-est	RwpSphere	0x005e4f50	+0x0c	1	0
0x0055c5d0	160	span-est	RwpSphere	0x005e4f50	+0x10	1	1
0x0055c670	16	span-est	RwpSphere	0x005e4f50	+0x14	1	1
0x0055c680	64	span-est	RwpSphere	0x005e4f50	+0x18	1	1
0x0055c6c0	32	span-est	RwpSphere	0x005e4f50	+0x20	1	1
0x0055c6e0	304	span-est	RwpSphere	0x005e4f50	+0x28	1	0
0x0055c840	80	span-est	RwpBox	0x005e4fe0	+0x08	1	1
0x0055c890	864	span-est	RwpBox	0x005e4fe0	+0x0c	1	0
0x0055cbf0	336	span-est	RwpBox	0x005e4fe0	+0x10	1	1
0x0055cd40	129	defined	RwpBox	0x005e4fe0	+0x14	1	1
0x0055cdd0	992	span-est	RwpBox	0x005e4fe0	+0x18	1	1
0x0055d1b0	192	span-est	RwpBox	0x005e4fe0	+0x1c	1	1
0x0055d270	112	span-est	RwpBox	0x005e4fe0	+0x24	1	1
0x0055d2e0	80	span-est	RwpBox	0x005e4fe0	+0x20	1	1
0x0055d330	352	span-est	RwpBox	0x005e4fe0	+0x28	1	0
0x0055e470	48	span-est	RwpCylinder	0x005e51c8	+0x08	1	1
0x0055e4a0	112	span-est	RwpCylinder	0x005e51c8	+0x0c	1	0
0x0055e510	416	span-est	RwpCylinder	0x005e51c8	+0x10	1	1
0x0055e6b0	320	span-est	RwpCylinder	0x005e51c8	+0x14	1	1
0x0055e7f0	928	span-est	RwpCylinder	0x005e51c8	+0x18	1	1
0x0055eb90	48	span-est	RwpCylinder	0x005e51c8	+0x24	1	1
0x0055ebc0	96	span-est	RwpCylinder	0x005e51c8	+0x20	1	1
0x0055ec20	3040	span-est	RwpCylinder	0x005e51c8	+0x28	1	0
0x00562640	32	span-est	RwpTrilist	0x005e52a8	+0x04	1	0
0x00562660	269	defined	RwpTrilist	0x005e52a8	+0x08	1	1
0x00562770	304	span-est	RwpTrilist	0x005e52a8	+0x0c	1	0
0x005628a0	368	span-est	RwpTrilist	0x005e52a8	+0x10	1	1
0x00562a10	16	span-est	RwpTrilist	0x005e52a8	+0x14	1	1
0x00562a10	16	span-est	RwpGrid	0x005e54c0	+0x14	1	0
0x00562a20	64	span-est	RwpTrilist	0x005e52a8	+0x24	1	1
0x00562a60	1392	span-est	RwpTrilist	0x005e52a8	+0x20	1	1
0x00563000	32	span-est	RwpCapsule	0x005e5338	+0x08	1	1
0x00563020	112	span-est	RwpCapsule	0x005e5338	+0x0c	1	0
0x00563090	176	span-est	RwpCapsule	0x005e5338	+0x10	1	1
0x00563140	64	span-est	RwpCapsule	0x005e5338	+0x14	1	1
0x00563180	240	span-est	RwpCapsule	0x005e5338	+0x18	1	1
0x00563270	48	span-est	RwpCapsule	0x005e5338	+0x1c	1	1
0x005632a0	48	span-est	RwpCapsule	0x005e5338	+0x20	1	1
0x005632d0	272	span-est	RwpCapsule	0x005e5338	+0x28	1	0
0x005668e0	194	defined	RwpGrid	0x005e54c0	+0x04	1	0
0x005669b0	48	span-est	RwpGrid	0x005e54c0	+0x08	1	0
0x005669e0	128	span-est	RwpGrid	0x005e54c0	+0x0c	1	0
0x00566a60	64	span-est	RwpGrid	0x005e54c0	+0x10	1	0
0x00566aa0	96	span-est	RwpGrid	0x005e54c0	+0x24	1	0
0x00569140	1712	span-est	scene-ctor FUN_0055f800 field	0x0055f800	+0xf4	1	1
0x005697f0	3168	span-est	scene-ctor FUN_0055f800 field	0x0055f800	+0xf8	1	1
0x0056a450	835	defined	scene-ctor FUN_0055f800 field	0x0055f800	+0xf4	1	1
0x0056adb0	1369	defined	scene-ctor FUN_0055f800 field	0x0055f800	+0xf8	1	1
0x0056b310	1168	span-est	scene-ctor FUN_0055f800 field	0x0055f800	+0x404	1	1
0x00574110	32	span-est	RwpAggregate	0x005e5900	+0x04	1	0
0x00574130	64	span-est	RwpAggregate	0x005e5900	+0x08	1	0
0x00574170	112	span-est	RwpAggregate	0x005e5900	+0x0c	1	0
0x005741e0	64	span-est	RwpAggregate	0x005e5900	+0x10	1	0
0x00574220	16	span-est	RwpAggregate	0x005e5900	+0x14	1	0
