subsystem	rva	name	note
frontend	00428140	FUN_00428140	re/analysis/frontend_c1_to_c2_s5/FUN_00428140.md
frontend	004288a0	FUN_004288a0	re/analysis/frontend_c1_to_c2_s5/FUN_004288a0.md
frontend	00428a30	FUN_00428a30	re/analysis/frontend_c1_to_c2_s5/FUN_00428a30.md
frontend	00428bf0	FUN_00428bf0	re/analysis/frontend_c1_to_c2_s5/FUN_00428bf0.md
frontend	00423b00	FUN_00423b00	re/analysis/frontend_gate_unblock_u/0x00423b00.md
frontend	004241c0	FUN_004241c0	re/analysis/frontend_c1_to_c2_s3/FUN_004241c0.md
frontend	00424270	FUN_00424270	re/analysis/frontend_c1_to_c2_s3/FUN_00424270.md
frontend	00424b80	FUN_00424b80	re/analysis/frontend_c1_to_c2_s3/FUN_00424b80.md
frontend	00425b90	FUN_00425b90	re/analysis/frontend_c1_to_c2_s3/FUN_00425b90.md
frontend	00425bf0	FUN_00425bf0	re/analysis/frontend_c1_to_c2_s3/FUN_00425bf0.md
frontend	00425c00	FUN_00425c00	re/analysis/frontend_c1_to_c2_s3/FUN_00425c00.md
frontend	00425ca0	FUN_00425ca0	re/analysis/frontend_c1_to_c2_s3/FUN_00425ca0.md
frontend	00426b40	FUN_00426b40	re/analysis/frontend_c1_to_c2_s4/FUN_00426b40.md
frontend	00426cb0	FUN_00426cb0	re/analysis/frontend_c1_to_c2_s4/FUN_00426cb0.md
frontend	00426d20	FUN_00426d20	re/analysis/frontend_c1_to_c2_s5/FUN_00426d20.md
frontend	00426d90	FUN_00426d90	re/analysis/frontend_c1_to_c2_s5/FUN_00426d90.md
frontend	00426de0	FUN_00426de0	re/analysis/frontend_c1_to_c2_s5/FUN_00426de0.md
frontend	00426df0	FUN_00426df0	re/analysis/frontend_c1_to_c2_s5/FUN_00426df0.md
frontend	004273e0	FUN_004273e0	re/analysis/frontend_c1_to_c2_s5/FUN_004273e0.md
frontend	00427580	FUN_00427580	re/analysis/frontend_c1_to_c2_s5/FUN_00427580.md
frontend	00427880	FUN_00427880	re/analysis/frontend_c1_to_c2_s5/FUN_00427880.md
frontend	004893d0	FUN_004893d0	re/analysis/bucket_0041dc30/0x004893d0.md
gameplay	00417450	FUN_00417450	re/analysis/frontend_gate_unblock_u/0x00417450.md
gameplay	00417530	FUN_00417530	re/analysis/frontend_gate_unblock_u/0x00417530.md
gameplay	0041f880	FUN_0041f880	re/analysis/frontend_gate_unblock_u/0x0041f880.md
gameplay	00461e90	FUN_00461e90	re/analysis/bucket_gameplay_0045dff0_0046dd90/0x00461e90.md
gameplay	0046bce0	FUN_0046bce0	re/analysis/bucket_gameplay_0045dff0_0046dd90/0x0046bce0.md
gameplay	0046bd60	FUN_0046bd60	re/analysis/bucket_gameplay_0045dff0_0046dd90/0x0046bd60.md
gameplay	0046be10	FUN_0046be10	re/analysis/bucket_gameplay_0045dff0_0046dd90/0x0046be10.md
gameplay	0046be50	FUN_0046be50	re/analysis/bucket_gameplay_0045dff0_0046dd90/0x0046be50.md
gameplay	0046d2e0	FUN_0046d2e0	re/analysis/bucket_gameplay_0045dff0_0046dd90/0x0046d2e0.md
gameplay	0046d740	FUN_0046d740	re/analysis/bucket_gameplay_0045dff0_0046dd90/0x0046d740.md
gameplay	0046dd90	FUN_0046dd90	re/analysis/bucket_gameplay_0045dff0_0046dd90/0x0046dd90.md
particle	0049c6b0	FUN_0049c6b0	re/analysis/particle_promote_ad1/0049c6b0.md
particle	0049eca0	FUN_0049eca0	re/analysis/particle_promote_ad5/0049eca0.md
particle	0049ecc0	FUN_0049ecc0	re/analysis/particle_promote_ad5/0049ecc0.md
particle	0049ef10	FUN_0049ef10	re/analysis/particle_promote_ad5/0049ef10.md
particle	0049ef60	FUN_0049ef60	re/analysis/particle_promote_ad5/0049ef60.md
particle	0049f030	FUN_0049f030	re/analysis/particle_promote_ad5/0049f030.md
particle	0049f180	FUN_0049f180	re/analysis/particle_promote_ad5/0049f180.md
particle	0049f1b0	FUN_0049f1b0	re/analysis/particle_promote_ad5/0049f1b0.md
particle	0049f1e0	FUN_0049f1e0	re/analysis/particle_promote_ad5/0049f1e0.md
particle	0049f2b0	FUN_0049f2b0	re/analysis/particle_promote_ad5/0049f2b0.md
particle	0049f2e0	FUN_0049f2e0	re/analysis/particle_promote_ad5/0049f2e0.md
particle	0049f420	FUN_0049f420	re/analysis/particle_promote_ad6/0x0049f420.md
particle	0049f4d0	FUN_0049f4d0	re/analysis/particle_promote_ad6/0x0049f4d0.md
particle	0049f5b0	FUN_0049f5b0	re/analysis/particle_promote_ad6/0x0049f5b0.md
particle	0049f690	FUN_0049f690	re/analysis/particle_promote_ad6/0x0049f690.md
particle	0049f830	FUN_0049f830	re/analysis/particle_promote_ad6/0x0049f830.md
particle	0049f950	FUN_0049f950	re/analysis/particle_promote_ad6/0x0049f950.md
particle	0049fa40	FUN_0049fa40	re/analysis/particle_promote_ad6/0x0049fa40.md
particle	0049fcc0	FUN_0049fcc0	re/analysis/particle_promote_ad6/0x0049fcc0.md
particle	0049fe10	FUN_0049fe10	re/analysis/particle_promote_ad6/0x0049fe10.md
particle	0049ff30	FUN_0049ff30	re/analysis/particle_promote_ad6/0x0049ff30.md
particle	0049ff60	FUN_0049ff60	re/analysis/particle_promote_ad6/0x0049ff60.md
particle	0049ffe0	FUN_0049ffe0	re/analysis/particle_promote_ad6/0x0049ffe0.md
particle	004b4000	FUN_004b4000	re/analysis/particle_promote_ad6/0x004b4000.md
