rva	name	note
004c2f60	FUN_004c2f60	re/analysis/render_promote_c2_rw_plugin/0x004c2f60.md
004d7ca0	FUN_004d7ca0	re/analysis/render_6_c1_to_c2_s3/004d7ca0.md
004d8060	FUN_004d8060	re/analysis/render_6_c1_to_c2_s3/004d8060.md
004a2d18	FUN_004a2d18	re/analysis/rw_engine_init_d2/004a2d18.md
004cbc90	FUN_004cbc90	re/analysis/render_4_c1_to_c2_s6/FUN_004cbc90.md
004c8690	FUN_004c8690	re/analysis/promote_c2_render_d3d9/0x004c8690.md
004c8e50	FUN_004c8e50	re/analysis/promote_c2_render_d3d9/0x004c8e50.md
004cc9f0	RwFreeListDestroy	re/analysis/promote_c2_render_d3d9/0x004cc9f0.md
00462950	FUN_00462950	re/analysis/render_c1_to_c2_s3/FUN_00462950.md
00492440	sub_00492440	re/analysis/skeleton_prep_boot_winmain_a/00492440.md
004d1d70	FUN_004d1d70	re/analysis/render_5_c1_to_c2_s4/FUN_004d1d70.md
004cba80	FUN_004cba80	re/analysis/render_4_c1_to_c2_s6/FUN_004cba80.md
004ad1e0	FUN_004ad1e0	re/analysis/rw_engine_init_d3/004ad1e0.md
004e6680	RpClumpRender	re/analysis/frontend_gate_unblock_u/0x004e6680.md
004b46b0	FUN_004b46b0	re/analysis/render_3_c1_to_c2_s3/FUN_004b46b0.md
0045de80	FUN_0045de80	re/analysis/render_c1_to_c2_s3/FUN_0045de80.md
004c77c0	FUN_004c77c0	re/analysis/texture_loader_d3/0x004c77c0.md
004cc400	FUN_004cc400	re/analysis/texture_loader_d3/0x004cc400.md
004cc4f0	FUN_004cc4f0	re/analysis/render_5_c1_to_c2_s1/FUN_004cc4f0.md
004cdd60	FUN_004cdd60	re/analysis/texture_loader_d3/0x004cdd60.md
004d8430	rwID_ERRORMODULE_ctor	re/analysis/render_6_c1_to_c2_s4/0x004d8430.md
004d8470	rwID_ERRORMODULE_dtor	re/analysis/render_6_c1_to_c2_s4/0x004d8470.md
004d8530	rwID_PIPEMODULE_ctor	re/analysis/render_6_c1_to_c2_s4/0x004d8530.md
004d8550	rwID_PIPEMODULE_dtor	re/analysis/render_6_c1_to_c2_s4/0x004d8550.md
004d8fa0	rwID_CHUNKGROUPMODULE_ctor	re/analysis/render_6_c1_to_c2_s4/0x004d8fa0.md
004d8a80	rwID_RESOURCESMODULE_ctor	re/analysis/render_6_c1_to_c2_s4/0x004d8a80.md
004d8b70	rwID_RESOURCESMODULE_dtor	re/analysis/render_6_c1_to_c2_s4/0x004d8b70.md
004c4600	RwMatrixMultiply	re/analysis/render_pipeline_d3/004c4600.md
004cc7e0	FUN_004cc7e0	re/analysis/render_5_c1_to_c2_s1/FUN_004cc7e0.md
004d7c60	FUN_004d7c60	re/analysis/render_6_c1_to_c2_s3/004d7c60.md
