rva	name	note	callee_n
00428140	FUN_00428140	re/analysis/frontend_c1_to_c2_s5/FUN_00428140.md	0
00473540	FUN_00473540	re/analysis/hud_frontend/0x00473540.md	4
004274e0	FUN_004274e0	re/analysis/skeleton_prep_game_state/004274e0.md	6
00493fd0	sub_00493fd0	re/analysis/intro_splash/0x00493fd0.md	3
00494460	sub_00494460	re/analysis/skeleton_prep_boot_winmain_a/00494460.md	5
00494a80	sub_00494a80	re/analysis/intro_splash/0x00494a80.md	6
004d8c40	FUN_004d8c40	re/analysis/intro_splash_d3/0x004d8c40.md	2
004335f0	FUN_004335f0	re/analysis/hud_frontend_d2/0x004335f0.md	34
0043a610	FUN_0043a610	re/analysis/hud_frontend_d2/0x0043a610.md	19
0043af10	FUN_0043af10	re/analysis/hud_frontend_d2/0x0043af10.md	79
00434720	FUN_00434720	re/analysis/hud_frontend_d2/0x00434720.md	132
00431240	FUN_00431240	re/analysis/hud_frontend_d2/0x00431240.md	22
004314b0	FUN_004314b0	re/analysis/hud_frontend_d2/0x004314b0.md	25
00431710	FUN_00431710	re/analysis/hud_frontend_d2/0x00431710.md	24
0043aa30	FUN_0043aa30	re/analysis/hud_frontend_d2/0x0043aa30.md	23
00430120	FUN_00430120	re/analysis/hud_frontend_d2/0x00430120.md	7
0042bcb0	FUN_0042bcb0	re/analysis/c0_promotion_frontend_a/0x0042bcb0.md	15
004368e0	FUN_004368e0	re/analysis/hud_frontend_d5/0x004368e0.md	48
00458630	FUN_00458630	re/analysis/frontend_hud_dispatcher_ae2/0x00458630.md	4
004736c0	FUN_004736c0	re/analysis/font_pools_frontend_ae6/0x004736c0.md	19
00403050	FUN_00403050	re/analysis/loading_screen/0x00403050.md	7
0040eee0	FUN_0040eee0	re/analysis/race_results/0040eee0.md	53
0040b290	FUN_0040b290	re/analysis/frontend_c1_to_c2_s1/0040b290.md	24
0040d590	FUN_0040d590	re/analysis/frontend_c1_to_c2_s1/0040d590.md	6
004298c0	FUN_004298c0	re/analysis/frontend_c1_to_c2_s6/FUN_004298c0.md	3
0040acd0	FUN_0040acd0	re/analysis/c0_promotion_frontend_a/0x0040acd0.md	22
00495080	FUN_00495080	re/analysis/game_mode_cont2/0x00495080.md	2
00494f30	FUN_00494f30	re/analysis/game_mode_cont2/0x00494f30.md	4
00448220	Frontend::PostRaceResultCamera	re/analysis/profile_career_d2/FUN_00448220.md	34
004288a0	FUN_004288a0	re/analysis/frontend_c1_to_c2_s5/FUN_004288a0.md	0
00431f30	FUN_00431f30	re/analysis/options_menu/0x00431f30.md	34
0043df00	FUN_0043df00	re/analysis/options_menu/0x0043df00.md	25
00428a30	FUN_00428a30	re/analysis/frontend_c1_to_c2_s5/FUN_00428a30.md	0
00429290	FUN_00429290	re/analysis/skeleton_prep_game_state/00429290.md	6
00428bf0	FUN_00428bf0	re/analysis/frontend_c1_to_c2_s5/FUN_00428bf0.md	0
00401ee0	FUN_00401ee0	re/analysis/frontend_c1_to_c2_s1/00401ee0.md	7
00401da0	FUN_00401da0	re/analysis/frontend_c1_to_c2_s1/00401da0.md	17
004189f0	thunk_FUN_00419760	re/analysis/frontend_c1_to_c2_s1/004189f0.md	12
004215c0	FUN_004215c0	re/analysis/promote_c1_low_ab1/0x004215c0.md	6
004a2b60	FUN_004a2b60	re/analysis/promote_c1_high_ab3/0x004a2b60.md	5
00423b00	FUN_00423b00	re/analysis/frontend_gate_unblock_u/0x00423b00.md	0
00497b60	FUN_00497b60	re/analysis/cluster_0049_first_pass/00497b60.md	9
0041dc30	FUN_0041dc30	re/analysis/frontend_c1_to_c2_s1/0041dc30.md	5
00422470	FUN_00422470	re/analysis/frontend_c1_to_c2_s1/00422470.md	9
004224d0	FUN_004224d0	re/analysis/frontend_c1_to_c2_s1/004224d0.md	19
00424270	FUN_00424270	re/analysis/frontend_c1_to_c2_s3/FUN_00424270.md	0
00424b80	FUN_00424b80	re/analysis/frontend_c1_to_c2_s3/FUN_00424b80.md	0
00425b90	FUN_00425b90	re/analysis/frontend_c1_to_c2_s3/FUN_00425b90.md	0
00425bf0	FUN_00425bf0	re/analysis/frontend_c1_to_c2_s3/FUN_00425bf0.md	0
00425c00	FUN_00425c00	re/analysis/frontend_c1_to_c2_s3/FUN_00425c00.md	0
00426c50	FUN_00426c50	re/analysis/frontend_c1_to_c2_s4/FUN_00426c50.md	2
0042a640	FUN_0042a640	re/analysis/frontend_c1_to_c2_s6/FUN_0042a640.md	6
0042add0	FUN_0042add0	re/analysis/frontend_c1_to_c2_s6/FUN_0042add0.md	3
00430250	FUN_00430250	re/analysis/bucket_0041dc30/0x00430250.md	2
00431b70	FUN_00431b70	re/analysis/bucket_0041dc30/0x00431b70.md	1
00432450	FUN_00432450	re/analysis/bucket_0041dc30/0x00432450.md	8
004332a0	FUN_004332a0	re/analysis/bucket_0041dc30/0x004332a0.md	16
0043aee0	FUN_0043aee0	re/analysis/bucket_0041dc30/0x0043aee0.md	4
