==============================================================================
batch_t.txt  —  Mashed C1 brute-force  —  2026-05-18
==============================================================================

Mode:           Opus 1M first-pass C0/unmapped -> C1 discovery
Sessions:       6
RVAs per sess:  80  (Opus 1M hard cap 100; default 80)
Total RVAs:     480
Pool slots:     Mashed_pool1..Mashed_pool6 (0,9,10-15 locked at batch-gen time)
Anchor binary:  original/MASHED.exe SHA-256
                BDCAE093A30FBF226BDD852B9C36798A987AEE33B3AE82BF7404B0336EFD3C0E
Pool dir:       C:/Users/maria/Desktop/Proyectos/Mashed/mashed_pool

Read this BEFORE starting any session:
- .claude/skills/discover-c1-batch/SKILL.md  (Opus 1M caps section)
- .claude/skills/ghidra-pool/SKILL.md         (acquire/release flow)
- re/CONFIDENCE.md                            (C0 -> C1 evidence rubric)
- re/SESSION_RULES.md (search for scribe-queue) (queue-row format)

RW reference catalog (use during decomp inspection — 876 RW names by module):
  re/analysis/plans/rw_function_catalog.tsv

RW string-anchor proposals (audit existing names against boot-log strings):
  re/analysis/plans/rw_string_anchor_proposals.tsv

Prior art (read-only, vendored 2026-05-18):
  re/prior_art/renderware/librw/                 (RW 3.x reimpl, MIT)
  re/prior_art/renderware/gta-reversed-modern/   (GTA SA RW reversed, source-level)


==============================================================================
Session 1 — bucket_00405400  (FIRST-PASS, 80-RVA discovery)
==============================================================================

Pool slot:    Mashed_pool1 (pre-assigned)
Model:        Opus 4.7 (claude-opus-4-7[1m]) — hard cap 100 RVAs (this session: 80)
Skill:        discover-c1-batch (first-pass; Opus 1M mode)
Bucket dir:   re/analysis/bucket_00405400/
Drains to:    re/SCRIBE_QUEUE.md (Queued); ghidra-sweep picks up later
Address span: 0x00405400 .. 0x00412100  (~18,257 bytes of code)

# Mission
Discover and write C0->C1 plates for 80 unmapped functions in the
contiguous-RVA bucket anchored at 0x00405400. These functions have
no row in hooks.csv and no analysis note. Working hypothesis on subsystem: infer
from xrefs during decomp; report the observed subsystem in the queue row's
`subsystem_observed=` field.

# Pre-flight
```bash
export POOL_SLOT_FILE=".pool_slot_batch_t_s1"
bash scripts/ghidra_pool.sh acquire   # should return Mashed_pool1 if free
sha256sum original/MASHED.exe        # MUST equal BDCAE0...EFD3C0E
```

# Workflow (Opus 1M — bulk-coherent per session)
Read all 80 candidate RVAs first; then decomp them in clusters of ~10-15 at a
time. Opus 1M context lets you keep 80 functions' decomp + cross-refs in scope
simultaneously — exploit this for cross-function naming (recurring callees,
shared globals, repeated string patterns identify clusters).

Per RVA:
  1. mcp__ghidra__function_at <rva>     (or listing_code_unit_at if no fn)
  2. mcp__ghidra__decomp_function       (the body)
  3. mcp__ghidra__function_callees      (depth-1 callees)
  4. mcp__ghidra__function_callers      (subsystem inference)
  5. Cross-ref the RW catalog: if the function's signature/calls/constants
     match an RW API entry, name accordingly and cite catalog row.
  6. Write re/analysis/bucket_00405400/<rva>.md with:
     - frontmatter (rva, name, size_bytes, confidence=C1, callees_depth1,
       callers_noted, opened_in_slot=Mashed_pool1, session_date=2026-05-18)
     - ## Mechanical description (bullets; no speculation; cite addresses)
     - ## Constants (table; cite RVA for each)
     - ## Uncertainties (file U-IDs to UNCERTAINTIES.md)
     - ## Stubs encountered (file S-IDs to STUBS.md)

# Candidates
| # | RVA | Ghidra name | size |
|---|-----|-------------|------|
| 1 | 0x00405400 | FUN_00405400 | 23 |
| 2 | 0x00405430 | FUN_00405430 | 39 |
| 3 | 0x00405540 | FUN_00405540 | 495 |
| 4 | 0x00405730 | FUN_00405730 | 80 |
| 5 | 0x00405780 | FUN_00405780 | 257 |
| 6 | 0x004058b0 | FUN_004058b0 | 15 |
| 7 | 0x004058c0 | FUN_004058c0 | 25 |
| 8 | 0x004058e0 | FUN_004058e0 | 62 |
| 9 | 0x00405920 | FUN_00405920 | 398 |
| 10 | 0x00405ab0 | FUN_00405ab0 | 1192 |
| 11 | 0x00405f60 | FUN_00405f60 | 261 |
| 12 | 0x00406070 | FUN_00406070 | 192 |
| 13 | 0x00406130 | FUN_00406130 | 46 |
| 14 | 0x00406160 | FUN_00406160 | 522 |
| 15 | 0x00406370 | FUN_00406370 | 153 |
| 16 | 0x00406410 | FUN_00406410 | 174 |
| 17 | 0x004064c0 | FUN_004064c0 | 1167 |
| 18 | 0x00406950 | FUN_00406950 | 115 |
| 19 | 0x004069d0 | FUN_004069d0 | 264 |
| 20 | 0x00406ae0 | FUN_00406ae0 | 508 |
| 21 | 0x004074a0 | FUN_004074a0 | 167 |
| 22 | 0x00407550 | FUN_00407550 | 35 |
| 23 | 0x00407580 | FUN_00407580 | 17 |
| 24 | 0x004075a0 | FUN_004075a0 | 6 |
| 25 | 0x004075b0 | FUN_004075b0 | 70 |
| 26 | 0x00407620 | FUN_00407620 | 29 |
| 27 | 0x00407640 | FUN_00407640 | 42 |
| 28 | 0x004077e0 | FUN_004077e0 | 18 |
| 29 | 0x00407800 | FUN_00407800 | 498 |
| 30 | 0x00407a00 | FUN_00407a00 | 24 |
| 31 | 0x00407a20 | FUN_00407a20 | 17 |
| 32 | 0x00407b00 | FUN_00407b00 | 99 |
| 33 | 0x00407b70 | FUN_00407b70 | 98 |
| 34 | 0x00407be0 | FUN_00407be0 | 225 |
| 35 | 0x00407cd0 | FUN_00407cd0 | 157 |
| 36 | 0x00407d70 | FUN_00407d70 | 60 |
| 37 | 0x00407db0 | FUN_00407db0 | 111 |
| 38 | 0x00407e20 | FUN_00407e20 | 1895 |
| 39 | 0x00408590 | FUN_00408590 | 121 |
| 40 | 0x00408610 | FUN_00408610 | 1066 |
| 41 | 0x00409300 | FUN_00409300 | 48 |
| 42 | 0x00409330 | FUN_00409330 | 120 |
| 43 | 0x004093b0 | FUN_004093b0 | 496 |
| 44 | 0x004095a0 | FUN_004095a0 | 211 |
| 45 | 0x004096a0 | FUN_004096a0 | 99 |
| 46 | 0x00409790 | FUN_00409790 | 248 |
| 47 | 0x004098a0 | FUN_004098a0 | 6 |
| 48 | 0x004098d0 | FUN_004098d0 | 33 |
| 49 | 0x00409950 | FUN_00409950 | 26 |
| 50 | 0x00409970 | FUN_00409970 | 41 |
| 51 | 0x00409a80 | FUN_00409a80 | 72 |
| 52 | 0x0040ad40 | FUN_0040ad40 | 74 |
| 53 | 0x0040ad90 | FUN_0040ad90 | 148 |
| 54 | 0x0040ae30 | FUN_0040ae30 | 189 |
| 55 | 0x0040aef0 | FUN_0040aef0 | 409 |
| 56 | 0x0040b420 | FUN_0040b420 | 12 |
| 57 | 0x0040b890 | FUN_0040b890 | 66 |
