==============================================================================
batch_w.txt  -  Mashed C1 brute-force  -  2026-05-18
==============================================================================

Mode:           Opus 1M first-pass C0/unmapped -> C1 discovery
Sessions:       6
RVAs per sess:  80  (Opus 1M hard cap 100; default 80)
Total RVAs:     480
Unmapped pool:  2400 (post-exclusion: batch-v drained 328 RVAs + 6 library bands)
Pool slots:     Mashed_pool1..Mashed_pool6 (verify free at launch)
Anchor binary:  original/MASHED.exe.unpatched SHA-256 (patched MASHED.exe
                differs by design; anchor lives on .unpatched per CLAUDE.md)
                BDCAE093A30FBF226BDD852B9C36798A987AEE33B3AE82BF7404B0336EFD3C0E
Pool dir:       C:/Users/maria/Desktop/Proyectos/Mashed/mashed_pool

Read this BEFORE starting any session:
- .claude/skills/discover-c1-batch/SKILL.md  (Opus 1M caps section)
- .claude/skills/ghidra-pool/SKILL.md         (acquire/release flow)
- re/CONFIDENCE.md                            (C0 -> C1 evidence rubric)
- re/SESSION_RULES.md (search for scribe-queue) (queue-row format)

RW reference catalog (876 RW names by module - use during decomp):
  re/analysis/plans/rw_function_catalog.tsv

Already-named library-residue ranges (DON'T re-discover):
  0x004a0000..0x004b3fff  - MSVC CRT (FidDB-attested, pre-excluded)
  0x0049dcb0..0x004a0000  - DirectShow strmbase static-link (batch-v-s2 finding)
  0x00516bb0..0x0052df40  - libpng + zlib + image-loader (batch-v-s4; batch-t-s4 cont.)
  0x0057c5b0..0x005913c0  - qhull 2002.1 extended (batch-v-s5; batch-t-s5 cont.)
  0x005a0e00..0x005a5017  - qhull print* (Ghidra FidDB)
  0x005c0000..0x005d0000  - MSVC CRT tail (batch-v-s6; 33 FidDB + 23 internal helpers)

If your bucket lands inside one of these ranges, halt per the STOP-AND-ASK
library-residue clause.


==============================================================================
Session 1 - bucket_0041e140  (FIRST-PASS, 80-RVA discovery)
==============================================================================

Pool slot:    Mashed_pool1 (pre-assigned)
Model:        Opus 4.7 (claude-opus-4-7[1m]) - hard cap 100 RVAs (this session: 80)
Skill:        discover-c1-batch (first-pass; Opus 1M mode)
Bucket dir:   re/analysis/bucket_0041e140/
Drains to:    re/SCRIBE_QUEUE.md (Queued); ghidra-sweep picks up later
Address span: 0x0041e140 .. 0x00422440  (~17,152 bytes of code)

# Mission
Discover and write C0->C1 plates for 80 unmapped functions in the
contiguous-RVA bucket anchored at 0x0041e140. These functions have
no row in hooks.csv and no analysis note. Working hypothesis on subsystem:
infer from xrefs during decomp; report in the queue row's `subsystem_observed=`.

# Pre-flight
```bash
export POOL_SLOT_FILE=".pool_slot_batch_w_s1"
bash scripts/ghidra_pool.sh acquire   # should return Mashed_pool1 if free
sha256sum original/MASHED.exe.unpatched  # MUST equal BDCAE0...EFD3C0E
```

# Workflow (Opus 1M - bulk-coherent per session)
Read all candidate RVAs first; then decomp in clusters of ~10-15 at a time.
Opus 1M context keeps all 80 functions' decomp + cross-refs in scope
simultaneously - exploit this for cross-function naming (recurring callees,
shared globals, repeated string patterns).

Per RVA:
  1. mcp__ghidra__function_at <rva>     (or listing_code_unit_at if no fn)
  2. mcp__ghidra__decomp_function       (the body)
  3. mcp__ghidra__function_callees      (depth-1 callees)
  4. mcp__ghidra__function_callers      (subsystem inference)
  5. Cross-ref the RW catalog: signature/calls/constants matching an RW
     API -> name and cite catalog row
  6. Write re/analysis/bucket_0041e140/0x<rva>.md with:
     - frontmatter (rva, name_in_ghidra, size_bytes, confidence=C1,
       callees_depth1, callers_noted, opened_in_slot=Mashed_pool1,
       session_date=2026-05-18)
     - ## Mechanical description (bullets; no speculation; cite addresses)
     - ## Constants (table; cite RVA for each)
     - ## Uncertainties (bare [UNCERTAIN] markers; sweep assigns U-IDs)
     - ## Stubs encountered (bare [STUB] markers; sweep assigns S-IDs)

# Candidates
| # | RVA | Ghidra name | size |
|---|-----|-------------|------|
| 1 | 0x0041e140 | FUN_0041e140 | 6 |
| 2 | 0x0041e150 | FUN_0041e150 | 25 |
| 3 | 0x0041e170 | FUN_0041e170 | 71 |
| 4 | 0x0041e1c0 | FUN_0041e1c0 | 24 |
| 5 | 0x0041e1e0 | FUN_0041e1e0 | 719 |
| 6 | 0x0041e4b0 | FUN_0041e4b0 | 379 |
| 7 | 0x0041e8d0 | FUN_0041e8d0 | 9 |
| 8 | 0x0041e8e0 | FUN_0041e8e0 | 9 |
| 9 | 0x0041e900 | FUN_0041e900 | 9 |
| 10 | 0x0041e910 | FUN_0041e910 | 9 |
| 11 | 0x0041e920 | FUN_0041e920 | 9 |
| 12 | 0x0041e930 | FUN_0041e930 | 9 |
| 13 | 0x0041e940 | FUN_0041e940 | 9 |
| 14 | 0x0041e950 | FUN_0041e950 | 9 |
| 15 | 0x0041e9f0 | FUN_0041e9f0 | 9 |
| 16 | 0x0041ea00 | FUN_0041ea00 | 9 |
| 17 | 0x0041ea20 | FUN_0041ea20 | 9 |
| 18 | 0x0041ea30 | FUN_0041ea30 | 9 |
| 19 | 0x0041ea40 | FUN_0041ea40 | 9 |
| 20 | 0x0041ea50 | FUN_0041ea50 | 9 |
| 21 | 0x0041ea60 | FUN_0041ea60 | 9 |
| 22 | 0x0041ea70 | FUN_0041ea70 | 9 |
| 23 | 0x0041ec00 | FUN_0041ec00 | 182 |
| 24 | 0x0041ecc0 | FUN_0041ecc0 | 173 |
| 25 | 0x0041eeb0 | FUN_0041eeb0 | 172 |
| 26 | 0x0041efe0 | FUN_0041efe0 | 24 |
| 27 | 0x0041f060 | FUN_0041f060 | 46 |
| 28 | 0x0041f0d0 | FUN_0041f0d0 | 33 |
| 29 | 0x0041f100 | FUN_0041f100 | 17 |
| 30 | 0x0041f220 | FUN_0041f220 | 51 |
| 31 | 0x0041f290 | FUN_0041f290 | 36 |
| 32 | 0x0041f2c0 | FUN_0041f2c0 | 52 |
| 33 | 0x0041f300 | FUN_0041f300 | 17 |
| 34 | 0x0041f330 | FUN_0041f330 | 47 |
| 35 | 0x0041f360 | FUN_0041f360 | 44 |
| 36 | 0x0041f3d0 | FUN_0041f3d0 | 281 |
| 37 | 0x0041f4f0 | FUN_0041f4f0 | 158 |
| 38 | 0x0041f590 | FUN_0041f590 | 384 |
| 39 | 0x0041f710 | FUN_0041f710 | 88 |
| 40 | 0x0041f770 | FUN_0041f770 | 257 |
| 41 | 0x0041f880 | FUN_0041f880 | 112 |
| 42 | 0x0041fe10 | FUN_0041fe10 | 384 |
| 43 | 0x00420290 | FUN_00420290 | 168 |
| 44 | 0x00420340 | FUN_00420340 | 217 |
| 45 | 0x00420870 | FUN_00420870 | 970 |
| 46 | 0x00420d80 | FUN_00420d80 | 25 |
| 47 | 0x00420da0 | FUN_00420da0 | 30 |
| 48 | 0x00420dc0 | FUN_00420dc0 | 31 |
| 49 | 0x00420e00 | FUN_00420e00 | 594 |
| 50 | 0x00421060 | FUN_00421060 | 26 |
| 51 | 0x00421080 | FUN_00421080 | 34 |
| 52 | 0x004210b0 | FUN_004210b0 | 55 |
| 53 | 0x004210f0 | FUN_004210f0 | 12 |
| 54 | 0x00421100 | FUN_00421100 | 83 |
| 55 | 0x00421160 | FUN_00421160 | 327 |
| 56 | 0x004212b0 | FUN_004212b0 | 685 |
| 57 | 0x00421560 | FUN_00421560 | 39 |
| 58 | 0x004215e0 | FUN_004215e0 | 65 |
| 59 | 0x00421630 | FUN_00421630 | 95 |
| 60 | 0x00421690 | FUN_00421690 | 22 |
| 61 | 0x004216b0 | FUN_004216b0 | 97 |
| 62 | 0x00421720 | FUN_00421720 | 33 |
| 63 | 0x00421750 | FUN_00421750 | 165 |
| 64 | 0x00421800 | FUN_00421800 | 164 |
| 65 | 0x004218b0 | FUN_004218b0 | 31 |
| 66 | 0x004218d0 | FUN_004218d0 | 87 |
| 67 | 0x00421930 | FUN_00421930 | 35 |
| 68 | 0x00421980 | FUN_00421980 | 26 |
| 69 | 0x00421a90 | FUN_00421a90 | 256 |
| 70 | 0x00421ba0 | FUN_00421ba0 | 99 |
| 71 | 0x00421c10 | FUN_00421c10 | 64 |
| 72 | 0x00421c50 | FUN_00421c50 | 37 |
| 73 | 0x00421c80 | FUN_00421c80 | 144 |
| 74 | 0x004220d0 | FUN_004220d0 | 80 |
| 75 | 0x00422140 | FUN_00422140 | 31 |
| 76 | 0x00422160 | FUN_00422160 | 289 |
| 77 | 0x00422290 | FUN_00422290 | 33 |
| 78 | 0x004223b0 | FUN_004223b0 | 51 |
| 79 | 0x004223f0 | FUN_004223f0 | 72 |
| 80 | 0x00422440 | FUN_00422440 | 45 |

# Output (this session ONLY produces these - does NOT touch hooks.csv)
- 80 per-RVA .md plates in re/analysis/bucket_0041e140/
- ONE queue row appended to re/SCRIBE_QUEUE.md (Queued section):
    2026-05-18  batch-w-s1  rvas=0x...,0x...  bucket=re/analysis/bucket_0041e140
                  subsystem_observed=<X>  notes=<one-line>

# NO COMMITS, NO hooks.csv WRITES
- Do NOT mutate hooks.csv, STUBS.md, UNCERTAINTIES.md, or DEFERRED.md.
  Those are the sweep's / orchestrator's responsibility.
- Do NOT git commit. The orchestrating session commits after all 6
  sessions return.

# STOP-AND-ASK
- function_at returns null AND listing_code_unit_at also null -> skip + note
- Bucket-range turns out to be library residue (any of the 6 already-known
  ranges above OR newly-discovered FidDB-attested cluster) -> halt + report.
  Sessions should NOT promote library residue.
- RW catalog match found but signature mismatches Ghidra decomp -> flag, do
  NOT auto-name; defer to a re-classify pass.
- More than 5 candidates have catalogued [UNCERTAIN] markers above C2 -> halt
- Adjacent functions form a known struct shape (>= 3 share offsets) ->
    optionally produce re/analysis/structs/<name>.md alongside the plates

==============================================================================
Session 2 - bucket_00474d80  (FIRST-PASS, 80-RVA discovery)
==============================================================================

Pool slot:    Mashed_pool2 (pre-assigned)
Model:        Opus 4.7 (claude-opus-4-7[1m]) - hard cap 100 RVAs (this session: 80)
Skill:        discover-c1-batch (first-pass; Opus 1M mode)
Bucket dir:   re/analysis/bucket_00474d80/
Drains to:    re/SCRIBE_QUEUE.md (Queued); ghidra-sweep picks up later
Address span: 0x00474d80 .. 0x0047b420  (~26,272 bytes of code)

# Mission
Discover and write C0->C1 plates for 80 unmapped functions in the
contiguous-RVA bucket anchored at 0x00474d80. These functions have
no row in hooks.csv and no analysis note. Working hypothesis on subsystem:
infer from xrefs during decomp; report in the queue row's `subsystem_observed=`.

# Pre-flight
```bash
export POOL_SLOT_FILE=".pool_slot_batch_w_s2"
bash scripts/ghidra_pool.sh acquire   # should return Mashed_pool2 if free
sha256sum original/MASHED.exe.unpatched  # MUST equal BDCAE0...EFD3C0E
```

# Workflow (Opus 1M - bulk-coherent per session)
Read all candidate RVAs first; then decomp in clusters of ~10-15 at a time.
Opus 1M context keeps all 80 functions' decomp + cross-refs in scope
simultaneously - exploit this for cross-function naming (recurring callees,
shared globals, repeated string patterns).

Per RVA:
  1. mcp__ghidra__function_at <rva>     (or listing_code_unit_at if no fn)
  2. mcp__ghidra__decomp_function       (the body)
  3. mcp__ghidra__function_callees      (depth-1 callees)
  4. mcp__ghidra__function_callers      (subsystem inference)
  5. Cross-ref the RW catalog: signature/calls/constants matching an RW
     API -> name and cite catalog row
  6. Write re/analysis/bucket_00474d80/0x<rva>.md with:
     - frontmatter (rva, name_in_ghidra, size_bytes, confidence=C1,
       callees_depth1, callers_noted, opened_in_slot=Mashed_pool2,
       session_date=2026-05-18)
     - ## Mechanical description (bullets; no speculation; cite addresses)
     - ## Constants (table; cite RVA for each)
     - ## Uncertainties (bare [UNCERTAIN] markers; sweep assigns U-IDs)
     - ## Stubs encountered (bare [STUB] markers; sweep assigns S-IDs)

# Candidates
| # | RVA | Ghidra name | size |
|---|-----|-------------|------|
| 1 | 0x00474d80 | FUN_00474d80 | 34 |
| 2 | 0x00474db0 | FUN_00474db0 | 42 |
| 3 | 0x00474de0 | FUN_00474de0 | 119 |
| 4 | 0x00474e70 | FUN_00474e70 | 186 |
| 5 | 0x00475010 | FUN_00475010 | 45 |
| 6 | 0x00475180 | FUN_00475180 | 72 |
