rva	name	subsystem
004a4bb7	entry	boot
004a4b6e	__amsg_exit	boot
004a5984	CrtSehProlog	boot
004a59bf	CrtSehEpilog	boot
004a8a04	FUN_004a8a04	boot
004aa3fe	__heap_init	boot
004abbea	FUN_004abbea	boot
004abe86	FUN_004abe86	boot
004ac04a	FUN_004ac04a	boot
004a2c2f	FUN_004a2c2f	boot
004a333c	__exit	boot
004a40fe	___onexitinit	boot
004a415e	_atexit	boot
004a467e	_calloc	boot
004a57e4	FUN_004a57e4	boot
004a774d	__mtinitlocks	boot
004a87f7	FUN_004a87f7	boot
004aa3e4	___heap_select	boot
004aa44f	___sbh_heap_init	boot
004ab8d6	FUN_004ab8d6	boot
004aba4d	__FF_MSGBANNER	boot
004a2cbd	FID_conflict:_wprintf	render
004a45fb	_malloc	boot
004a460d	_free	boot
004a9410	_strlen	boot
004aaff0	_memcpy	boot
004abd1a	FUN_004abd1a	boot
004ac560	FUN_004ac560	boot
004ae29f	___crtInitCritSecAndSpinCount	boot
004af2b6	___initmbctable	boot
004affe0	FUN_004affe0	boot
004a2be9	__security_check_cookie	boot
004a2bf7	FUN_004a2bf7	boot
004a34b0	_strncpy	boot
004a4126	__onexit	boot
004a4728	FUN_004a4728	boot
004a5de3	FUN_004a5de3	boot
004a5e35	__ms_p5_mp_test_fdiv	boot
004a5f07	___endstdio	boot
004a7796	__mtdeletelocks	boot
004a77eb	FUN_004a77eb	boot
004a787f	__lock	boot
004aac76	___sbh_alloc_block	boot
004aaf72	__callnewh	boot
004aaf90	_memset	boot
004ac45c	___crtMessageBoxA	boot
004a2d18	FUN_004a2d18	render
004a504f	FUN_004a504f	render
004025f0	FUN_004025f0	boot
00403640	FUN_00403640	boot
00404830	FUN_00404830	boot
0040bbb0	FUN_0040bbb0	boot
004113b0	FUN_004113b0	boot
00418980	thunk_FUN_0041a060	boot
004c7a70	_rwDeviceSystemFn	render
004c8690	FUN_004c8690	render
004c8740	FUN_004c8740	render
004c8800	FUN_004c8800	render
004c8c70	FUN_004c8c70	render
004c8e50	FUN_004c8e50	render
00493b50	FUN_00493b50	util
00494c80	FUN_00494c80	util
0045bae0	FUN_0045bae0	vehicle
004548e0	FUN_004548e0	vehicle
00456760	FUN_00456760	vehicle
005b9f30	LAB_005b9f30	audio
005ba1d0	FUN_005ba1d0	audio
005bad30	LAB_005bad30	audio
005c7990	FUN_005c7990	audio
004b3d20	FUN_004b3d20	render
004b3d80	FUN_004b3d80	render
004623e0	FUN_004623e0	audio
0045dd60	FUN_0045dd60	audio
004631f0	FUN_004631f0	audio
00490500	FUN_00490500	render
0048ebf0	FUN_0048ebf0	render
0041d870	sub_0041d870	hud
0041e850	sub_0041e850	hud
0040b700	FUN_0040b700	util
004af2d4	FUN_004af2d4	util
004af31a	LAB_004af31a	util
004af32d	FUN_004af32d	util
005208c0	FUN_005208c0	util
00517250	FUN_00517250	util
0049d240	FUN_0049d240	util
00495350	IntroSplashOrchestrator	frontend
004274e0	FUN_004274e0	frontend
0049d080	FUN_0049d080	util
0049d270	FUN_0049d270	util
004dc970	FUN_004dc970	third-party-library[renderware]
004db3e0	FUN_004db3e0	render
004d1e30	FUN_004d1e30	render
004e0920	FUN_004e0920	third-party-library[renderware]
004d6200	FUN_004d6200	render
00499820	sub_00499820	boot
004a43d2	FUN_004a43d2	boot
004a43b9	FUN_004a43b9	boot
005c9d00	GetRaceEndTrigger	util
00462950	FUN_00462950	render
00478660	FUN_00478660	ai
00479330	FUN_00479330	track
00480340	FUN_00480340	render
00427ca0	FontText_HudInit	hud
00554940	LAB_00554940	hud
00555910	LAB_00555910	hud
0045e460	FUN_0045e460	audio
0045e990	FUN_0045e990	audio
00460270	FUN_00460270	audio
00462f50	FUN_00462f50	audio
00463590	FUN_00463590	audio
004642f0	FUN_004642f0	audio
004644a0	FUN_004644a0	audio
004645c0	FUN_004645c0	audio
00464670	FUN_00464670	audio
00464a50	FUN_00464a50	audio
00464ca0	FUN_00464ca0	audio
004652b0	FUN_004652b0	audio
0045efe0	FUN_0045efe0	audio
0045f5f0	FUN_0045f5f0	audio
0045faa0	FUN_0045faa0	audio
0045ff50	FUN_0045ff50	audio
00460350	FUN_00460350	audio
00460df0	FUN_00460df0	audio
00461650	FUN_00461650	audio
00463640	FUN_00463640	audio
00463c80	FUN_00463c80	audio
00463f40	FUN_00463f40	audio
00464e10	FUN_00464e10	audio
004661f0	FUN_004661f0	audio
004335f0	FUN_004335f0	frontend
0043a610	FUN_0043a610	frontend
00431710	FUN_00431710	frontend
0043aa30	FUN_0043aa30	frontend
00430b30	FUN_00430b30	frontend
0040de30	sub_0040de30	render
0040df20	sub_0040df20	render
00410b30	sub_00410b30	render
00433f40	FUN_00433f40	render
00403050	FUN_00403050	frontend
004dc8e0	FUN_004dc8e0	third-party-library[renderware]
004e08b0	FUN_004e08b0	third-party-library[renderware]
004dc9e0	FUN_004dc9e0	third-party-library[renderware]
004030d0	FUN_004030d0	util
0043d7c0	FUN_0043d7c0	util
0043dfd0	FUN_0043dfd0	frontend
00498860	FUN_00498860	util
004a4170	__alldiv	util
004a4220	__allmul	util
004a3b84	FUN_004a3b84	util
00493ac0	LAB_00493ac0	util
00482c10	Replay::ReadFrame	vehicle
00415880	FUN_00415880	ai
00443440	FUN_00443440	ai
004b3bf0	FUN_004b3bf0	vehicle
004b3e40	FUN_004b3e40	vehicle
005ba780	FUN_005ba780	audio
005ba7f0	FUN_005ba7f0	audio
0046e9e0	FUN_0046e9e0	vehicle
004c4680	FUN_004c4680	render
0043d2a0	FUN_0043d2a0	frontend
00431b80	FUN_00431b80	frontend
004322c0	FUN_004322c0	frontend
0042f400	FUN_0042f400	frontend
004d5bc0	FUN_004d5bc0	render
004d6e70	FUN_004d6e70	render
0040ab40	FUN_0040ab40	util
0040ac80	FUN_0040ac80	util
0040de10	FUN_0040de10	util
0045d3a0	FUN_0045d3a0	util
004a42c5	FUN_004a42c5	render
004ad1e0	FUN_004ad1e0	render
00498e40	FUN_00498e40	render
00498ea0	FUN_00498ea0	render
004cfa00	FUN_004cfa00	render
004492b0	SkyDomeRender	render
0047ab30	SetupFog_Handler	track
0047abd0	ModifyFog_Handler	track
0047a1e0	SkyFilename_Handler	track
0047b980	RegisterScriptCommand	track
00443dc0	FUN_00443dc0	ai
00415200	FUN_00415200	ai
00415190	FUN_00415190	ai
00448220	Frontend::PostRaceResultCamera	frontend
0045de80	FUN_0045de80	render
00446520	FUN_00446520	util
0042c300	FUN_0042c300	util
0042c3c0	FUN_0042c3c0	util
00429660	FUN_00429660	hud
00429bd0	FUN_00429bd0	util
00424eb0	FUN_00424eb0	util
005c1ea0	_longjmp	boot
004669b0	FUN_004669b0	audio
00462dd0	FUN_00462dd0	audio
00428a30	FUN_00428a30	frontend
00428bf0	FUN_00428bf0	frontend
00428d30	FUN_00428d30	frontend
00445aa0	FUN_00445aa0	util
00441d40	FUN_00441d40	util
004102f0	FUN_004102f0	util
0040fc00	Race::Tick	util
004103a0	TimeTrial::LapFinishProcessor	util
00403250	FUN_00403250	util
004039f0	FUN_004039f0	util
00406ce0	FUN_00406ce0	util
00412f30	FUN_00412f30	util
0041a250	FUN_0041a250	hud
0041b540	FUN_0041b540	hud
0041c090	FUN_0041c090	hud
0041c180	FUN_0041c180	hud
0041cc50	FUN_0041cc50	hud
0041d830	FUN_0041d830	hud
0041dca0	FUN_0041dca0	hud
0041e6c0	FUN_0041e6c0	hud
0046ef70	FUN_0046ef70	vehicle
004b3c60	FUN_004b3c60	render
004b3cc0	FUN_004b3cc0	render
004b3de0	FUN_004b3de0	render
00479030	FUN_00479030	track
00474f30	FUN_00474f30	render
00487280	FUN_00487280	render
0046f6c0	VehicleWheelContactSolver	vehicle
004cee90	FUN_004cee90	render
004e1b60	FUN_004e1b60	third-party-library[renderware]
004d8430	rwID_ERRORMODULE_ctor	render
004d8470	rwID_ERRORMODULE_dtor	render
004c4470	sub_004c4470 (rwID_MATRIXMODULE ctor)	render
004c4430	sub_004c4430 (rwID_MATRIXMODULE dtor)	render
004c07b0	sub_004c07b0 (rwID_FRAMEMODULE ctor)	render
004c0830	sub_004c0830 (rwID_FRAMEMODULE dtor)	render
004d8530	rwID_PIPEMODULE_ctor	render
004d8550	rwID_PIPEMODULE_dtor	render
004d8fa0	rwID_CHUNKGROUPMODULE_ctor	render
004d8a80	rwID_RESOURCESMODULE_ctor	render
004d8b70	rwID_RESOURCESMODULE_dtor	render
00150c30	RtFSHandler::GetFileSlot	util
00151290	RtFSHandler::Destroy	util
00150c50	RtFSHandler::Open	util
00150d80	RtFSHandler::Close	util
00150da0	RtFSHandler::ReadAsync	util
00150f20	RtFSHandler::WriteAsync	util
00151050	RtFSHandler::Seek	util
00151090	RtFSHandler::Poll	util
00151180	RtFSHandler::Cancel	util
001514e0	RtFSHandler::IsEOF	util
001512b0	RtFSHandler::GetStatus	util
001512d0	RtFSHandler::Stat	util
00151190	RtFSHandler::Install	util
001504d0	RtFSManager::FindHandler	util
000b6710	PizWin32Open	util
000b67e0	PizWin32Read	util
000b6770	PizWin32Close	util
000b6940	PizOpenAndParse	util
000b6570	PizOpen	util
00095280	OpenPizFile	util
000952f0	ClosePizFile	util
00470c70	FUN_00470c70	vehicle
004a3384	CRT::acos	util
004a3620	CRT::atan	util
004a3700	CRT::math_float_371d	util
004a37b0	CRT::math_float_37cd	util
004b6540	thunk_FUN_004b6640	boot
004283a0	FUN_004283a0	boot
004275d0	FUN_004275d0	boot
004881d0	FUN_004881d0	boot
0047ba00	FUN_0047ba00	boot
0041b450	FUN_0041b450	boot
0041bec0	FUN_0041bec0	boot
0041cb10	FUN_0041cb10	boot
0041d6e0	FUN_0041d6e0	boot
0041def0	FUN_0041def0	boot
0041d8b0	FUN_0041d8b0	boot
0041c100	FUN_0041c100	boot
0041db90	FUN_0041db90	boot
0041a1e0	FUN_0041a1e0	boot
0041eaa0	FUN_0041eaa0	boot
00420d00	FUN_00420d00	boot
00412890	FUN_00412890	boot
00471eb0	thunk_FUN_00471df0	boot
00425bc0	FUN_00425bc0	boot
004841d0	FUN_004841d0	boot
00558240	FUN_00558240	boot
00484170	FUN_00484170	boot
00469df0	VehicleVehicleCollisionImpulse	vehicle
00468d80	VehicleTerrainContactSolver	vehicle
004694e0	VehicleObjectContactSolver	vehicle
0045db50	FUN_0045db50	util
0045dbe0	FUN_0045dbe0	util
00430670	FUN_00430670	frontend
004a2b60	FUN_004a2b60	frontend
00547bf0	FUN_00547bf0	track
00547450	FUN_00547450	track
0047a1b0	FUN_0047a1b0	track
0047a280	FUN_0047a280	track
0047a320	FUN_0047a320	track
0047a3a0	FUN_0047a3a0	track
0047a4a0	FUN_0047a4a0	track
0047a540	FUN_0047a540	track
0047a580	FUN_0047a580	track
0047a5b0	FUN_0047a5b0	track
0047a5e0	FUN_0047a5e0	track
0047a610	FUN_0047a610	track
0047a6b0	FUN_0047a6b0	track
0047a6f0	FUN_0047a6f0	track
0047a720	FUN_0047a720	track
0047a790	FUN_0047a790	track
0047a880	FUN_0047a880	track
0047a8b0	FUN_0047a8b0	track
0047aa20	FUN_0047aa20	track
0047aa50	FUN_0047aa50	track
0040d440	FUN_0040d440	track
00420420	FUN_00420420	track
004c4eb0	RwMatrixInvert_CofactorPath	render
00444b60	FUN_00444b60	ai
00423540	FUN_00423540	ai
0045be90	FUN_0045be90	powerups
0045b9d0	FUN_0045b9d0	powerups
004540c0	DepthChargePerFrameTeardown	powerups
00422ba0	FUN_00422ba0	ai
004252c0	FUN_004252c0	ai
0046cc40	FUN_0046cc40	vehicle
00401f10	FUN_00401f10	render
004c35f0	FUN_004c35f0	render
004c40b0	FUN_004c40b0	render
004c90a0	FUN_004c90a0	render
004cfe20	FUN_004cfe20	render
004dcd50	FUN_004dcd50	third-party-library[renderware]
004dd0b0	FUN_004dd0b0	third-party-library[renderware]
00550af0	FUN_00550af0	audio
0041cb80	sub_0041cb80	util
0041d730	sub_0041d730	util
0040b180	FUN_0040b180	util
0040bd80	FUN_0040bd80	util
0040dbd0	FUN_0040dbd0	util
00410860	FUN_00410860	util
00414060	FUN_00414060	util
00414180	FUN_00414180	util
00418990	thunk_FUN_004194f0	hud
0041b4d0	FUN_0041b4d0	hud
0041bf20	FUN_0041bf20	hud
00426030	FUN_00426030	render
004260e0	FUN_004260e0	render
004c5ae0	FUN_004c5ae0	render
004c5b50	FUN_004c5b50	render
005a75b0	FUN_005a75b0	audio
00555af0	FontCtx_LoadMetrics_Met	hud
00555ff0	FontCtx_LoadMetrics_Atlas	hud
00545340	FUN_00545340	track
00458bf0	FUN_00458bf0	util
00459560	FUN_00459560	util
0045dc80	FUN_0045dc80	audio
0045dfc0	FUN_0045dfc0	util
00462520	FUN_00462520	audio
004647f0	FUN_004647f0	audio
004648b0	FUN_004648b0	audio
0046b1c0	FUN_0046b1c0	vehicle
00471cf0	FUN_00471cf0	camera
004a45cf	__nh_malloc	boot
004a4660	FUN_004a4660	boot
004aa497	___sbh_find_block	boot
004aa4c2	___sbh_free_block	boot
004ae28f	___crtInitCritSecNoSpinCount@8	boot
004af166	__setmbcp	boot
004affaf	FUN_004affaf	boot
004a4554	__heap_alloc	boot
004a45c6	FUN_004a45c6	boot
004a7800	FUN_004a7800	boot
004acd00	_memmove	boot
004aefd0	FUN_004aefd0	boot
004af2ad	FUN_004af2ad	boot
004aed77	FUN_004aed77	boot
004aeda6	setSBCS	boot
004aedcf	FUN_004aedcf	boot
00404fa0	FUN_00404fa0	render
004ac570	FUN_004ac570	boot
004a2bb8	report_failure	boot
004a31e1	FUN_004a31e1	boot
004a407e	__onexit_lk	boot
004a4158	FUN_004a4158	boot
004ad33b	__controlfp	boot
004a5df5	__ms_p5_test_fdiv	boot
004a9744	__flushall	boot
004ad351	__fcloseall	boot
004aa7da	___sbh_alloc_new_region	boot
004aa891	___sbh_alloc_new_group	boot
004a31ea	FUN_004a31ea	boot
004ad3e3	FUN_004ad3e3	boot
004aa23d	FUN_004aa23d	boot
004a583a	FUN_004a583a	boot
004ae635	FUN_004ae635	boot
004af601	FUN_004af601	boot
004af56c	FUN_004af56c	boot
004a4fc1	write_char	render
004a4ff4	write_multi_char	render
004a5018	write_string	render
004a4da0	__aulldvrm	render
00546e70	FUN_00546e70	vehicle
00482ae0	FUN_00482ae0	vehicle
004ccba0	FUN_004ccba0	render
00421d20	FUN_00421d20	util
0045c720	FUN_0045c720	audio
0045c820	FUN_0045c820	audio
004b4550	FUN_004b4550	util
004c1a70	CameraRecomputeProjCoeffs	render
004982a0	FUN_004982a0	input
00499ce0	FUN_00499ce0	render
00497060	FUN_00497060	render
004a3ac9	FUN_004a3ac9	util
004b302f	__stricmp	util
00496e40	FUN_00496e40	boot
00498510	FUN_00498510	input
004caea0	FUN_004caea0	render
004019d0	FUN_004019d0	render
00402b70	FUN_00402b70	util
00481810	FUN_00481810	vehicle
00481d90	FUN_00481d90	vehicle
00482140	FUN_00482140	vehicle
00484000	FUN_00484000	vehicle
00484060	FUN_00484060	vehicle
00441490	FUN_00441490	camera
00441b30	FUN_00441b30	camera
00443210	FUN_00443210	render
00448770	FUN_00448770	render
00448820	FUN_00448820	render
00448880	FUN_00448880	render
00448ef0	FUN_00448ef0	render
00449bb0	FUN_00449bb0	particle
00490e50	FUN_00490e50	render
00490e70	FUN_00490e70	render
00490f50	FUN_00490f50	render
00490f80	FUN_00490f80	render
00490fb0	FUN_00490fb0	render
00491030	FUN_00491030	render
004910c0	FUN_004910c0	render
00491b20	FUN_00491b20	render
00491c00	FUN_00491c00	render
00492170	FUN_00492170	render
004921b0	FUN_004921b0	render
004d0290	FUN_004d0290	render
004d0660	FUN_004d0660	render
004d07b0	FUN_004d07b0	render
004d0d00	FUN_004d0d00	render
004d1020	FUN_004d1020	render
004d1d20	FUN_004d1d20	render
004d2980	rwD3D8NativeTextureRasterCreate	render
004d2c80	rwD3D8CameraTextureRasterCreate	render
004d2e30	rwD3D8ZBufferRasterCreate	render
004d3510	rwD3D8RasterAllocAndCreate	render
004d3950	rwD3D8CreateMipmapTexture	render
004d3a10	rwD3D8CheckAutoMipMap	render
004d3a60	rwD3D8CheckAutoMipMapAlpha	render
004d3ab0	rwD3D8CheckAutoMipMapCube	render
004d3b00	rwD3D8RasterRecreate	render
004d4310	FUN_004d4310	render
004d4380	FUN_004d4380	render
004d5550	FUN_004d5550	render
004d55b0	FUN_004d55b0	render
004d71f0	FUN_004d71f0	render
004935a0	FUN_004935a0	render
004935d0	FUN_004935d0	render
004943d0	FUN_004943d0	render
00494820	FUN_00494820	render
00494b65	FUN_00494b65	render
00494c60	FUN_00494c60	render
00495870	FUN_00495870	input
00496040	FUN_00496040	input
00496320	FUN_00496320	input
00496d00	FUN_00496d00	util
00496d20	FUN_00496d20	render
00497470	FUN_00497470	frontend
004974b0	FUN_004974b0	frontend
00497b10	FUN_00497b10	frontend
00497b60	FUN_00497b60	frontend
0049a0a0	FUN_0049a0a0	render
0049a0e0	FUN_0049a0e0	render
0049a150	FUN_0049a150	render
0049a730	FUN_0049a730	render
0049aae0	FUN_0049aae0	render
0049ab10	FUN_0049ab10	render
004840b0	FUN_004840b0	vehicle
00484280	FUN_00484280	debug-overlay
00484310	FUN_00484310	debug-overlay
004844a0	FUN_004844a0	debug-overlay
004854e0	FUN_004854e0	smplfzx
00486830	FUN_00486830	particle
00487e70	FUN_00487e70	sky
00488320	FUN_00488320	sky
004883b0	FUN_004883b0	sky
00405540	FUN_00405540	gameplay
00405730	FUN_00405730	gameplay
00405780	FUN_00405780	gameplay
004058e0	FUN_004058e0	gameplay
00405ab0	FUN_00405ab0	gameplay
004064c0	FUN_004064c0	gameplay
00407550	FUN_00407550	gameplay
00407580	FUN_00407580	gameplay
00407e20	FUN_00407e20	gameplay
00408610	FUN_00408610	gameplay
004096a0	FUN_004096a0	gameplay
004098d0	FUN_004098d0	gameplay
00409950	FUN_00409950	gameplay
00409970	FUN_00409970	gameplay
00409a80	FUN_00409a80	gameplay
0040baa0	FUN_0040baa0	gameplay
0040bae0	FUN_0040bae0	gameplay
0040ca00	FUN_0040ca00	gameplay
0040cda0	FUN_0040cda0	gameplay
0048b230	FUN_0048b230	particle
0048b650	FUN_0048b650	particle
0048cee0	FUN_0048cee0	particle
0048d0f0	FUN_0048d0f0	particle
0048d140	FUN_0048d140	particle
0048d360	FUN_0048d360	particle
0048d540	FUN_0048d540	particle
0048d720	FUN_0048d720	particle
0048d900	FUN_0048d900	particle
0048db20	FUN_0048db20	particle
0048dd40	FUN_0048dd40	particle
0048df60	FUN_0048df60	particle
0048e180	FUN_0048e180	particle
0048e360	FUN_0048e360	particle
0049c5d0	FUN_0049c5d0	particle
0049c6a0	FUN_0049c6a0	particle
0049c6b0	FUN_0049c6b0	particle
