rva	name	subsystem	arg_type	note	callees
0040bb50	FUN_0040bb50	frontend	unknown	re/analysis/hud_frontend/0x0040bb50.md	004c5c00,0063b8fc
0040e340	FUN_0040e340	util	unknown	re/analysis/promote_c2_vehicle_lowrva/0x0040e340.md	0040e345
004c1c80	FUN_004c1c80	hud	unknown	re/analysis/hud_ingame_d2/0x004c1c80.md	
00427680	FontText_ComputeScreenXY	hud	unknown	re/analysis/hud_promote_c2_b/0x00427680.md	0042b8b0,0042b8c0,005554d0,0067d838
00430b90	FUN_00430b90	frontend	unknown	re/analysis/hud_frontend_d2/0x00430b90.md	
00439210	FUN_00439210	frontend	unknown	re/analysis/hud_frontend_d2/0x00439210.md	
00428320	FUN_00428320	frontend	unknown	re/analysis/frontend_promote_menus_b/00428320.md	00427840,005554d0
00408a50	FUN_00408a50	frontend	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00408a50.md	00408a60
00552750	FontCtx_ResetTransform	hud	unknown	re/analysis/hud_promote_c2_b/0x00552750.md	
0042aa00	FUN_0042aa00	frontend	unknown	re/analysis/frontend_promote_menus_a/0x0042aa00.md	0067e9f8,0067ed40,0067ed74,0067ed84
0042b960	FUN_0042b960	frontend	unknown	re/analysis/frontend_promote_menus_a/0x0042b960.md	0040e480,007f1502,007f1a0c,007f1a14,007f1a24,007f1a34,007f1a44
004307a0	FUN_004307a0	frontend	unknown	re/analysis/frontend_c0_promote/0x004307a0.md	00429a70,00429a80,00429a90,005cc728,00614718,0061471c,00614720,0067f17c
0040e480	FUN_0040e480	frontend	unknown	re/analysis/c0_promotion_frontend_a/0x0040e480.md	005f2770
0040e370	FUN_0040e370	util	unknown	re/analysis/promote_c2_vehicle_lowrva/0x0040e370.md	0040e180,0040e391,00410d10
00450b10	FUN_00450b10	hud	unknown	re/analysis/hud_ingame_promote_c2/0x00450b10.md	007d3ff8
00428450	FUN_00428450	hud	unknown	re/analysis/hud_ingame_promote_c2/0x00428450.md	0042b8b0,0042b8c0,00450b10,005cc560,005cc56c,005cc730,005cd274,005cd5a8,005cd658,005cd65c,005d757c,0067d974,00771960
004299d0	TimeRecord::WriteTrackBest	util	unknown	re/analysis/leaderboard/0x004299d0.md	
00412f30	FUN_00412f30	util	unknown	re/analysis/util_c0_promote/0x00412f30.md	
004c5c00	FUN_004c5c00	frontend	unknown	re/analysis/sprite_gate_c3/0x004c5c00.md	
0042ed70	FUN_0042ed70	frontend	unknown	re/analysis/promote_c2_frontend_menus/0x0042ed70.md	00427ff0,004282a0,0042b8b0,0042b8c0
004997b0	FUN_004997b0	util	unknown	re/analysis/promote_c2_video_cfg/004997b0.md	00499720
