rva	name	subsystem	arg_type	note	callees
00558470	sub_00558470	render	unknown	re/analysis/skeleton_prep_high_leverage/00558470.md	00558484,00558498,005584b5,007d3ff8,007dc8ac,007dc8b8,007dc8bc
004c2f60	FUN_004c2f60	render	unknown	re/analysis/render_promote_c2_rw_plugin/0x004c2f60.md	
004c3270	sub_004c3270	render	unknown	re/analysis/skeleton_prep_high_leverage/004c3270.md	004c3279,004c327e,004c3283,004c3297,004c32a1,004ccf20,004d7ca0,007d3ff4,007d3ff8
00493600	FUN_00493600	render	unknown	re/analysis/rw_engine_init/00493600.md	004935a0,004935d0,004ce790,00513f90,0052d530,005cf748,005cf74c
004951e0	thunk_FUN_00495780	render	unknown	re/analysis/rw_engine_init/004951e0.md	004951e4,004955d0,00495780
004951f0	FUN_004951f0	render	unknown	re/analysis/skeleton_prep_boot_winmain_a/004951f0.md	00496400,00498b60,00498bf0,00499400,004cbb60,006147bc,007719e0,00771e58
004a2cbd	FID_conflict:_wprintf	render	unknown	re/analysis/rw_engine_init/004a2cbd.md	004a2d18,004a504f,00616110
004ccf20	FUN_004ccf20	render	unknown	re/analysis/render_5_c1_to_c2_s1/FUN_004ccf20.md	007d3ff8
004d7ca0	FUN_004d7ca0	render	unknown	re/analysis/render_6_c1_to_c2_s3/004d7ca0.md	
004d8060	FUN_004d8060	render	unknown	re/analysis/render_6_c1_to_c2_s3/004d8060.md	
00498b60	FUN_00498b60	render	unknown	re/analysis/promote_c2_video_cfg/00498b60.md	007731f8,007731fc,00773408,00773410
004a2d18	FUN_004a2d18	render	unknown	re/analysis/rw_engine_init_d2/004a2d18.md	
004a504f	FUN_004a504f	render	unknown	re/analysis/rw_engine_init_d2/004a504f.md	005d1280,005d12a0,00616038,006160d8
004c7a60	thunk_FUN_004cfa00	render	unknown	re/analysis/render_4_c1_to_c2_s4/FUN_004c7a60.md	004c7690,004cfa00
004cae90	FUN_004cae90	render	unknown	re/analysis/rw_engine_init_d2/004cae90.md	004c30b0,00618220
004cbb60	FUN_004cbb60	render	unknown	re/analysis/render_4_c1_to_c2_s6/FUN_004cbb60.md	
004cbc90	FUN_004cbc90	render	unknown	re/analysis/render_4_c1_to_c2_s6/FUN_004cbc90.md	
004c8690	FUN_004c8690	render	unknown	re/analysis/promote_c2_render_d3d9/0x004c8690.md	
004c8e50	FUN_004c8e50	render	unknown	re/analysis/promote_c2_render_d3d9/0x004c8e50.md	
004cc9f0	RwFreeListDestroy	render	unknown	re/analysis/promote_c2_render_d3d9/0x004cc9f0.md	
0042a470	FUN_0042a470	render	unknown	re/analysis/render_c1_to_c2_s1/FUN_0042a470.md	004b5350,00550b00
0042a530	FUN_0042a530	render	unknown	re/analysis/texture_loader/0x0042a530.md	0042a470,0042a6b0,00496400,005f1c18,0067dfa8,0067e1a8
004cc5e0	FUN_004cc5e0	render	unknown	re/analysis/texture_loader_d2/0x004cc5e0.md	004cc050,004cc400,004cc601,004cc624,004cc637,004cc664,004cc66e,004d7ff0
004b3d20	FUN_004b3d20	render	unknown	re/analysis/texture_loader/0x004b3d20.md	0042a530,0042a6b0,004b3d31,004b3d45,004b3d5e,004cc160,004cc230,004cc5e0,004cf7d0
00476d00	FUN_00476d00	render	unknown	re/analysis/promote_c2_render_frame/0x00476d00.md	006924d8,006924dc,006924e8,00692528,00692534,00692554,00692598
