rva	name	subsystem	arg_type	note	callees
004d8000	FUN_004d8000	frontend	unknown	re/analysis/intro_splash_d3/0x004d8000.md	004d8060,004d8090
0043c5b0	FUN_0043c5b0	frontend	unknown	re/analysis/hud_frontend/0x0043c5b0.md	0040bb50,00427e00,00428140,0042aad0,0042aae0,0042b930,0042e3a0,0042e5b0,0043bf30,0043c5c2,00472c60,00473540,004739f0,005cc31c,005f6da0,005f6df8,005f72a0,005f7370,0067e9f8,0067eca4,0067ed38,0067ed40,0067ed80,007d3ff8
00428140	FUN_00428140	frontend	unknown	re/analysis/frontend_c1_to_c2_s5/FUN_00428140.md	
0043bf30	FUN_0043bf30	frontend	unknown	re/analysis/hud_frontend/0x0043bf30.md	0042f0c0,0042fb70,0042fe90,00430120,00430b90,00431240,004314b0,00431710,004335f0,00434720,00439210,0043a610,0043aa30,0043af10,0067e7a8,0067e7b0,0067e7b8,0067e7c8,0067e7d8,0067e7e0,0067e7e8,0067e7f0,0067e7f8,0067e810,0067e818,0067e820,0067e830,0067e838
00472dc0	FUN_00472dc0	frontend	unknown	re/analysis/hud_frontend/0x00472dc0.md	0042b8b0,0042b8c0,005cc560,005cd5a8,007d3ff8
00473540	FUN_00473540	frontend	unknown	re/analysis/hud_frontend/0x00473540.md	0042b8b0,0042b8c0,00472c60,007d3ff8
004274e0	FUN_004274e0	frontend	unknown	re/analysis/skeleton_prep_game_state/004274e0.md	004cbd30,004cc160,004cc230,0066d828,0067d84c,007f0f60
00493fd0	sub_00493fd0	frontend	unknown	re/analysis/intro_splash/0x00493fd0.md	004c75e0,005cc320,007d3ff8
00494460	sub_00494460	frontend	unknown	re/analysis/skeleton_prep_boot_winmain_a/00494460.md	00493f70,00494320,004c7650,00771a04,00771a18
00494a80	sub_00494a80	frontend	unknown	re/analysis/intro_splash/0x00494a80.md	00493f70,004944c0,004c77c0,00771a04,00771a08,00771a18
004c1be0	sub_004c1be0	frontend	unknown	re/analysis/promote_c1_high_ab3/0x004c1be0.md	00493fd0,00495350,00499710,004c7730,007e9584
