rva	name	subsystem	reason
00492370	sub_00492370	boot	inline bare [UNCERTAIN] (heading=## why c2)
004a4b6e	__amsg_exit	boot	callee-gate: 004a333c=C1,004ab8d6=C1,004aba4d=C1
004a8a04	FUN_004a8a04	boot	callee-gate: 004a467e=C1,004a774d=C1,004a87f7=C1
004aa3fe	__heap_init	boot	callee-gate: 004aa3e4=C1,004aa44f=C1
004abbea	FUN_004abbea	boot	callee-gate: 004af2b6=C1,004affe0=C1
004abe86	FUN_004abe86	boot	callee-gate: 004a45fb=C1,004abd1a=C1,004af2b6=C1
004ac04a	FUN_004ac04a	boot	callee-gate: 004a45fb=C1,004ae29f=C1
004a2c2f	FUN_004a2c2f	boot	callee-gate: 004a2bf7=C1,004a5de3=C1,004a5e35=C1
00492270	sub_00492270	boot	inline bare [UNCERTAIN] (heading=## why c2)
00492290	sub_00492290	boot	inline bare [UNCERTAIN] (heading=## why c2)
004924f0	sub_004924f0	boot	callee-gate: 00431ae0=C1,00431af0=C1,00431b00=C1,00431b10=C1
00493540	thunk_FUN_00495150	boot	callee-gate: 00495120=C1,004960a0=C1,00498510=C1
00493550	thunk_FUN_004938c0	boot	callee-gate: 004c3040=C1,004c3270=C1,00550390=C1,00558470=C1
00493560	thunk_FUN_004954f0	boot	callee-gate: 004954f0=C1,004955c0=C1,00496010=C1,004963d0=C1
00493900	sub_00493900	boot	callee-gate: 00499730=C1,004a2be9=C1,004a3ac9=C1
004987b0	FUN_004987b0	input	callee-gate: 004a42c5=C1
004025f0	FUN_004025f0	boot	callee-gate: 00401630=C1,00401690=C1
005ba1d0	FUN_005ba1d0	audio	no-note
005bad30	LAB_005bad30	audio	no-note
005aa560	FUN_005aa560	audio	no-note
00492e90	FUN_00492e90	boot	callee-gate: 00492440=C1
00496490	sub_00496490	boot	inline bare [UNCERTAIN] (heading=## why c2)
00411ce0	Ghost::SetupRender	vehicle	inline bare [UNCERTAIN] (heading=## mechanical description)
0046e9e0	FUN_0046e9e0	vehicle	callee-gate: 004c4680=C1
0046cbb0	FUN_0046cbb0	vehicle	callee-gate: 004645c0=C1
00410d10	FUN_00410d10	vehicle	inline bare [UNCERTAIN] (heading=## constants)
00497190	FUN_00497190	input	callee-gate: 004a2b60=C1
004709a0	VehicleCollisionBroadPhase	vehicle	inline bare [UNCERTAIN] (heading=## mechanical description)
0046ef70	FUN_0046ef70	vehicle	inline bare [UNCERTAIN] (heading=## mechanical description)
00467650	VehicleWheelDrivetrainUpdate	vehicle	callee-gate: 004a2c48=C1,004c39b0=C1,004c3df0=C1,004c4d20=C1
00468980	VehicleAeroStabilizer	vehicle	callee-gate: 004a3384=C1,004c39b0=C1,004c4d20=C1
00467350	VehicleSlipTimerTick	vehicle	callee-gate: 004c39b0=C1
0046da80	VehicleTrackInteraction	vehicle	inline bare [UNCERTAIN] (heading=## mechanistic description)
00470670	VehicleControlUpdate	vehicle	inline bare [UNCERTAIN] (heading=## mechanistic description)
00489250	FUN_00489250	boot	inline bare [UNCERTAIN] (heading=## why c2)
00494bc0	FUN_00494bc0	boot	inline bare [UNCERTAIN] (heading=## why c2)
00469aa0	VehicleContactScanUpdate	vehicle	callee-gate: 004c3d90=C1
00468d80	VehicleTerrainContactSolver	vehicle	callee-gate: 004c39b0=C1,004c3df0=C1,004c4d20=C1
004694e0	VehicleObjectContactSolver	vehicle	callee-gate: 00485360=C1,00485370=C1,00485420=C1,004c39b0=C1,004c3df0=C1
00404ee0	Save::SerializeToBuffer	save	inline bare [UNCERTAIN] (heading=## callers)
00418a30	FUN_00418a30	vehicle	callee-gate: 00418980=C1
0046cc40	FUN_0046cc40	vehicle	inline bare [UNCERTAIN] (heading=## mechanical description)
004921d0	FUN_004921d0	boot	inline bare [UNCERTAIN] (heading=## notes)
00428590	FUN_00428590	boot	inline bare [UNCERTAIN] (heading=## why c2)
004926c0	FUN_004926c0	boot	inline bare [UNCERTAIN] (heading=## notes)
00492770	FUN_00492770	boot	inline bare [UNCERTAIN] (heading=## decompilation summary)
00495150	FUN_00495150	input	inline [UNCERTAIN U-2293] not in UNCERTAINTIES.md (heading=## mechanical description)
004963b0	FUN_004963b0	input	inline bare [UNCERTAIN] (heading=## notes)
0047ea40	PhysicsSceneStepWrapper	vehicle	callee-gate: 0047e9c0=C1
00442ce0	VehicleRubberBandSpeedModifier	vehicle	inline bare [UNCERTAIN] (heading=## mechanical description)
0046d4d0	VehiclePhysicsMatrixSet	vehicle	inline bare [UNCERTAIN] (heading=## vehicle struct layout derived)
