rva	name	subsystem	reason
0043c5b0	FUN_0043c5b0	frontend	inline [UNCERTAIN U-0448] catalogued but Blocks=C3 (matched-RVA) (heading=## uncertainties)
0042e3a0	FUN_0042e3a0	frontend	callee-gate: 00472c60=C1,00472f40=C1,004730b0=C1
0042d5a0	FUN_0042d5a0	frontend	callee-gate: 00427e00=C1
0042e5b0	FUN_0042e5b0	frontend	callee-gate: 00473c20=C1,00473ee0=C1,00474890=C1,004a2c48=C1
00495350	sub_00495350	frontend	callee-gate: 00493f70=C1,00493f80=C1,00493fc0=C1,00493fd0=C1,00494460=C1,00494480=C1,00494a80=C1,004c1a00=C1,004c1bb0=C1,004c1be0=C1
00492d20	sub_00492d20	frontend	callee-gate: 004967e0=C1
004cc230	FUN_004cc230	frontend	inline [UNCERTAIN U-3722] not in UNCERTAINTIES.md (heading=## mechanical description)
004cc160	FUN_004cc160	frontend	callee-gate: 004d7ff0=C1,004d8480=C1
0042f0c0	FUN_0042f0c0	frontend	callee-gate: 00427e00=C1,00473870=C1,004739f0=C1,004a2c48=C1
0042fb70	FUN_0042fb70	frontend	callee-gate: 00427e00=C1,00473870=C1,004739f0=C1,004a2c48=C1
0042fe90	FUN_0042fe90	frontend	callee-gate: 00427e00=C1,00473870=C1,004739f0=C1,004a2c48=C1
0042bcb0	FUN_0042bcb0	frontend	callee-gate: 004b5750=C1
004282a0	FUN_004282a0	frontend	callee-gate: 004277a0=C1
00427ad0	FUN_00427ad0	frontend	callee-gate: 004277a0=C1,00552d70=C1,005555b0=C1,00556e90=C1
0042f8d0	FUN_0042f8d0	frontend	callee-gate: 00472c60=C1
0042ac50	FUN_0042ac50	frontend	signature-unsupported: fastcall ECX/EDX args
0042a940	FUN_0042a940	frontend	callee-gate: 0040ce80=C1
0040b460	FUN_0040b460	frontend	callee-gate: 00417740=C1
00430b30	FUN_00430b30	frontend	signature-unsupported: in_EAX arg
0042d290	FUN_0042d290	frontend	callee-gate: 004a2b60=C1,004a2c48=C1
00429a30	FUN_00429a30	frontend	callee-gate: 00430790=C1
00403050	FUN_00403050	frontend	callee-gate: 00402fb0=C1,00428760=C1
00408a70	FUN_00408a70	frontend	callee-gate: 004a2c48=C1
00422fd0	FUN_00422fd0	frontend	callee-gate: 004215c0=C1,0045ba00=C1,0046c5c0=C1,0046c790=C1
00431b80	FUN_00431b80	frontend	inline bare [UNCERTAIN] (heading=## why c2 (drift-promote from c1, 2026-05-14))
0042f020	FUN_0042f020	frontend	signature-unsupported: fastcall ECX/EDX args
00431d00	FUN_00431d00	frontend	signature-unsupported: in_EAX arg
00495080	FUN_00495080	frontend	callee-gate: 00494fd0=C1
00494f30	FUN_00494f30	frontend	callee-gate: 00493fc0=C1
