rva	name	subsystem	arg_type	note	callees
0042e3a0	FUN_0042e3a0	frontend	unknown	re/analysis/promote_c2_frontend_menus/0x0042e3a0.md	0042d5a0,00472c60,00472f40,004730b0,005f6980,0067e9f8,0067ebc0,0067ed38,0067f17c,007f1000
0042d5a0	FUN_0042d5a0	frontend	unknown	re/analysis/promote_c2_frontend_menus/0x0042d5a0.md	00427e00
00472f40	FUN_00472f40	frontend	unknown	re/analysis/promote_c1_low_ab1/0x00472f40.md	00472c60,007d3ff8
004730b0	FUN_004730b0	frontend	unknown	re/analysis/promote_c1_mid_ab2/0x004730b0.md	0042b8b0,0042b8c0,005cc560,005cd5a8,007d3ff8
0042e5b0	FUN_0042e5b0	frontend	unknown	re/analysis/promote_c2_frontend_menus/0x0042e5b0.md	0040bb70,0042e590,00473c20,00473ee0,00474890,004a2c48
00472c60	FUN_00472c60	frontend	unknown	re/analysis/promote_c1_low_ab1/0x00472c60.md	0042b8b0,0042b8c0,00472c68,00472c7a,00472c8c,00472c9e,00472ca4,00472cac,00472cb8,00472cbc,00472cc0,00472cc4,00472cc8,00472cd2,00472cd8,00472cf6,00472cfe,00472d07,00472d0e,00472d15,00472d1c,00472d27,005cc560,005cd5a8,007d3ff8
004739f0	FUN_004739f0	frontend	unknown	re/analysis/promote_c1_mid_ab2/0x004739f0.md	0042b8b0,0042b8c0,005cc560,005cd5a8,005ceac4,007d3ff8
00495350	sub_00495350	frontend	unknown	re/analysis/promote_c2_piz_loader/00495350.md	004671a0,00492d20,00493f70,00493f80,00493fc0,00493fd0,00494460,00494480,00494a80,00495408,00499710,004c19f0,004c1a00,004c1bb0,004c1be0,007f1502
00492d20	sub_00492d20	frontend	unknown	re/analysis/intro_splash/0x00492d20.md	00495350,004967e0
004cc160	FUN_004cc160	frontend	unknown	re/analysis/promote_c2_rw_engine_init/004cc160.md	004cc230,004d7ff0,004d8480,00550910,007d3ff8,007d45c4
00493f80	sub_00493f80	frontend	unknown	re/analysis/promote_c1_mid_ab2/0x00493f80.md	00473c20,007719ec,007719f0,007719f4,007719f8
004c1a00	sub_004c1a00	frontend	unknown	re/analysis/promote_c1_high_ab3/0x004c1a00.md	00495350,004c1a08
004c1bb0	sub_004c1bb0	frontend	unknown	re/analysis/promote_c1_high_ab3/0x004c1bb0.md	00495350,007d3ff8
0042f0c0	FUN_0042f0c0	frontend	unknown	re/analysis/promote_c2_frontend_menus/0x0042f0c0.md	0040bb50,00427e00,004282a0,0042b8b0,0042b8c0,00473870,004739f0,004a2c48,007d3ff8
0042fb70	FUN_0042fb70	frontend	unknown	re/analysis/promote_c2_frontend_menus/0x0042fb70.md	0040bb50,00427e00,004282a0,0042ac00,0042ac50,0042b8b0,0042b8c0,00473870,004739f0,004a2c48,007d3ff8
0042fe90	FUN_0042fe90	frontend	unknown	re/analysis/promote_c2_frontend_menus/0x0042fe90.md	0040bb50,00427e00,004282a0,0042ac00,0042ac50,0042b8b0,0042b8c0,00473870,004739f0,004a2c48,007d3ff8
00439210	FUN_00439210	frontend	unknown	re/analysis/hud_frontend_d2/0x00439210.md	
0042bcb0	FUN_0042bcb0	frontend	unknown	re/analysis/c0_promotion_frontend_a/0x0042bcb0.md	004b5750,004c5c00,005cc560,005cc724,005cd18c,005cd5a8,005cd76c,005cd770,005cd774,005cd776,005cd778,00616038,00636ac8,007d3ff8,007e96fc
004282a0	FUN_004282a0	frontend	unknown	re/analysis/frontend_promote_menus_b/004282a0.md	00427780,004277a0,005554d0
00427ad0	FUN_00427ad0	frontend	unknown	re/analysis/frontend_promote_menus_b/00427ad0.md	00427780,004277a0,00552d10,00552d70,005555b0,00556e90
0042f8d0	FUN_0042f8d0	frontend	unknown	re/analysis/frontend_promote_menus_b/0042f8d0.md	00472c60
00473870	FUN_00473870	frontend	unknown	re/analysis/promote_c1_mid_ab2/0x00473870.md	004730b0,004739f0,007d3ff8
0042a940	FUN_0042a940	frontend	unknown	re/analysis/frontend_promote_menus_a/0x0042a940.md	0040ce80,005f6748,005f6754
0040b460	FUN_0040b460	frontend	unknown	re/analysis/frontend_promote_menus_b/0040b460.md	00417740
0042d290	FUN_0042d290	frontend	unknown	re/analysis/promote_c2_frontend_menus/0x0042d290.md	004a2b60,004a2c48,005cd794,005cd798,005cd7a0
00429a30	FUN_00429a30	frontend	unknown	re/analysis/frontend_promote_menus_b/00429a30.md	00430790
00428320	FUN_00428320	frontend	unknown	re/analysis/frontend_promote_menus_b/00428320.md	00427840,005554d0
00403050	FUN_00403050	frontend	unknown	re/analysis/loading_screen/0x00403050.md	00402fb0,00428760,0042b930,00492e90,00616038,00771964,007d3ff8
00408a70	FUN_00408a70	frontend	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00408a70.md	00408acf,004a2c48
00422fd0	FUN_00422fd0	frontend	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00422fd0.md	0040e470,00419760,004215c0,00423032,0045ba00,0046c5c0,0046c790,007f0fd0
0042aa00	FUN_0042aa00	frontend	unknown	re/analysis/frontend_promote_menus_a/0x0042aa00.md	0067e9f8,0067ed40,0067ed74,0067ed84
004307a0	FUN_004307a0	frontend	unknown	re/analysis/frontend_c0_promote/0x004307a0.md	00429a70,00429a80,00429a90,005cc728,00614718,0061471c,00614720,0067f17c
00495080	FUN_00495080	frontend	unknown	re/analysis/game_mode_cont2/0x00495080.md	00494fd0,005cc32c
00494f30	FUN_00494f30	frontend	unknown	re/analysis/game_mode_cont2/0x00494f30.md	00493fc0,00771a18,00771a50,00771a54
0040e480	FUN_0040e480	frontend	unknown	re/analysis/c0_promotion_frontend_a/0x0040e480.md	005f2770
004c5c00	FUN_004c5c00	frontend	unknown	re/analysis/sprite_gate_c3/0x004c5c00.md	
0045ba00	FUN_0045ba00	frontend	unknown	re/analysis/promote_c1_low_ab1/0x0045ba00.md	00422fd0,0045ba03,0045ba0e,0068d1f0
0046c5c0	FUN_0046c5c0	frontend	unknown	re/analysis/promote_c1_low_ab1/0x0046c5c0.md	0046c5c4,0046c5cb,0046c5d3,0046c5df,0046c5ec,007f1030
0046c790	FUN_0046c790	frontend	unknown	re/analysis/promote_c1_low_ab1/0x0046c790.md	0046c5c0,0046c794,0046c79e,0046c7ac
0042ed70	FUN_0042ed70	frontend	unknown	re/analysis/promote_c2_frontend_menus/0x0042ed70.md	00427ff0,004282a0,0042b8b0,0042b8c0
