rva	name	subsystem	reason
0043c5b0	FUN_0043c5b0	frontend	inline [UNCERTAIN U-0448] catalogued but Blocks=C3 (matched-RVA) (heading=## uncertainties)
00427e00	FUN_00427e00	frontend	signature-unsupported: fastcall ECX/EDX args
004a2c48	FUN_004a2c48	frontend	signature-unsupported: in_ST0 (FPU) arg
00493f70	sub_00493f70	frontend	callee-gate: 0045dbe0=C1
004cc230	FUN_004cc230	frontend	inline [UNCERTAIN U-3722] not in UNCERTAINTIES.md (heading=## mechanical description)
00493fc0	sub_00493fc0	frontend	callee-gate: 004938e0=C1
00493fd0	sub_00493fd0	frontend	callee-gate: 004c75e0=C1
00494460	sub_00494460	frontend	callee-gate: 00494320=C1,004c7650=C1
00494a80	sub_00494a80	frontend	callee-gate: 004944c0=C1
004c1be0	sub_004c1be0	frontend	callee-gate: 004c7730=C1
0042ac50	FUN_0042ac50	frontend	signature-unsupported: fastcall ECX/EDX args
00430b30	FUN_00430b30	frontend	signature-unsupported: in_EAX arg
00431b80	FUN_00431b80	frontend	inline bare [UNCERTAIN] (heading=## why c2 (drift-promote from c1, 2026-05-14))
0042f020	FUN_0042f020	frontend	signature-unsupported: fastcall ECX/EDX args
00431d00	FUN_00431d00	frontend	signature-unsupported: in_EAX arg
004215c0	FUN_004215c0	frontend	callee-gate: 004039f0=C1,0040be50=C1
004a2b60	FUN_004a2b60	frontend	callee-gate: 004a4ea8=C0,004a504f=C1
00494480	FUN_00494480	frontend	callee-gate: 004938e0=C1,004942b0=C1
004277a0	FUN_004277a0	frontend	signature-unsupported: in_EAX arg
