rva	name	subsystem	arg_type	note	callees
0042e5b0	FUN_0042e5b0	frontend	unknown	re/analysis/promote_c2_frontend_menus/0x0042e5b0.md	0040bb70,0042e590,00473c20,00473ee0,00474890,004a2c48
004cc160	FUN_004cc160	frontend	unknown	re/analysis/promote_c2_rw_engine_init/004cc160.md	004cc230,004d7ff0,004d8480,00550910,007d3ff8,007d45c4
004c1c80	FUN_004c1c80	hud	unknown	re/analysis/hud_ingame_d2/0x004c1c80.md	
00402fb0	FUN_00402fb0	hud	unknown	re/analysis/promote_c1_low_ab1/0x00402fb0.md	00402fb7,00402fbc,00402fc9,00402fd0,00402fe2,00402ff8,0040300e,00427e00,004a2c48,005cc56c,00636afc
00427680	FontText_ComputeScreenXY	hud	unknown	re/analysis/hud_promote_c2_b/0x00427680.md	0042b8b0,0042b8c0,005554d0,0067d838
00434720	FUN_00434720	frontend	unknown	re/analysis/hud_frontend_d2/0x00434720.md	
00439210	FUN_00439210	frontend	unknown	re/analysis/hud_frontend_d2/0x00439210.md	
0042bcb0	FUN_0042bcb0	frontend	unknown	re/analysis/c0_promotion_frontend_a/0x0042bcb0.md	004b5750,004c5c00,005cc560,005cc724,005cd18c,005cd5a8,005cd76c,005cd770,005cd774,005cd776,005cd778,00616038,00636ac8,007d3ff8,007e96fc
0042a940	FUN_0042a940	frontend	unknown	re/analysis/frontend_promote_menus_a/0x0042a940.md	0040ce80,005f6748,005f6754
00428320	FUN_00428320	frontend	unknown	re/analysis/frontend_promote_menus_b/00428320.md	00427840,005554d0
00403050	FUN_00403050	frontend	unknown	re/analysis/loading_screen/0x00403050.md	00402fb0,00428760,0042b930,00492e90,00616038,00771964,007d3ff8
0042aa00	FUN_0042aa00	frontend	unknown	re/analysis/frontend_promote_menus_a/0x0042aa00.md	0067e9f8,0067ed40,0067ed74,0067ed84
004307a0	FUN_004307a0	frontend	unknown	re/analysis/frontend_c0_promote/0x004307a0.md	00429a70,00429a80,00429a90,005cc728,00614718,0061471c,00614720,0067f17c
0040e480	FUN_0040e480	frontend	unknown	re/analysis/c0_promotion_frontend_a/0x0040e480.md	005f2770
00450b10	FUN_00450b10	hud	unknown	re/analysis/hud_ingame_promote_c2/0x00450b10.md	007d3ff8
00428450	FUN_00428450	hud	unknown	re/analysis/hud_ingame_promote_c2/0x00428450.md	0042b8b0,0042b8c0,00450b10,005cc560,005cc56c,005cc730,005cd274,005cd5a8,005cd658,005cd65c,005d757c,0067d974,00771960
004c5c00	FUN_004c5c00	frontend	unknown	re/analysis/sprite_gate_c3/0x004c5c00.md	
0045ba00	FUN_0045ba00	frontend	unknown	re/analysis/promote_c1_low_ab1/0x0045ba00.md	00422fd0,0045ba03,0045ba0e,0068d1f0
0046c5c0	FUN_0046c5c0	frontend	unknown	re/analysis/promote_c1_low_ab1/0x0046c5c0.md	0046c5c4,0046c5cb,0046c5d3,0046c5df,0046c5ec,007f1030
0046c790	FUN_0046c790	frontend	unknown	re/analysis/promote_c1_low_ab1/0x0046c790.md	0046c5c0,0046c794,0046c79e,0046c7ac
