rva	name	subsystem	arg_type	note	callees
004c2f60	FUN_004c2f60	render	unknown	re/analysis/render_promote_c2_rw_plugin/0x004c2f60.md	
004c2ed0	FUN_004c2ed0	render	unknown	re/analysis/render_promote_c2_rw_plugin/0x004c2ed0.md	
004c2fb0	FUN_004c2fb0	render	unknown	re/analysis/render_promote_c2_rw_plugin/0x004c2fb0.md	
004cbd30	FUN_004cbd30	render	unknown	re/analysis/texture_loader_d3/0x004cbd30.md	
004cc050	FUN_004cc050	render	unknown	re/analysis/texture_loader_d3/0x004cc050.md	
005ab410	FUN_005ab410	audio	unknown	re/analysis/promote_c2_audio_rws/005ab410.md	004cc050,005ab380
005abfa0	FUN_005abfa0	audio	unknown	re/analysis/promote_c2_audio_rws/005abfa0.md	
004c2c90	FUN_004c2c90	render	unknown	re/analysis/render_promote_c2_rw_plugin/0x004c2c90.md	
00498b60	FUN_00498b60	render	unknown	re/analysis/promote_c2_video_cfg/00498b60.md	007731f8,007731fc,00773408,00773410
004c8650	FUN_004c8650	render	unknown	re/analysis/promote_c2_render_d3d9/0x004c8650.md	
004c8690	FUN_004c8690	render	unknown	re/analysis/promote_c2_render_d3d9/0x004c8690.md	
004c8e50	FUN_004c8e50	render	unknown	re/analysis/promote_c2_render_d3d9/0x004c8e50.md	
004cc820	FUN_004cc820	render	unknown	re/analysis/promote_c2_render_d3d9/0x004cc820.md	
004cc9f0	FUN_004cc9f0	render	unknown	re/analysis/promote_c2_render_d3d9/0x004cc9f0.md	
004dcf90	FUN_004dcf90	render	unknown	re/analysis/promote_c2_render_d3d9/0x004dcf90.md	
004dcff0	FUN_004dcff0	render	unknown	re/analysis/promote_c2_render_d3d9/0x004dcff0.md	
004dd050	FUN_004dd050	render	unknown	re/analysis/promote_c2_render_d3d9/0x004dd050.md	
004053d0	FUN_004053d0	render	unknown	re/analysis/promote_c2_render_lowrva/004053d0.md	00639d70,00639d74,00639d78
00409680	FUN_00409680	render	unknown	re/analysis/promote_c2_render_lowrva/00409680.md	0063a5f0
0041e870	FUN_0041e870	render	unknown	re/analysis/render_promote_c2_track_node/0x0041e870.md	005f33f8,005f37a0,0063d7e4
0041e8b0	FUN_0041e8b0	render	unknown	re/analysis/render_promote_c2_track_node/0x0041e8b0.md	0041e870,0041e8b6,0041e970,0041e9d0,00426e10,0063d7e4
0041e970	FUN_0041e970	render	unknown	re/analysis/render_promote_c2_track_node/0x0041e970.md	0041e8b0,0041e976,0041ea90,00426e10,0063d7e4
0041e980	FUN_0041e980	render	unknown	re/analysis/render_promote_c2_track_node/0x0041e980.md	0041e870,00426e10,005f33f8,005f37a0
0041e9d0	FUN_0041e9d0	render	unknown	re/analysis/render_promote_c2_track_node/0x0041e9d0.md	0041e8b0,00426e10,0063d7e4
