rva	name	subsystem	reason
004938c0	sub_004938c0	render	callee-gate: 004c3040=C1,004c3270=C1,00550390=C1,00558470=C1
00493710	FUN_00493710	render	callee-gate: 00493640=C1,004951f0=C1,00495270=C1,00495780=C1,004c3040=C1,004c30b0=C1,004c3270=C1,004c32b0=C1,004c5c80=C1,004c9eb0=C1,004c9f50=C1,004c9f60=C1,004cbc60=C1,004cbc70=C1,004cbc80=C1,004cbc90=C1,00550350=C1,00550390=C1,005584c0=C1
00493600	FUN_00493600	render	inline bare [UNCERTAIN] (heading=## why c2)
004522d0	FUN_004522d0	audio	callee-gate: 005a7b60=C1
005abcf0	FUN_005abcf0	audio	callee-gate: 005a7e70=C1
005aea00	FUN_005aea00	audio	inline [UNCERTAIN U-0125] catalogued but Blocks=C3 (matched-RVA) (heading=## uncertainties)
004987b0	FUN_004987b0	input	callee-gate: 004a42c5=C1,004a504f=C1
00499710	FUN_00499710	render	live-state-side-effect: modal Win32 dialog (DialogBoxParam) (in ## mechanical description)
004c8740	FUN_004c8740	render	live-state-side-effect: Direct3D vtable on live device (in ## what it does)
004c8800	FUN_004c8800	render	live-state-side-effect: Direct3D vtable on live device (in ## what it does)
004c8c70	FUN_004c8c70	render	live-state-side-effect: Direct3D vtable on live device (in ## what it does)
00494c80	FUN_00494c80	util	callee-gate: 00493bc0=C1,00493f00=C1,004944b0=C1,00494ac0=C1,004a1790=C1
0042a6b0	FUN_0042a6b0	vehicle	callee-gate: 0042a530=C1,004b3d20=C1
00411f30	FUN_00411f30	vehicle	callee-gate: 004781b0=C1,004b3e40=C1,004b3f90=C0,004b5320=C1,004b5580=C1,004b68e0=C1,004b68f0=C1
004039c0	FUN_004039c0	vehicle	callee-gate: 0042a5d0=C1
00409710	FUN_00409710	render	callee-gate: 004095a0=C1
00412050	FUN_00412050	render	callee-gate: 0047cdc0=C1,0047fad0=C1,004b3f90=C0
0043c5b0	FUN_0043c5b0	frontend	inline [UNCERTAIN U-0448] catalogued but Blocks=C3 (matched-RVA) (heading=## uncertainties)
00427e00	FUN_00427e00	frontend	signature-unsupported: fastcall ECX/EDX args
004a2c48	FUN_004a2c48	frontend	signature-unsupported: in_ST0 (FPU) arg
005ba1d0	FUN_005ba1d0	audio	no-note
005bad30	LAB_005bad30	audio	no-note
005aa560	FUN_005aa560	audio	no-note
004cf7d0	FUN_004cf7d0	render	callee-gate: 004c5930=C1,004c59c0=C1,004cf9e0=C1,004e1b60=C1
004b3d80	FUN_004b3d80	render	callee-gate: 0042a530=C1,0054f8d0=C1
0040b090	sub_0040b090	render	callee-gate: 0040ad40=C1,0040ad90=C1,0040ae30=C1,0040aef0=C1,004292c0=C1,004292d0=C1,0046d320=C1,0046d360=C1,0055dec0=C1
00476df0	FUN_00476df0	render	inline bare [UNCERTAIN] (heading=## open items)
0041d870	sub_0041d870	hud	callee-gate: 0041d410=C1
0041ded0	sub_0041ded0	hud	callee-gate: 0041de80=C1
0041e850	sub_0041e850	hud	callee-gate: 0041e630=C1
004929d0	FUN_004929d0	util	callee-gate: 0040b430=C1,0040b540=C1,0040b6d0=C1,0040b6e0=C1,0040b700=C1,0040d440=C1,0040e450=C1,0040e460=C1,0042b8e0=C1,0042b910=C1,0042b940=C1,0042c1c0=C1,0042c1d0=C1,0042c220=C1,00448700=C1,004927c0=C1
004af31a	LAB_004af31a	util	callee-gate: 004af2d4=C1,004af32d=C1
004950b0	FUN_004950b0	util	callee-gate: 00495120=C1
004cc230	FUN_004cc230	frontend	inline [UNCERTAIN U-3722] not in UNCERTAINTIES.md (heading=## mechanical description)
00499400	VideoSettingsDispatcher	save	live-state-side-effect: modal Win32 dialog (DialogBoxParam) (in ## constants (cited at exact rva))
004991f0	VideoSettingsDlgProc	save	live-state-side-effect: modal Win32 dialog (DialogBoxParam) (in ## callers)
004c1be0	sub_004c1be0	frontend	callee-gate: 00493fd0=C1,004c7730=C1
005abd30	FUN_005abd30	audio	callee-gate: 005b3b30=C1,005b3b60=C1,005b3b80=C1
004331a0	FUN_004331a0	vehicle	callee-gate: 00424920=C1
00495280	FUN_00495280	render	callee-gate: 00402b70=C1,004b6570=C1
004952f0	FUN_004952f0	render	callee-gate: 004b65c0=C1,004b67a0=C1
00428760	FUN_00428760	hud	callee-gate: 00428610=C1
0041c2d0	FUN_0041c2d0	hud	signature-unsupported: in_EAX arg
0041b340	FUN_0041b340	hud	signature-unsupported: in_EAX arg
0041bc50	FUN_0041bc50	hud	signature-unsupported: in_EAX arg
0041c9a0	FUN_0041c9a0	hud	signature-unsupported: in_EAX arg
00427ca0	FontText_HudInit	hud	callee-gate: 00427880=C1,00556cc0=C1,00556d70=C1
00427620	FontText_HudShutdown	hud	callee-gate: 004c5930=C1,00552b90=C1,00555830=C1,00556cd0=C1,00556e40=C1
00427ff0	FontText_DrawTextRotated	hud	inline bare [UNCERTAIN] (heading=## body summary (0x00427ff0–0x0042813d))
005554d0	FUN_005554d0	hud	callee-gate: 00554940=C1
004368e0	FUN_004368e0	frontend	callee-gate: 00427f00=C1,0042e8b0=C1,0042fab0=C1,00458630=C0
0042ac50	FUN_0042ac50	frontend	signature-unsupported: fastcall ECX/EDX args
00430b30	FUN_00430b30	frontend	signature-unsupported: in_EAX arg
0040de30	sub_0040de30	render	callee-gate: 004c1480=C1
0040df20	sub_0040df20	render	callee-gate: 004c1480=C1
00404320	sub_00404320	render	callee-gate: 00403c60=C1
00410b30	sub_00410b30	render	inline bare [UNCERTAIN] (heading=## mechanical description)
00411870	Replay::LapFinish	vehicle	callee-gate: 00426c00=C1,0046d4a0=C1,00482860=C1,004829d0=C1,00483a30=C1
00411ae0	Ghost::PlaybackTick	vehicle	callee-gate: 00482c10=C1
00411ce0	Ghost::SetupRender	vehicle	inline bare [UNCERTAIN] (heading=## mechanical description)
00411d90	Replay::CreateOrLoad	vehicle	callee-gate: 00426c00=C1,00430820=C1,00482900=C1,00482930=C1,00483d10=C1
00552840	FontCtx_SetRotation	hud	callee-gate: 004c4d20=C1
