rva	name	subsystem	reason
00492370	sub_00492370	boot	live-state-side-effect: _unlink on live path (in ## why c2)
004abe86	FUN_004abe86	boot	signature-unsupported: fastcall ECX/EDX args
004c5930	sub_004c5930	boot	inline [UNCERTAIN U-0010] catalogued but Blocks=C3 (matched-RVA) (heading=## uncertainties)
005a7b60	FUN_005a7b60	audio	live-state-side-effect: _unlink on live path (in ## mechanical description)
005a79a0	FUN_005a79a0	audio	live-state-side-effect: _unlink on live path (in (preamble))
005aea00	FUN_005aea00	audio	inline [UNCERTAIN U-0125] catalogued but Blocks=C3 (matched-RVA) (heading=## uncertainties)
004a2be9	__security_check_cookie	boot	signature-unsupported: fastcall ECX/EDX args
004aac76	___sbh_alloc_block	boot	inline [UNCERTAIN U-0191] catalogued but Blocks=C3 (matched-RVA) (heading=## uncertainties)
004ac45c	___crtMessageBoxA	boot	live-state-side-effect: blocking message box (in ## mechanical description)
0047b8d0	FUN_0047b8d0	input	live-state-side-effect: fopen — live file I/O (in (preamble))
004014b0	FUN_004014b0	boot	callee-gate: 004e45b0=C1,004e4860=C1,004e4d90=C1,004e5700=C1,004e6e00=C1
004015a0	FUN_004015a0	boot	callee-gate: 004e6e00=C1
00403660	FUN_00403660	boot	inline bare [UNCERTAIN] (heading=## struct offsets)
00418980	thunk_FUN_0041a060	boot	callee-gate: 004c0b30=C1,004e69a0=C1,004e7e30=C1
004189e0	thunk_FUN_004196f0	boot	callee-gate: 004e6920=C1,004e6e00=C1
00493f00	FUN_00493f00	util	live-state-side-effect: blocking message box (in (preamble))
004944b0	FUN_004944b0	util	signature-unsupported: fastcall ECX/EDX args
004944c0	FUN_004944c0	util	live-state-side-effect: blocking message box (in ## mechanical description)
004548e0	FUN_004548e0	vehicle	callee-gate: 004c0b30=C1,004c1040=C1,004c39b0=C1,004e69a0=C1,004e6ab0=C1,004e7e30=C1
00456760	FUN_00456760	vehicle	callee-gate: 004e6ab0=C1
005ba1d0	FUN_005ba1d0	audio	no-note
005bad30	LAB_005bad30	audio	no-note
005aa560	FUN_005aa560	audio	no-note
004b44f0	FUN_004b44f0	util	inline bare [UNCERTAIN] (heading=## callers (xref — 10 total))
004b4510	FUN_004b4510	util	callee-gate: 00534870=C1
00472690	FUN_00472690	util	callee-gate: 00534870=C1
