rva	name	subsystem	arg_type	note	callees
0045bae0	FUN_0045bae0	vehicle	unknown	re/analysis/skeleton_prep_render/0045bae0.md	004039c0,00411f30,0042a6b0,00440bc0,00453f30,004587a0,00459290,0045b930,0045ba10,0045bae3,0045bae7,0045baf5,0045bafd,0045bb0f,0045bb1a,0045bb30,0045bb35,0045bb3a,0045bb47,0045bb52,0045bb57,0047b9b0,005f99ac,005f9bd8,0068d4d0,0068d4e0
0045ba10	FUN_0045ba10	vehicle	unknown	re/analysis/bucket_vehicle_00453f30_00482030/0045ba10.md	00459290,0045bae0,004770c0,004b6520,00692564
0042a6b0	FUN_0042a6b0	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x0042a6b0.md	0042a530,0042a730,004b3d20,004b3d80,005f65b8,0067dfa8,0067e1a8,007d3ff8
00453f30	FUN_00453f30	vehicle	unknown	re/analysis/bucket_vehicle_00453f30_00482030/00453f30.md	00453f35,0045bae0,005f99ac,006870b4,00687ec4
004587a0	FUN_004587a0	vehicle	unknown	re/analysis/bucket_vehicle_00453f30_00482030/004587a0.md	0040bb30,0045bae0,004770c0,004b3b70,004b3d80,004b3e40,004b6520,004b68e0,004b68f0,004c5c80,00616038,0068b1a0,0068b968,0068b970,0068b9ac
00459290	FUN_00459290	vehicle	unknown	re/analysis/bucket_vehicle_00453f30_00482030/00459290.md	0040bb30,0045bae0,00474d60,00476c10,00476cb0,004770c0,004b3bf0,004b3d80,004c57a0,004c5c80,0068b9b8,0068ba30,0068bb58,0068bb90
00411f30	FUN_00411f30	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00411f30.md	00412007,004781b0,004b3b70,004b3e40,004b3f90,004b5320,004b5580,004b6520,004b68e0,004b68f0,0063bb3c,0063bc34,0063bc40
004039c0	FUN_004039c0	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x004039c0.md	004039d6,0042a5d0,0042a6b0,005f99ac,00636c00
00418560	FUN_00418560	ai	unknown	re/analysis/ai_update/0x00418560.md	00407a40,0040e350,0040e4a0,00413fe0,00416250,00416a30,00417180,00417640,00417da0,0041856c,00418572,00418575,00418583,0041858b,0041858e,00418593,00418598,0041859e,004185a3,004185ab,004185b5,004185ca,004185cb,004185e4,004185e5,004185e7,004185ee,004185f1,004185fa,00418604,0041860a,00418619,0041863f,00418649,0041867e,00418689,004186be,004186c9,004186fe,00418704,0041870d,00418763,00418805,0041883e,00426c00,007f0fd0,007f0ff8,007f1038,007f1a14,007f1a50,007f1a68,007f1a6c
00407a40	FUN_00407a40	ai	unknown	re/analysis/bucket_ai_00407a40_00415880/0x00407a40.md	00407a50,00408af0,00418560,004252c0,0045a950,00471ec0
0040e350	FUN_0040e350	ai	unknown	re/analysis/promote_c2_vehicle_lowrva/0x0040e350.md	0040e355,0063ba8c
0040e4a0	FUN_0040e4a0	ai	unknown	re/analysis/bucket_ai_00407a40_00415880/0x0040e4a0.md	0040e4a5,00418560,00429e10,00448220,005f29b8
