rva	name	subsystem	arg_type	note	callees
00558470	sub_00558470	render	unknown	re/analysis/skeleton_prep_high_leverage/00558470.md	00558484,00558498,005584b5,007d3ff8,007dc8ac,007dc8b8,007dc8bc
004c2f60	FUN_004c2f60	render	unknown	re/analysis/render_promote_c2_rw_plugin/0x004c2f60.md	
004c3270	sub_004c3270	render	unknown	re/analysis/skeleton_prep_high_leverage/004c3270.md	004c3279,004c327e,004c3283,004c3297,004c32a1,004ccf20,004d7ca0,007d3ff4,007d3ff8
00493600	FUN_00493600	render	unknown	re/analysis/rw_engine_init/00493600.md	004935a0,004935d0,004ce790,00513f90,0052d530,005cf748,005cf74c
004951e0	thunk_FUN_00495780	render	unknown	re/analysis/rw_engine_init/004951e0.md	004951e4,004955d0,00495780
004951f0	FUN_004951f0	render	unknown	re/analysis/skeleton_prep_boot_winmain_a/004951f0.md	00496400,00498b60,00498bf0,00499400,004cbb60,006147bc,007719e0,00771e58
004a2cbd	FID_conflict:_wprintf	render	unknown	re/analysis/rw_engine_init/004a2cbd.md	004a2d18,004a504f,00616110
004c2fb0	FUN_004c2fb0	render	unknown	re/analysis/render_promote_c2_rw_plugin/0x004c2fb0.md	
004c32b0	FUN_004c32b0	render	unknown	re/analysis/skeleton_prep_high_leverage/004c32b0.md	0045b350,004c32b8,004c32ce,004c32d8,004c32dc,004c35af,004c35b0,004c35d0,004cc7e0,004cca80,004ccba0,004cce20,004ccf20,004cfa00,004d7c60,004d7ca0,004d7de0,004d8560,004d8570,00617fe0,007d3ec8,007d3fe0,007d3fe4,007d3ff8
004c2c90	FUN_004c2c90	render	unknown	re/analysis/render_promote_c2_rw_plugin/0x004c2c90.md	
004ccf20	FUN_004ccf20	render	unknown	re/analysis/render_5_c1_to_c2_s1/FUN_004ccf20.md	007d3ff8
004d7ca0	FUN_004d7ca0	render	unknown	re/analysis/render_6_c1_to_c2_s3/004d7ca0.md	
004d8060	FUN_004d8060	render	unknown	re/analysis/render_6_c1_to_c2_s3/004d8060.md	
00498b60	FUN_00498b60	render	unknown	re/analysis/promote_c2_video_cfg/00498b60.md	007731f8,007731fc,00773408,00773410
004a2d18	FUN_004a2d18	render	unknown	re/analysis/rw_engine_init_d2/004a2d18.md	
004a504f	FUN_004a504f	render	unknown	re/analysis/rw_engine_init_d2/004a504f.md	005d1280,005d12a0,00616038,006160d8
004c7a60	thunk_FUN_004cfa00	render	unknown	re/analysis/render_4_c1_to_c2_s4/FUN_004c7a60.md	004c7690,004cfa00
004c9f60	FUN_004c9f60	render	unknown	re/analysis/skeleton_prep_boot_winmain_b/004c9f60.md	006181b4,006181b8,006181bc,006181c0,007d4110,007d4120,007d413c
004c8690	FUN_004c8690	render	unknown	re/analysis/promote_c2_render_d3d9/0x004c8690.md	
004c8e50	FUN_004c8e50	render	unknown	re/analysis/promote_c2_render_d3d9/0x004c8e50.md	
004cc820	FUN_004cc820	render	unknown	re/analysis/promote_c2_render_d3d9/0x004cc820.md	
004cc9f0	RwFreeListDestroy	render	unknown	re/analysis/promote_c2_render_d3d9/0x004cc9f0.md	
00409710	FUN_00409710	render	unknown	re/analysis/promote_c2_render_lowrva/00409710.md	004095a0,00409680,00495280,004952f0,004cbd30,004cc160,004cc230,004cc5e0,0063a5f0,0063b7f0
