rva	name	subsystem	reason
00550390	sub_00550390	render	callee-gate: 00551510=C1
004c3040	sub_004c3040	render	inline [UNCERTAIN U-0091] catalogued but Blocks=C3 (matched-RVA) (heading=## uncertainties)
00493710	FUN_00493710	render	callee-gate: 00550350=C1,005584c0=C1
00493640	FUN_00493640	render	callee-gate: 004e5d30=C1,0052d8e0=C1,0052e310=C1,005336d0=C1,00534a80=C1,00538600=C1,0053d0b0=C1,0053eaa0=C1,00543e50=C1,00544d20=C1,00546530=C1,00549640=C1,005515a0=C1,005578a0=C1,00561ee0=C1,0057c270=C1
00472380	FUN_00472380	render	callee-gate: 004e7d40=C1
004c7a70	_rwDeviceSystemFn	render	live-state-side-effect: Direct3D vtable on live device (in ## mechanical description)
004c8740	FUN_004c8740	render	live-state-side-effect: Direct3D vtable on live device (in ## what it does)
004c8800	FUN_004c8800	render	live-state-side-effect: Direct3D vtable on live device (in ## what it does)
004c8c70	FUN_004c8c70	render	live-state-side-effect: Direct3D vtable on live device (in ## what it does)
004b3d80	FUN_004b3d80	render	callee-gate: 0054f8d0=C1
00476df0	FUN_00476df0	render	inline bare [UNCERTAIN] (heading=## open items)
0048fe70	FUN_0048fe70	render	callee-gate: 00538c80=C1
004c9cd0	RESET_FN	render	live-state-side-effect: Direct3D vtable on live device (in ## mechanical description)
00480340	FUN_00480340	render	shape-only note (no verbatim decomp / mechanical-transcript section)
00433f40	FUN_00433f40	render	signature-unsupported: 5-arg shape
004cb8a0	FUN_004cb8a0	render	live-state-side-effect: Direct3D vtable on live device (in ## decompilation summary)
004d5bc0	FUN_004d5bc0	render	live-state-side-effect: Direct3D vtable on live device (in ## global data references)
004cb330	FUN_004cb330	render	shape-only note (no verbatim decomp / mechanical-transcript section)
00498c00	VideoModeTableInit	render	shape-only note (no verbatim decomp / mechanical-transcript section)
004491e0	SkyDomeUpdatePos	render	callee-gate: 004c15c0=C1
004914b0	RainRender	render	shape-only note (no verbatim decomp / mechanical-transcript section)
004270f0	CourseRenderFrame	render	callee-gate: 004e5660=C1
00420050	PerPlayerViewportRender	render	callee-gate: 004e4900=C1
00425e40	FUN_00425e40	render	callee-gate: 004e6100=C1
00475e50	FUN_00475e50	render	inline bare [UNCERTAIN] (heading=## mechanical description)
00475d30	FUN_00475d30	render	inline bare [UNCERTAIN] (heading=## mechanical description)
00477810	FUN_00477810	render	inline bare [UNCERTAIN] (heading=## mechanical description)
00477a10	FUN_00477a10	render	inline bare [UNCERTAIN] (heading=## mechanical description)
0048fd70	FUN_0048fd70	render	signature-unsupported: 5-arg shape
0042c960	CameraTransitionStateMachine	render	shape-only note (no verbatim decomp / mechanical-transcript section)
0042a740	FUN_0042a740	render	callee-gate: 00558df0=C1
004b5030	FUN_004b5030	render	callee-gate: 004e5c70=C1
0045e2a0	FUN_0045e2a0	render	callee-gate: 00546380=C1
0045e160	FUN_0045e160	render	callee-gate: 00546380=C1
004c51a0	RwMatrixTranslate	render	inline bare [UNCERTAIN] (heading=## d-4360 partial — lab_00554940 im2d per-glyph vertex emission)
004b3c60	FUN_004b3c60	render	callee-gate: 004e99b0=C1
004b3cc0	FUN_004b3cc0	render	callee-gate: 00545260=C1
00474f30	FUN_00474f30	render	callee-gate: 00552020=C1
00487280	FUN_00487280	render	callee-gate: 00538c80=C1,00547230=C1
004cee90	FUN_004cee90	render	shape-only note (no verbatim decomp / mechanical-transcript section)
004cefd0	FUN_004cefd0	render	shape-only note (no verbatim decomp / mechanical-transcript section)
004c4470	sub_004c4470 (rwID_MATRIXMODULE ctor)	render	shape-only note (no verbatim decomp / mechanical-transcript section)
004c4430	sub_004c4430 (rwID_MATRIXMODULE dtor)	render	shape-only note (no verbatim decomp / mechanical-transcript section)
004c07b0	sub_004c07b0 (rwID_FRAMEMODULE ctor)	render	inline bare [UNCERTAIN] (heading=## evidence for c2)
004c0830	sub_004c0830 (rwID_FRAMEMODULE dtor)	render	inline bare [UNCERTAIN] (heading=## evidence for c2)
0042d420	FUN_0042d420	render	callee-gate: 004c0b30=C1
004c4eb0	RwMatrixInvert_CofactorPath	render	inline bare [UNCERTAIN] (heading=## algorithm)
004ce790	FUN_004ce790	render	shape-only note (no verbatim decomp / mechanical-transcript section)
004cf160	FUN_004cf160	render	inline bare [UNCERTAIN] (heading=## why c2)
004c3d60	FUN_004c3d60	render	callee-gate: 00534870=C1
00403fa0	FUN_00403fa0	render	signature-unsupported: in_EAX arg
00413a00	FUN_00413a00	render	inline bare [UNCERTAIN] (heading=## mechanical description)
00413a40	FUN_00413a40	render	inline bare [UNCERTAIN] (heading=## mechanical description)
0046d400	FUN_0046d400	render	callee-gate: 00538c80=C1
004c90a0	FUN_004c90a0	render	live-state-side-effect: Direct3D vtable on live device (in ## constants)
00404fa0	FUN_00404fa0	render	callee-gate: 00532a60=C1
004a4ff4	write_multi_char	render	signature-unsupported: in_EAX arg
004a5018	write_string	render	signature-unsupported: in_EAX arg
004dcaa0	FUN_004dcaa0	render	live-state-side-effect: Direct3D vtable on live device (in ## what it does)
004c3dc0	FUN_004c3dc0	render	inline bare [UNCERTAIN] (heading=(preamble))
004ccba0	FUN_004ccba0	render	live-state-side-effect: _unlink on live path (in ## decompilation (verbatim, verified 2026-05-13))
004c5a60	FUN_004c5a60	render	inline bare [UNCERTAIN] (heading=## why c2)
004caea0	FUN_004caea0	render	inline [UNCERTAIN U-3720] not in UNCERTAINTIES.md (heading=## why c2)
00401fe0	FUN_00401fe0	render	callee-gate: 004e7fa0=C1,004e8030=C1,004e8640=C1,004e8910=C1,004e8940=C1,004e8a10=C1,004e8c70=C1
00402240	FUN_00402240	render	callee-gate: 004c0b30=C1,004c1040=C1,004e67b0=C1,004e68a0=C1,004e6d80=C1,004e6f80=C1,004e7e30=C1,004e8ea0=C1
004022a0	FUN_004022a0	render	callee-gate: 004e7fa0=C1,004e8030=C1,004e8640=C1,004e8910=C1,004e8940=C1,004e8a10=C1,004e8c70=C1
00402590	FUN_00402590	render	callee-gate: 004c0b30=C1,004c1040=C1,004e67b0=C1,004e68a0=C1,004e6d80=C1,004e6f80=C1,004e7e30=C1,004e8ea0=C1
004034a0	FUN_004034a0	render	inline bare [UNCERTAIN] (heading=## body summary)
004036a0	FUN_004036a0	render	signature-unsupported: in_EAX arg
00443210	FUN_00443210	render	inline bare [UNCERTAIN] (heading=## body summary)
00448770	FUN_00448770	render	callee-gate: 004c15c0=C1,004e6ab0=C1
00448820	FUN_00448820	render	callee-gate: 004c15c0=C1,004e6ab0=C1
00448880	FUN_00448880	render	callee-gate: 004c15c0=C1,004e6ab0=C1
00448cb0	FUN_00448cb0	render	callee-gate: 004c15c0=C1
00448dc0	FUN_00448dc0	render	callee-gate: 004c15c0=C1
00448e20	FUN_00448e20	render	callee-gate: 004c15c0=C1
00490000	FUN_00490000	render	callee-gate: 004e8090=C1
00490020	FUN_00490020	render	callee-gate: 004e8090=C1
00490e70	FUN_00490e70	render	inline bare [UNCERTAIN] (heading=## mechanical description)
00490fb0	FUN_00490fb0	render	inline bare [UNCERTAIN] (heading=## mechanical description)
00491340	FUN_00491340	render	inline bare [UNCERTAIN] (heading=## mechanical description)
00491b20	FUN_00491b20	render	inline bare [UNCERTAIN] (heading=## mechanical description)
00491c00	FUN_00491c00	render	inline bare [UNCERTAIN] (heading=## mechanical description)
00491e50	FUN_00491e50	render	signature-unsupported: in_EAX arg
00491f00	FUN_00491f00	render	callee-gate: 00535700=C1,00535910=C1
00492170	FUN_00492170	render	inline bare [UNCERTAIN] (heading=## mechanical description)
004921b0	FUN_004921b0	render	inline bare [UNCERTAIN] (heading=## mechanical description)
00467110	FUN_00467110	render	callee-gate: 004c0b30=C1
004d0290	FUN_004d0290	render	live-state-side-effect: Direct3D vtable on live device (in (preamble))
004d0660	FUN_004d0660	render	live-state-side-effect: Direct3D vtable on live device (in (preamble))
004d07b0	FUN_004d07b0	render	live-state-side-effect: Direct3D vtable on live device (in (preamble))
004d0d00	FUN_004d0d00	render	live-state-side-effect: Direct3D vtable on live device (in (preamble))
004d1020	FUN_004d1020	render	live-state-side-effect: Direct3D vtable on live device (in (preamble))
004d1640	FUN_004d1640	render	live-state-side-effect: Direct3D vtable on live device (in (preamble))
004d1d20	FUN_004d1d20	render	live-state-side-effect: Direct3D vtable on live device (in (preamble))
004d41e0	FUN_004d41e0	render	live-state-side-effect: remove() on live path (in ## callees)
004d55b0	FUN_004d55b0	render	live-state-side-effect: Direct3D vtable on live device (in ## role)
00493c60	FUN_00493c60	render	signature-unsupported: fastcall ECX/EDX args
00494820	FUN_00494820	render	live-state-side-effect: Direct3D vtable on live device (in ## mechanical description)
00494b65	FUN_00494b65	render	signature-unsupported: fastcall ECX/EDX args
00494f40	FUN_00494f40	render	signature-unsupported: fastcall ECX/EDX args
00494fd0	FUN_00494fd0	render	live-state-side-effect: Direct3D vtable on live device (in ## mechanical description)
00496940	FUN_00496940	render	live-state-side-effect: Direct3D vtable on live device (in ## mechanical description)
004969a0	FUN_004969a0	render	signature-unsupported: in_EAX arg
00496d20	FUN_00496d20	render	callee-gate: 004e5c70=C1
00499d90	FUN_00499d90	render	live-state-side-effect: Direct3D vtable on live device (in ## mechanical description)
00487e20	thunk_FUN_00535700	render	callee-gate: 00535700=C1
00487e30	thunk_FUN_00535910	render	callee-gate: 00535910=C1
004e66d0	RpClumpForAllAtomics	render	live-state-side-effect: _unlink on live path (in ## mechanical description (decomp transcript))
00418a70	FUN_00418a70	render	signature-unsupported: in_EAX arg
00418aa0	FUN_00418aa0	render	signature-unsupported: in_EAX arg
00418bd0	FUN_00418bd0	render	signature-unsupported: fastcall ECX/EDX args
0041a980	FUN_0041a980	render	callee-gate: 004e6e00=C1
0041ad60	FUN_0041ad60	render	signature-unsupported: in_EAX arg
0041af50	FUN_0041af50	render	signature-unsupported: in_EAX arg
0041b440	FUN_0041b440	render	callee-gate: 004e6e00=C1
0041beb0	FUN_0041beb0	render	callee-gate: 004e6e00=C1
0041cb00	FUN_0041cb00	render	callee-gate: 004e6e00=C1
0041d6d0	FUN_0041d6d0	render	callee-gate: 004e6e00=C1
004b4080	FUN_004b4080	render	callee-gate: 004e89a0=C1
004b40f0	FUN_004b40f0	render	callee-gate: 004e89a0=C1
0041ecc0	FUN_0041ecc0	render	callee-gate: 0053fba0=C1,0053fbb0=C1,0053fea0=C1,005401d0=C1
004216b0	FUN_004216b0	render	callee-gate: 004e6100=C1
00421750	FUN_00421750	render	callee-gate: 0055ad30=C1
00421800	FUN_00421800	render	callee-gate: 0055ad30=C1,0055b650=C1
004218b0	FUN_004218b0	render	callee-gate: 0057c220=C1,0057c300=C1
004218d0	FUN_004218d0	render	callee-gate: 0055b940=C1,0055c4a0=C1,0055c540=C1,0057c500=C1,0057c550=C1
00421980	FUN_00421980	render	callee-gate: 00559ee0=C1
00421a90	FUN_00421a90	render	signature-unsupported: in_EAX arg
00421ba0	FUN_00421ba0	render	signature-unsupported: in_EAX arg
00421c50	FUN_00421c50	render	signature-unsupported: in_EAX arg
00421c80	FUN_00421c80	render	callee-gate: 004e6e00=C1,004e7e30=C1,0057c370=C1
004752f0	FUN_004752f0	render	callee-gate: 00532a60=C1
00475830	FUN_00475830	render	callee-gate: 00557ec0=C1,00558030=C1
00476650	FUN_00476650	render	signature-unsupported: 5-arg shape
004768c0	FUN_004768c0	render	live-state-side-effect: _unlink on live path (in ## mechanical description)
00477490	FUN_00477490	render	signature-unsupported: fastcall ECX/EDX args
00477500	FUN_00477500	render	signature-unsupported: in_EAX arg
00477580	FUN_00477580	render	callee-gate: 004e6920=C1,004e7e30=C1
004775b0	FUN_004775b0	render	callee-gate: 004c0b30=C1,004e69a0=C1,004e7e30=C1,005493d0=C1
00477870	FUN_00477870	render	callee-gate: 004e6e00=C1,005495b0=C1
00479100	FUN_00479100	render	callee-gate: 00559040=C1
00479fb0	FUN_00479fb0	render	callee-gate: 004e6920=C1,004e7e30=C1
0047acd0	FUN_0047acd0	render	inline bare [UNCERTAIN] (heading=## key globals / offsets)
0047ad00	FUN_0047ad00	render	inline bare [UNCERTAIN] (heading=## key globals / offsets)
00454bd0	FUN_00454bd0	render	callee-gate: 004e4800=C1
00454c00	FUN_00454c00	render	signature-unsupported: in_EAX arg
00454c10	FUN_00454c10	render	signature-unsupported: fastcall ECX/EDX args
00454c60	FUN_00454c60	render	signature-unsupported: in_EAX arg
00454f80	FUN_00454f80	render	callee-gate: 004e6ab0=C1
00454fa0	FUN_00454fa0	render	callee-gate: 004e4800=C1
00454ff0	FUN_00454ff0	render	callee-gate: 004e4800=C1
00455060	FUN_00455060	render	callee-gate: 004e4800=C1
00455fe0	FUN_00455fe0	render	callee-gate: 004e4800=C1
004b4a80	FUN_004b4a80	render	callee-gate: 00538c80=C1
004b4c80	FUN_004b4c80	render	callee-gate: 00538c80=C1
004b4e20	FUN_004b4e20	render	callee-gate: 0053c5d0=C1
004b5360	thunk_FUN_005507b0	render	live-state-side-effect: fopen — live file I/O (in ## mechanical description)
004b6590	thunk_FUN_004b67a0	render	live-state-side-effect: fclose on live FILE* (in ## mechanical description)
004b6710	FUN_004b6710	render	signature-unsupported: in_EAX arg
004b6770	FUN_004b6770	render	live-state-side-effect: fclose on live FILE* (in ## mechanical description)
004b67a0	FUN_004b67a0	render	live-state-side-effect: fclose on live FILE* (in ## mechanical description)
004b6940	FUN_004b6940	render	callee-gate: 005507a0=C1
004b6b00	FUN_004b6b00	render	signature-unsupported: fastcall ECX/EDX args
004b6b20	FUN_004b6b20	render	signature-unsupported: fastcall ECX/EDX args
004b6b90	FUN_004b6b90	render	signature-unsupported: fastcall ECX/EDX args
004c5da0	FUN_004c5da0	render	signature-unsupported: 5-arg shape
004c79f0	FUN_004c79f0	render	live-state-side-effect: Direct3D vtable on live device (in ## mechanical description)
004c7a20	FUN_004c7a20	render	live-state-side-effect: Direct3D vtable on live device (in ## mechanical description)
004c9fb0	FUN_004c9fb0	render	live-state-side-effect: Direct3D vtable on live device (in ## mechanical description)
004cafd0	FUN_004cafd0	render	live-state-side-effect: Direct3D vtable on live device (in ## constants)
004cb070	FUN_004cb070	render	live-state-side-effect: Direct3D vtable on live device (in ## constants)
004cb0b0	FUN_004cb0b0	render	live-state-side-effect: Direct3D vtable on live device (in ## constants)
004cb130	FUN_004cb130	render	live-state-side-effect: Direct3D vtable on live device (in ## constants)
004cb190	FUN_004cb190	render	live-state-side-effect: Direct3D vtable on live device (in ## constants)
004cb2c0	FUN_004cb2c0	render	live-state-side-effect: Direct3D vtable on live device (in ## constants)
004cb2f0	FUN_004cb2f0	render	live-state-side-effect: Direct3D vtable on live device (in ## constants)
004cb4c0	FUN_004cb4c0	render	inline bare [UNCERTAIN] (heading=## c2 evidence)
004cb840	FUN_004cb840	render	inline bare [UNCERTAIN] (heading=## c2 evidence)
004cbb00	FUN_004cbb00	render	inline bare [UNCERTAIN] (heading=## c2 evidence)
004cbb20	FUN_004cbb20	render	inline bare [UNCERTAIN] (heading=## c2 evidence)
004cbbd0	FUN_004cbbd0	render	inline bare [UNCERTAIN] (heading=## c2 evidence)
004cdd00	FUN_004cdd00	render	live-state-side-effect: remove() on live path (in ## mechanical description)
004cde20	FUN_004cde20	render	live-state-side-effect: _unlink on live path (in ## mechanical description)
004ce970	FUN_004ce970	render	shape-only note (no verbatim decomp / mechanical-transcript section)
004ceba0	FUN_004ceba0	render	shape-only note (no verbatim decomp / mechanical-transcript section)
004cecb0	FUN_004cecb0	render	shape-only note (no verbatim decomp / mechanical-transcript section)
004cf2b0	FUN_004cf2b0	render	shape-only note (no verbatim decomp / mechanical-transcript section)
004cf4a0	FUN_004cf4a0	render	shape-only note (no verbatim decomp / mechanical-transcript section)
004cf5a0	FUN_004cf5a0	render	shape-only note (no verbatim decomp / mechanical-transcript section)
0044ab20	FUN_0044ab20	render	callee-gate: 0055e300=C1
