rva	name	subsystem	arg_type	note	callees
004a4bb7	entry	boot	unknown	re/analysis/promote_c2_boot_crt/004a4bb7.md	
00499ba0	sub_00499ba0	boot	unknown	re/analysis/boot_app_init/00499ba0.md	00498bc0,00498bd0,00499820,00499890,00773818,007e9580,007e9584
00499cc0	sub_00499cc0	boot	unknown	re/analysis/boot_app_init/00499cc0.md	007e9584,007e95a8
004a9410	_strlen	boot	unknown	re/analysis/boot_crt_env/004a9410.md	004a943f,004a9440,004a9442,004a9447,004a9449,004a944c,004a944e,004a9451,004a9458
004aaff0	_memcpy	boot	unknown	re/analysis/boot_crt_env/004aaff0.md	004aaff5,004aaffb,004ab004,004ab00a,004ab010,004ab018,004ab01b,004ab01e,004ab023,004ab025,004ab02c,004ab18c
005ab410	FUN_005ab410	audio	unknown	re/analysis/promote_c2_audio_rws/005ab410.md	004cc050,005ab380
005abfa0	FUN_005abfa0	audio	unknown	re/analysis/promote_c2_audio_rws/005abfa0.md	
004015a0	FUN_004015a0	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x004015a0.md	004e6e00,00636578,00636ac0
00402f50	FUN_00402f50	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x00402f50.md	004015a0,00402750,00636ae8,00636aec,00636af0,00636af4,00636af8,00636afc
00404830	FUN_00404830	boot	unknown	re/analysis/promote_c2_perm_piz_callees/00404830.md	00636c08,006390b0,00639cc8,00639cd0,00639cd4,00639cf4,00639d2c,00639d30,00639d40,00639d4c,00639d50,00639d58,00639d5c,00639d60,00639d64
004114c0	FUN_004114c0	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x004114c0.md	00402750,004113b0,007d3ff8
00498d60	PopulateModeCombo	save	unknown	re/analysis/promote_c2_settings_dialog/00498d60.md	
004960e0	sub_004960e0	boot	unknown	re/analysis/window_msgpump/004960e0.md	00499820,00772fb8
005ac210	FUN_005ac210	audio	unknown	re/analysis/promote_c2_audio_rws/005ac210.md	
0042c280	FUN_0042c280	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x0042c280.md	0042bf30,0042c29a
00432080	FUN_00432080	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00432080.md	0040e470,0042d3a0,004321c3,00432220,0067e844,0067e914,0067e9f8,0067eca4,0067ecac,0067f19c,007f1041,007f108d,007f10d9,007f1125,007f1171,007f11bd,007f1209,007f1255,007f1501,007f154d,007f1599,007f15e5,007f1631,007f167d,007f16c9,007f1715,007f1a0c,007f1a14
004331a0	FUN_004331a0	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x004331a0.md	004248b0,00424920,0042d3a0,00432080,00433237,0067e844,0067e914,0067e9f8,0067ea08,0067ea6c,0067ebb0,0067ebb4,0067ebb8,0067ebbc,0067ebc8,0067ebcc,0067ebd0,0067ec20,0067ec24,0067eca4,0067ecac
0042bf30	FUN_0042bf30	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x0042bf30.md	0042bfa0,0067ea5c,0067eab0,0067eab4,0067eab8,0067eabc,0067eac0,0067eac8,0067eacc,0067ead0,0067ead4
0042d3a0	FUN_0042d3a0	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x0042d3a0.md	0042d3d4,0067ed78,0067ed7c,0067ed80,0067f0b8
004248b0	FUN_004248b0	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x004248b0.md	0042491f
00411530	Replay::GetTimeAtIdx	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00411530.md	00411350,00411570
00411d60	Replay::CheckTimer	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00411d60.md	00411d87,0042f6a0,0063bb14,007f0ff4
004099a0	Save::AutosaveTrigger	save	unknown	re/analysis/profile_career/004099a0.md	004099aa,004099b7,004099c0,004099c9,005cc7dc
005acaa0	FUN_005acaa0	audio	unknown	re/analysis/promote_c2_audio_rws/005acaa0.md	005acd60,005ae0c0,005aeca0
005aea50	FUN_005aea50	audio	unknown	re/analysis/audio_rws_loader_d3/005aea50.md	004522d0,005aea00,005aea55,007d3ff8
00442df0	FUN_00442df0	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00442df0.md	00442df6
00405890	FUN_00405890	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00405890.md	004058a9,00410d10,0063a5d0,0063a5d4,007f0fd0
00423b20	FUN_00423b20	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00423b20.md	00423b30,004248b0
00467300	VehicleCollisionWinTrigger	vehicle	unknown	re/analysis/vehicle_promote_c2_b/00467300.md	00413c70
004809e0	VehicleRespawnTeleport	vehicle	unknown	re/analysis/vehicle_promote_c2_b/004809e0.md	
0046dc20	VehicleOOBDebugDraw	vehicle	unknown	re/analysis/vehicle_update_d3/0046dc20.md	0040e350
0047eb30	VehiclePhysicsWorldStep	vehicle	unknown	re/analysis/vehicle_promote_c2_b/0047eb30.md	
00413c70	FUN_00413c70	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00413c70.md	00413caa,005d757c,0063bc60,0063bc68
0042fe70	FUN_0042fe70	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x0042fe70.md	0042fe75,0067ea80
00480720	VehicleRespawnPlace	vehicle	unknown	re/analysis/vehicle_promote_c2_b/00480720.md	
004b6540	thunk_FUN_004b6640	boot	unknown	re/analysis/promote_c2_txd_loader/004b6540.md	00402750,004b6544,004b6640
004283a0	FUN_004283a0	boot	unknown	re/analysis/promote_c2_piz_loader/004283a0.md	004c5cb0,004ce2d0,005cc4de,005cd640,0067d964,0067d968,0067d96c,0067d970,00771964
004275d0	FUN_004275d0	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x004275d0.md	00402750,00427580,00552750,00552920,00552a60,00552d10,00552d70,00553cf0,00553e80,00553ef0,0067d828
00420d00	FUN_00420d00	boot	unknown	re/analysis/promote_c2_panel_piz_callees/00420d00.md	004b6520,0063e4b8,0063e4d0,0063e4f4,0063e518,0063e53c
00412890	FUN_00412890	boot	unknown	re/analysis/promote_c2_panel_piz_callees/00412890.md	0040bb30,0063bc54
00421590	thunk_FUN_004210f0	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x00421590.md	00402a40,0041ffb0,004210f0,004768c0,0063e548
0041a3d0	FUN_0041a3d0	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x0041a3d0.md	0041a1e0,004e6e00,0063c620
0041de70	FUN_0041de70	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x0041de70.md	0041c2c0,004e6e00,0063d5e0
0041c2c0	FUN_0041c2c0	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x0041c2c0.md	0041a3d0,0041cb10,004e6e00,0063cdb4
0041da80	FUN_0041da80	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x0041da80.md	0041c2c0,004e6e00,0063d558,0063d57c
0041d890	FUN_0041d890	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x0041d890.md	0041d6d0,0041d6e0,0063d298
0041c0e0	FUN_0041c0e0	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x0041c0e0.md	0041b450,0041b660,0041beb0,0041bec0,0063cab8
00428400	FUN_00428400	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x00428400.md	00402750,004283a0,004c5a60,004ce2d0,0067d964,0067d968,0067d96c,0067d970,00771964
0042c510	FUN_0042c510	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x0042c510.md	00423b40,00423b60,00423b80,00423ba0,00423bc0,00423c40,00423cc0,00423d50,00423dd0,00423e60,00423ee0,00423f60,00423ff0,00424070,0042c7be,005f76cc,005f76e8,005f7704,005f7790,005f77ac,005f77c8,005f7838,005f7854,005f78ac,0067e9fc,0067ea08,0067ebc8,0067ebcc,0067ebd0,0067ec20,007f0fd0
00404e80	Save::DeserializeFromBuffer	save	unknown	re/analysis/save_gamesave_d3/00404e80.md	00404e82,00404e91,00404ea0,00404eb2,00404ec1,00404ec8,00404ed3,00404ee0,007f0a40,007f0f54,007f105c
0046cbe0	FUN_0046cbe0	vehicle	unknown	re/analysis/util_c0_promote/0x0046cbe0.md	0046cbb0
005ae400	FUN_005ae400	audio	unknown	re/analysis/promote_c2_rws_audio_loader/5ae400.md	004522d0,005ae550,005ae590
005bf610	FUN_005bf610	audio	unknown	re/analysis/promote_c2_rws_audio_loader/5bf610.md	005aea00,005bf660,005bf670,00635a28
005be140	FUN_005be140	audio	unknown	re/analysis/promote_c2_rws_audio_loader/5be140.md	
005be190	FUN_005be190	audio	unknown	re/analysis/promote_c2_rws_audio_loader/5be190.md	
005bf690	FUN_005bf690	audio	unknown	re/analysis/promote_c2_rws_audio_loader/5bf690.md	004522d0,005bf610,005bf660
0041a9b0	FUN_0041a9b0	vehicle	unknown	re/analysis/replay_record_cont1/0x0041a9b0.md	0041a8b0,0041a9bc,0041a9c0
0041ad00	FUN_0041ad00	vehicle	unknown	re/analysis/replay_record_cont1/0x0041ad00.md	0041a4a0,0041a5d0,0041a9d0,0041aac0,0041ac60,0041ad06,0041ad0b,0041ad10,0041ad16,0041ad1a,0041ad25,0041ad2d,0041ad35,0041ad53,0063c7f8,0063c838,0063c878
0041a960	FUN_0041a960	vehicle	unknown	re/analysis/replay_record_cont1/0x0041a960.md	0041a840,0041a964,0041a96c
00426cc0	FUN_00426cc0	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00426cc0.md	00426ccc,00663658
00499890	FUN_00499890	boot	unknown	re/analysis/promote_c2_d3d9_window/499890.md	00496400,00499899,004998be,004998cb,004998f3,00499905,00499928,00499951,0049996b,00499979,00499986,00499a05,00499a17,00499a24,00499a2c,005d028c,00773920
00431af0	FUN_00431af0	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x00431af0.md	00431ae0,007f0f08
00431b00	FUN_00431b00	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x00431b00.md	00431ae0,00431af0,007f0f00
0055c810	PhysicsBodySetLinearVelocity	vehicle	unknown	re/analysis/vehicle_update_d3_cont/0055c810.md	0055c380,005e4fe0
0055c4f0	PhysicsBodySetFriction	vehicle	unknown	re/analysis/vehicle_update_d3_cont/0055c4f0.md	
00404e00	FUN_00404e00	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00404e00.md	00404e1a,00639cc8
00404e20	FUN_00404e20	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00404e20.md	00404e00,00404e43,00636c08
00471df0	FUN_00471df0	boot	unknown	re/analysis/promote_c2_panel_piz_callees/00471df0.md	00471530,006905c8,0069064c,00691480
