rva	name	subsystem	reason
00492370	sub_00492370	boot	inline bare [UNCERTAIN] (heading=## why c2)
004a4b6e	__amsg_exit	boot	callee-gate: 004a333c=C1,004ab8d6=C1,004aba4d=C1
004a8a04	FUN_004a8a04	boot	callee-gate: 004a467e=C1,004a774d=C1,004a87f7=C1
004aa3fe	__heap_init	boot	callee-gate: 004aa3e4=C1,004aa44f=C1
004abbea	FUN_004abbea	boot	callee-gate: 004af2b6=C1,004affe0=C1
004abe86	FUN_004abe86	boot	signature-unsupported: fastcall ECX/EDX args
004ac04a	FUN_004ac04a	boot	callee-gate: 004a45fb=C1,004ae29f=C1
004a2c2f	FUN_004a2c2f	boot	callee-gate: 004a2bf7=C1,004a5de3=C1,004a5e35=C1
00402750	sub_00402750	boot	callee-gate: 004274d0=C1,004274e0=C1,00428390=C1,00429290=C1,00431b40=C1,0045bae0=C1,004723d0=C1,00484170=C1,004841d0=C1,00496e40=C1,00499ce0=C1,004d8560=C1,00558240=C1
00402a40	sub_00402a40	boot	callee-gate: 00426c00=C1,0045b930=C1,00467010=C1,00467020=C1,00467070=C1,00484130=C1,00484170=C1,00493f70=C1,00494460=C1,00496970=C1,004b4880=C1,004c5930=C1,004d8560=C1,005581f0=C1,00558240=C1
00492270	sub_00492270	boot	inline bare [UNCERTAIN] (heading=## why c2)
00492290	sub_00492290	boot	inline bare [UNCERTAIN] (heading=## why c2)
004924f0	sub_004924f0	boot	callee-gate: 00431b10=C1
00493540	thunk_FUN_00495150	boot	callee-gate: 00495120=C1,004960a0=C1,00498510=C1
00493550	thunk_FUN_004938c0	boot	callee-gate: 004c3040=C1,004c3270=C1,00550390=C1,00558470=C1
00493560	thunk_FUN_004954f0	boot	callee-gate: 004954f0=C1,00495580=C1,004955c0=C1,00496010=C1,00496370=C1,004963d0=C1
00493900	sub_00493900	boot	callee-gate: 00499730=C1,004a2be9=C1,004a3ac9=C1
004522d0	FUN_004522d0	audio	callee-gate: 005a7b60=C1
005abcf0	FUN_005abcf0	audio	callee-gate: 005a7e70=C1
005aea00	FUN_005aea00	audio	inline [UNCERTAIN U-0125] catalogued but Blocks=C3 (matched-RVA) (heading=## uncertainties)
004987b0	FUN_004987b0	input	callee-gate: 004a42c5=C1,004a504f=C1
00499400	VideoSettingsDispatcher	save	live-state-side-effect: modal Win32 dialog (DialogBoxParam) (in ## constants (cited at exact rva))
004014b0	FUN_004014b0	boot	callee-gate: 004e4d90=C1
004025f0	FUN_004025f0	boot	callee-gate: 00401630=C1,00401690=C1,00402240=C1,00402590=C1
004026d0	FUN_004026d0	boot	callee-gate: 004c1a00=C1,004c1bb0=C1,004c1be0=C1
00403640	FUN_00403640	boot	callee-gate: 004034a0=C1
00403660	FUN_00403660	boot	inline bare [UNCERTAIN] (heading=## struct offsets)
0040bb30	FUN_0040bb30	boot	callee-gate: 00487e00=C1
0040bbb0	FUN_0040bbb0	boot	callee-gate: 00401000=C1,00485d90=C1,004862d0=C1,00487e00=C1,00489290=C1,004c5c80=C1
