# CLEARED — non-leaf C2, all callees C2+, reachable. Ready to hand off.
rva	name	subsystem	size	n_callees	n_callers_c2plus	best_caller	shape_hint	blocking_callees
00412880	thunk_FUN_00412190	render	5	1	1	0040bd80	other	
004189e0	thunk_FUN_004196f0	boot	5	1	1	00402a40	other	
004189f0	thunk_FUN_00419760	frontend	5	1	1	00422fd0	other	
00421590	thunk_FUN_004210f0	boot	5	1	1	00402a40	other	
0045bfd0	thunk_FUN_00426060	gameplay	5	1	5	00455060	other	
00476430	thunk_FUN_00475ef0	util	5	1	2	0040bd80	other	
0047ba10	thunk_FUN_00496970	boot	5	1	1	00402a40	other	
00487e20	thunk_FUN_00535700	render	5	1	2	0048a130	other	
00487e30	thunk_FUN_00535910	render	5	1	2	0048a130	other	
00494ee0	thunk_FUN_004d8560	util	5	1	1	00473c20	other	
00494f00	thunk_FUN_00494a80	util	5	1	1	0043dfd0	other	
00494f10	thunk_FUN_00494480	util	5	1	1	0043dfd0	other	
00494f20	thunk_FUN_00494460	boot	5	1	1	00402a40	other	
004951e0	thunk_FUN_00495780	render	5	1	1	00493710	other	
004955c0	thunk_FUN_00495580	boot	5	1	1	004954f0	other	
004963d0	thunk_FUN_00496370	input	5	1	1	004954f0	other	
0049ead0	thunk_FUN_0049fac0	particle	5	1	1	0049eab0	other	
004b5360	thunk_FUN_005507b0	render	5	1	1	0047b8d0	other	
004b5370	thunk_FUN_00550910	render	5	1	1	0047b8d0	other	
004b5380	thunk_FUN_00550950	render	5	1	1	0047b8d0	other	
004b5390	thunk_FUN_005509b0	render	5	1	1	0047b8d0	other	
004b53a0	thunk_FUN_00550bc0	render	5	1	1	0047b8d0	other	
004b6550	thunk_FUN_004b6700	boot	5	1	1	00402a40	other	
004b6590	thunk_FUN_004b67a0	render	5	1	1	004952f0	other	
004b65b0	thunk_FUN_004b68f0	vehicle	5	1	3	00411f30	other	
004b7200	thunk_FUN_004b7fd0	input	5	1	3	0047b980	other	
004c4670	thunk_FUN_004c4680	render	5	1	5	00457100	other	
004c7a60	thunk_FUN_004cfa00	render	5	1	1	004c32b0	other	
004cc9e0	thunk_FUN_004cc820	render	5	1	10	004c07b0	other	
005ab180	thunk_FUN_005ab620	audio	5	1	2	005ab150	other	
005ae4b0	thunk_FUN_004522d0	audio	5	1	2	005ae330	other	
005b10d0	thunk_FUN_005b10a0	audio	5	1	3	005af600	other	
005b15d0	thunk_FUN_005b1500	audio	5	1	1	005b7880	other	
005c9220	thunk_FUN_005abcf0	audio	5	1	2	0045e040	other	
0049b300	DirectInput8Create	input	6	0	1	00495530	other	
0041e8d0	FUN_0041e8d0	gameplay	9	0	1	004270f0	other	
0041e8e0	FUN_0041e8e0	gameplay	9	0	1	004270f0	other	
0041e900	FUN_0041e900	gameplay	9	0	1	00426b40	other	
0041e910	FUN_0041e910	gameplay	9	0	1	00426c30	other	
0041e920	FUN_0041e920	gameplay	9	0	1	00426c10	other	
0041e930	FUN_0041e930	gameplay	9	0	1	00426c70	other	
0041e940	FUN_0041e940	gameplay	9	0	1	00426c50	other	
0041e950	FUN_0041e950	gameplay	9	0	1	00426640	other	
0041e960	FUN_0041e960	ai	9	0	1	00426c90	other	
00467010	FUN_00467010	boot	10	2	1	00402a40	other	
0041b440	FUN_0041b440	render	11	1	1	0041b660	other	
00489240	SkySecondaryDispatch	sky	11	0	1	004492b0	read_global_u32	
00495110	FUN_00495110	util	11	1	1	00492770	other	
004cbb50	FUN_004cbb50	render	11	0	2	0049ab10	arg_getter	
005aea50	FUN_005aea50	audio	11	0	3	005aadc0	read_global_u32	
00413bb0	FUN_00413bb0	hud	12	1	1	0040bd00	other	
00418f30	FUN_00418f30	gameplay	12	1	1	00419530	other	
00418f40	FUN_00418f40	gameplay	12	1	1	004196f0	other	
004210f0	FUN_004210f0	gameplay	12	1	1	00421590	other	
00425bf0	FUN_00425bf0	frontend	12	1	2	00407800	other	
004522d0	FUN_004522d0	audio	12	0	35	005a71f0	other	
00487140	FUN_00487140	particle	12	1	1	0040bd00	other	
00487d60	FUN_00487d60	particle	12	1	1	00481a30	other	
00487de0	FUN_00487de0	particle	12	1	1	0040bde0	other	
00495780	FUN_00495780	boot	12	1	1	004951e0	other	
005aea00	FUN_005aea00	audio	12	0	24	005a71f0	other	
005bc880	FUN_005bc880	audio	12	1	1	005ba760	other	
00404820	FUN_00404820	hud	13	1	1	0045b930	read_global_u32	
0041a3d0	FUN_0041a3d0	boot	13	1	1	00402a40	read_global_u32	
0041c2c0	FUN_0041c2c0	boot	13	1	1	00402a40	read_global_u32	
0041da80	FUN_0041da80	boot	13	1	1	00402a40	read_global_u32	
0041de70	FUN_0041de70	boot	13	1	1	00402a40	read_global_u32	
00425ed0	FUN_00425ed0	boot	13	1	1	00402a40	read_global_u32	
0048bc10	FUN_0048bc10	particle	13	1	1	0040bd00	read_global_u32	
0041beb0	FUN_0041beb0	render	14	1	1	0041c0e0	other	
0041cb00	FUN_0041cb00	render	14	1	1	0041ccf0	other	
0041d6d0	FUN_0041d6d0	render	14	1	1	0041d890	other	
00491490	FUN_00491490	render	14	1	1	00426ab0	other	
005aeb80	FUN_005aeb80	audio	14	1	1	005a65a0	other	
0042f020	FUN_0042f020	frontend	15	0	1	0043dfd0	other	
005b0f40	FUN_005b0f40	audio	15	1	2	005b7010	arg_getter	
005b8080	FUN_005b8080	audio	15	0	1	005b1500	arg_getter	
00417740	FUN_00417740	gameplay	16	1	3	0040b460	arg_getter	
004764e0	FUN_004764e0	util	16	1	1	004764f0	arg_getter	
004b4000	FUN_004b4000	particle	16	1	1	00479330	arg_getter	
004b4120	FUN_004b4120	render	16	1	1	0048a4e0	arg_getter	
004b4270	FUN_004b4270	render	16	1	1	00478cf0	arg_getter	
0042a470	FUN_0042a470	render	17	0	3	00426340	other	
004790e0	FUN_004790e0	track	17	1	1	00479330	other	
005bf670	FUN_005bf670	audio	17	0	5	005be1b0	arg_getter	
0040acd0	FUN_0040acd0	frontend	18	0	1	0043dfd0	read_global_u32	
00429240	FUN_00429240	frontend	18	0	1	00429290	other	
00499cc0	sub_00499cc0	boot	18	0	1	00492370	read_global_u32	
005a6df0	FUN_005a6df0	audio	18	1	5	005a6710	arg_getter	
005b1080	FUN_005b1080	audio	18	0	2	005b7110	arg_getter	
004219a0	FUN_004219a0	ai	19	1	2	004219f0	other	
00478cd0	FUN_00478cd0	render	19	1	1	004270f0	other	
0047b9e0	FUN_0047b9e0	track	19	1	1	00410b30	other	
0049f210	FUN_0049f210	particle	19	0	1	004a06c0	other	
004cc4f0	FUN_004cc4f0	render	19	0	1	004cc400	arg_getter	
0041a960	FUN_0041a960	vehicle	20	1	1	00411ce0	other	
0042fab0	FUN_0042fab0	frontend	20	0	4	004335f0	arg_getter	
00487e00	FUN_00487e00	particle	20	1	1	0040bbb0	other	
004b6570	FUN_004b6570	render	20	1	1	00495280	arg_getter	
0052bf20	FUN_0052bf20	util	20	0	2	0052a9c0	arg_getter	
0040d020	FUN_0040d020	track	21	1	1	0040d270	other	
00421690	FUN_00421690	render	22	1	1	00424eb0	arg_getter	
00423670	FUN_00423670	ai	22	0	1	00423b00	read_global_u32	
00426c50	FUN_00426c50	frontend	22	2	1	0040ddb0	other	
00426c90	FUN_00426c90	ai	22	2	1	004103a0	other	
00454f80	FUN_00454f80	render	22	1	1	00407800	read_global_u32	
004671a0	sub_004671a0	render	22	2	36	00401000	other	
0047b860	FUN_0047b860	input	22	2	1	0047b9b0	other	
00556ca0	FUN_00556ca0	hud	22	0	4	00427e00	other	
005af430	FUN_005af430	audio	22	0	1	005af2d0	other	
004039c0	FUN_004039c0	vehicle	23	1	1	0045bae0	other	
004430c0	FUN_004430c0	frontend	23	2	1	00448730	arg_getter	
00458630	FUN_00458630	frontend	23	0	2	004588c0	arg_getter	
00477e40	FUN_00477e40	render	23	2	1	0040bbb0	other	
00491780	FUN_00491780	render	23	1	1	00426e10	read_global_u32	
005b7e20	FUN_005b7e20	audio	23	1	1	005b7880	other	
004189a0	FUN_004189a0	util	24	3	1	0040fc00	other	
004189c0	FUN_004189c0	render	24	3	1	00410b30	other	
00419fd0	FUN_00419fd0	gameplay	24	1	1	0041a180	other	
0041e1c0	FUN_0041e1c0	gameplay	24	1	1	0041e1e0	other	
004215a0	FUN_004215a0	util	24	1	1	0040fc00	other	
00452140	FUN_00452140	gameplay	24	1	2	0045c350	other	
00456c70	FUN_00456c70	gameplay	24	1	1	00456c90	other	
00486350	FUN_00486350	particle	24	1	1	0040bd00	other	
004b5580	FUN_004b5580	vehicle	24	1	2	00411f30	other	
005aabe0	FUN_005aabe0	audio	24	1	3	005aa7e0	arg_getter	
005ae380	FUN_005ae380	audio	24	1	1	005ae330	arg_getter	
005af470	FUN_005af470	audio	24	0	1	005af2d0	other	
0045c010	PowerupPickupWrapper	powerups	25	1	1	0045bba0	other	
0047b880	FUN_0047b880	input	25	1	1	0047b9b0	read_global_u32	
00497190	FUN_00497190	input	25	1	2	004971b0	other	
005571c0	FontSys_ShutdownFontPool	hud	25	1	1	00552b90	read_global_u32	
005a6c90	FUN_005a6c90	audio	25	1	2	005a6b70	arg_getter	
005ad8b0	FUN_005ad8b0	audio	25	1	2	005ad770	arg_getter	
00418e30	FUN_00418e30	render	26	1	1	004194f0	other	
00419a00	FUN_00419a00	gameplay	26	0	1	00419fd0	other	
00421980	FUN_00421980	render	26	2	3	004219a0	other	
0045c880	FUN_0045c880	gameplay	26	0	1	0045d1e0	arg_getter	
00476860	FUN_00476860	render	26	1	6	004039f0	other	
004b44f0	FUN_004b44f0	util	26	1	8	0045e990	other	
0044b000	FUN_0044b000	render	27	1	1	0045faa0	arg_getter	
00496ce0	FUN_00496ce0	boot	27	1	1	00402a40	read_global_u32	
004d7480	FUN_004d7480	render	27	0	1	004d07b0	other	
0045bac0	PowerupSlotDeactivate	powerups	28	0	3	0045bba0	other	
00474d60	FUN_00474d60	vehicle	28	1	11	00453210	arg_getter	
00474fb0	FUN_00474fb0	render	28	1	2	00474fd0	other	
0048cf70	FUN_0048cf70	particle	28	1	1	0040bd00	other	
004c7600	FUN_004c7600	render	28	0	2	004c6ba0	read_global_u32	
005b3b60	FUN_005b3b60	audio	28	1	2	005aba20	other	
005bc860	FUN_005bc860	audio	28	1	1	005ba720	other	
005bc900	FUN_005bc900	audio	28	0	4	005c0320	other	
005bcd80	FUN_005bcd80	audio	28	1	2	005bcc70	other	
00407600	Player::GetPositionPtr	util	29	1	2	00446520	arg_getter	
0041c0e0	FUN_0041c0e0	boot	29	1	1	00402a40	other	
0041d890	FUN_0041d890	boot	29	1	1	00402a40	other	
004222d0	FUN_004222d0	util	29	1	1	0040fc00	other	
00423b00	FUN_00423b00	frontend	29	4	1	00425a40	other	
00496470	sub_00496470	boot	29	1	1	00499820	read_global_u32	
004b4050	FUN_004b4050	render	29	1	1	004b4080	arg_getter	
005b1140	FUN_005b1140	audio	29	1	3	005af7a0	other	
00421960	FUN_00421960	audio	30	2	1	00421d20	other	
004770a0	FUN_004770a0	render	30	0	19	00413f50	arg_getter	
004960e0	sub_004960e0	boot	30	0	1	00499820	read_global_u32	
005ae7e0	FUN_005ae7e0	audio	30	1	4	005a9d00	arg_getter	
005af300	FUN_005af300	audio	30	0	1	005af2d0	arg_getter	
004218b0	FUN_004218b0	render	31	2	1	004218d0	other	
00422140	FUN_00422140	render	31	1	1	0040cf80	other	
00476880	FUN_00476880	util	31	1	5	00421d20	other	
004929d0	FUN_004929d0	util	31	1	1	00492290	other	
004b7fd0	FUN_004b7fd0	render	31	1	1	004b7200	other	
004c0ed0	FUN_004c0ed0	render	31	1	32	00405ab0	other	
005a7a40	FUN_005a7a40	audio	31	1	2	005a79a0	other	
005a9f10	FUN_005a9f10	audio	31	1	1	005aa7a0	arg_getter	
005b0b40	FUN_005b0b40	audio	31	1	3	005afcf0	other	
005ba760	FUN_005ba760	audio	31	2	2	005ba1d0	arg_getter	
005bf350	FUN_005bf350	audio	31	1	1	005bdad0	arg_getter	
004752d0	FUN_004752d0	render	32	1	2	00404fa0	other	
00478200	FUN_00478200	track	32	2	1	00479330	other	
00490000	FUN_00490000	render	32	1	1	0040cfd0	other	
00494460	sub_00494460	frontend	32	2	2	00494f20	other	
0049cb00	FUN_0049cb00	particle	32	0	1	0049ea70	other	
00409790	FUN_00409790	gameplay	33	1	1	00441820	other	
00421720	FUN_00421720	render	33	1	1	004219c0	other	
00422290	FUN_00422290	render	33	1	1	004222d0	other	
00458fd0	FUN_00458fd0	gameplay	33	2	1	00426460	other	
00489910	FUN_00489910	gameplay	33	1	2	00486220	other	
004b9600	FUN_004b9600	input	33	1	1	004b9730	other	
004cc7f0	FUN_004cc7f0	render	33	1	11	004c8690	other	
005a8e70	FUN_005a8e70	audio	33	1	1	004627f0	other	
005aeed0	FUN_005aeed0	audio	33	0	2	005ab560	arg_getter	
005b1110	FUN_005b1110	audio	33	1	2	005af040	other	
00426d90	FUN_00426d90	frontend	34	1	1	004270f0	other	
00496970	FUN_00496970	render	34	1	1	0047ba10	read_global_u32	
004b9aa0	FUN_004b9aa0	input	34	1	8	004b7250	other	
004cbb20	FUN_004cbb20	render	34	0	1	0049aae0	other	
004d8770	RwStringGetSizeAligned	render	34	0	2	004cf460	arg_getter	
005a61b0	FUN_005a61b0	audio	34	0	4	005ad6f0	arg_getter	
005a6dc0	FUN_005a6dc0	audio	34	1	39	0045d460	arg_getter	
005adf60	FUN_005adf60	audio	34	0	1	005a7aa0	arg_getter	
005b0b10	FUN_005b0b10	audio	34	1	3	005afcf0	arg_getter	
00418db0	FUN_00418db0	render	35	0	1	00419530	other	
0041c2d0	FUN_0041c2d0	hud	35	0	2	0041a3e0	other	
00421930	FUN_00421930	render	35	1	1	00421a90	arg_getter	
0042c2a0	FUN_0042c2a0	boot	35	2	1	00402a40	read_global_u32	
0045bfa0	PowerupSlotActivate	powerups	35	1	1	0045c010	other	
004853f0	FUN_004853f0	smplfzx	35	3	1	00478cf0	other	
0048fef0	FUN_0048fef0	particle	35	1	1	0048ff20	other	
004c1be0	sub_004c1be0	frontend	35	1	6	004026d0	other	
004c5770	FUN_004c5770	render	35	0	2	004593b0	arg_getter	
004d1640	FUN_004d1640	render	35	0	1	004d1d20	arg_getter	
005af200	FUN_005af200	audio	35	0	4	005a8560	arg_getter	
0041f290	FUN_0041f290	gameplay	36	1	9	004039f0	arg_getter	
00451730	FUN_00451730	gameplay	36	1	1	00485460	other	
