rva	name	subsystem	reason
004abe86	FUN_004abe86	boot	signature-unsupported: fastcall ECX/EDX args
00402a40	sub_00402a40	boot	callee-gate: 004196f0=C1,004210f0=C1,004ce2d0=C1,004d8560=C1,00558240=C1
004c5930	sub_004c5930	boot	inline [UNCERTAIN U-0010] catalogued but Blocks=C3 (matched-RVA) (heading=## uncertainties)
00550390	sub_00550390	render	callee-gate: 00551510=C1
004c3040	sub_004c3040	render	inline [UNCERTAIN U-0091] catalogued but Blocks=C3 (matched-RVA) (heading=## uncertainties)
004c3270	sub_004c3270	render	callee-gate: 004ccf20=C1,004d7ca0=C1
00493600	FUN_00493600	render	callee-gate: 004935a0=C1,004935d0=C1,004ce790=C1,00513f90=C0
00493640	FUN_00493640	render	callee-gate: 00472380=C1,004e5d30=C1,0052d8e0=C1,0052e310=C1,005336d0=C1,00534920=C1,00534a80=C1,00538600=C1,0053d0b0=C1,0053eaa0=C1,00543e50=C1,00544d20=C1,00546530=C1,00549640=C1,005515a0=C1,005578a0=C1,00561ee0=C1,0057c270=C1
004951f0	FUN_004951f0	render	callee-gate: 004cbb60=C1
004c32b0	FUN_004c32b0	render	callee-gate: 004cc7e0=C1,004cce20=C1,004ccf20=C1,004cfa00=C1,004d7c60=C1,004d7ca0=C1,004d7de0=C1,004d8560=C1,004d8570=C1
004522d0	FUN_004522d0	audio	callee-gate: 005a7b60=C1
005abcf0	FUN_005abcf0	audio	callee-gate: 005a7e70=C1
005aea00	FUN_005aea00	audio	inline [UNCERTAIN U-0125] catalogued but Blocks=C3 (matched-RVA) (heading=## uncertainties)
004a2be9	__security_check_cookie	boot	signature-unsupported: fastcall ECX/EDX args
004aac76	___sbh_alloc_block	boot	inline [UNCERTAIN U-0191] catalogued but Blocks=C3 (matched-RVA) (heading=## uncertainties)
004ac45c	___crtMessageBoxA	boot	live-state-side-effect: blocking message box (in ## mechanical description)
00499710	FUN_00499710	render	live-state-side-effect: modal Win32 dialog (DialogBoxParam) (in ## mechanical description)
004014b0	FUN_004014b0	boot	callee-gate: 004c0740=C0,004c0c20=C0,004e45b0=C1,004e4860=C1,004e4d90=C1,004e5700=C1,004e6e00=C1
004015a0	FUN_004015a0	boot	callee-gate: 004e6e00=C1
004025f0	FUN_004025f0	boot	callee-gate: 00401630=C1,00401690=C1,00402240=C1,00402590=C1
00403640	FUN_00403640	boot	callee-gate: 004034a0=C1
00403660	FUN_00403660	boot	inline bare [UNCERTAIN] (heading=## struct offsets)
0040bb30	FUN_0040bb30	boot	callee-gate: 0041a060=C1,00475a00=C1,00487e00=C1
0040bbb0	FUN_0040bbb0	boot	callee-gate: 00401000=C1,00413b80=C1,004210b0=C1,004759b0=C1,00475a00=C1,00476390=C1,004775b0=C1,00477e40=C1,00485d90=C1,004862d0=C1,00487e00=C1,00489290=C1,0048a460=C1,0048a830=C1,0048ae00=C1,0048bbe0=C1,0048e820=C1,0048eac0=C1,0048ff20=C1,004c5cb0=C1
0040bd00	FUN_0040bd00	boot	callee-gate: 00413b80=C1,00413bb0=C1,00475d90=C1,00475ea0=C1,004775b0=C1,00477870=C1,00485d90=C1,00485e10=C1,004862d0=C1,00486350=C1,00487140=C1,0048ae00=C1,0048af70=C1,0048bbe0=C1,0048bc10=C1,0048cf70=C1,0048fdd0=C1,0048ff20=C1,0048ffd0=C1
0040cf80	FUN_0040cf80	boot	callee-gate: 0040cf40=C1,0041a980=C1,0041ec00=C1,0041f320=C1,00422140=C1
0040cfd0	FUN_0040cfd0	boot	callee-gate: 00405400=C1,00426b40=C1,0045bed0=C1,0045bf30=C1,004725f0=C1,00484c90=C1,00490000=C1
004113b0	FUN_004113b0	boot	callee-gate: 00482900=C1
00418980	thunk_FUN_0041a060	boot	callee-gate: 00418a00=C1,00419090=C1,00419ff0=C1,0041a060=C1,0042a5d0=C1,004770c0=C1,004b3f90=C0,004c0b30=C1,004e69a0=C1,004e7e30=C1
