rva	name	subsystem	note
004a2be9	__security_check_cookie	boot	re/analysis/boot_crt_exit_d3/004a2be9.md
004abe86	FUN_004abe86	boot	re/analysis/promote_c2_boot_crt/004abe86.md
00484280	FUN_00484280	debug-overlay	re/analysis/bucket_sky_worldobj_dbg_video_hud_00484280_00555910/00484280.md
00426460	FUN_00426460	frontend	re/analysis/frontend_c1_to_c2_s4/FUN_00426460.md
00427e00	FUN_00427e00	frontend	re/analysis/promote_c1_low_ab1/0x00427e00.md
00429240	FUN_00429240	frontend	re/analysis/frontend_c1_to_c2_s6/FUN_00429240.md
00429b30	FUN_00429b30	frontend	re/analysis/frontend_c1_to_c2_s6/FUN_00429b30.md
00429b70	FUN_00429b70	frontend	re/analysis/frontend_c1_to_c2_s6/FUN_00429b70.md
0042ac50	FUN_0042ac50	frontend	re/analysis/frontend_promote_menus_a/0x0042ac50.md
0042ad10	FUN_0042ad10	frontend	re/analysis/frontend_c1_to_c2_s6/FUN_0042ad10.md
0042ad90	FUN_0042ad90	frontend	re/analysis/frontend_c1_to_c2_s6/FUN_0042ad90.md
0042f020	FUN_0042f020	frontend	re/analysis/frontend_c0_promote/0x0042f020.md
004391b0	FUN_004391b0	frontend	re/analysis/bucket_c1_strays/0x004391b0.md
00497470	FUN_00497470	frontend	re/analysis/cluster_0049_first_pass/00497470.md
00405f60	FUN_00405f60	gameplay	re/analysis/bucket_gameplay_00405400_00407620/0x00405f60.md
0040be50	FUN_0040be50	gameplay	re/analysis/bucket_gameplay_0040ad90_00412010/0x0040be50.md
00417750	FUN_00417750	gameplay	re/analysis/bucket_gameplay_00412100_00418e50/0x00417750.md
0041e1c0	FUN_0041e1c0	gameplay	re/analysis/bucket_gameplay_0041e140_0041efe0/0041e1c0.md
0041f330	FUN_0041f330	gameplay	re/analysis/bucket_gameplay_0041f060_004210f0/0x0041f330.md
004223f0	FUN_004223f0	gameplay	re/analysis/bucket_gameplay_00421100_004223f0/0x004223f0.md
0044e190	FUN_0044e190	gameplay	re/analysis/bucket_gameplay_0044e190_00453eb0/0x0044e190.md
0047bc90	FUN_0047bc90	gameplay	re/analysis/bucket_gameplay_0047ba20_0047f380/0047bc90.md
00413bc0	FUN_00413bc0	hud	re/analysis/bucket_gameplay_00412100_00418e50/0x00413bc0.md
00429620	FUN_00429620	hud	re/analysis/localization_d2/0x00429620.md
004c57a0	FontCtxMatrix_AllocInit	hud	re/analysis/font_text_d2/font_text_d2-20260503.md
00487150	FUN_00487150	particle	re/analysis/particle_promote_ac2/0x00487150.md
00487e00	FUN_00487e00	particle	re/analysis/particle_promote_ac2/0x00487e00.md
0048a490	FUN_0048a490	particle	re/analysis/particle_promote_ac3/0x0048a490.md
0048af70	FUN_0048af70	particle	re/analysis/particle_promote_ac4/0x0048af70.md
0048d0f0	FUN_0048d0f0	particle	re/analysis/particle_promote_ac5/0048d0f0.md
0049c620	FUN_0049c620	particle	re/analysis/particle_promote_ad1/0049c620.md
0049c690	FUN_0049c690	particle	re/analysis/particle_promote_ad1/0049c690.md
0049c6a0	FUN_0049c6a0	particle	re/analysis/particle_promote_ad1/0049c6a0.md
0049c6d0	FUN_0049c6d0	particle	re/analysis/particle_promote_ad1/0049c6d0.md
0049c750	FUN_0049c750	particle	re/analysis/particle_promote_ad1/0049c750.md
0049c770	FUN_0049c770	particle	re/analysis/particle_promote_ad1/0049c770.md
0049c800	FUN_0049c800	particle	re/analysis/particle_promote_ad1/0049c800.md
0049c810	FUN_0049c810	particle	re/analysis/particle_promote_ad1/0049c810.md
0049c900	FUN_0049c900	particle	re/analysis/particle_promote_ad2/0x0049c900.md
0049c930	FUN_0049c930	particle	re/analysis/particle_promote_ad2/0x0049c930.md
0049c990	FUN_0049c990	particle	re/analysis/particle_promote_ad2/0x0049c990.md
0049ca00	FUN_0049ca00	particle	re/analysis/particle_promote_ad2/0x0049ca00.md
0049ca60	FUN_0049ca60	particle	re/analysis/particle_promote_ad2/0x0049ca60.md
0049cb00	FUN_0049cb00	particle	re/analysis/particle_promote_ad2/0x0049cb00.md
0049cb20	FUN_0049cb20	particle	re/analysis/particle_promote_ad2/0x0049cb20.md
0049cbd0	FUN_0049cbd0	particle	re/analysis/particle_promote_ad2/0x0049cbd0.md
0049ceb0	FUN_0049ceb0	particle	re/analysis/particle_promote_ad2/0x0049ceb0.md
0049d1d0	FUN_0049d1d0	particle	re/analysis/particle_promote_ad3/0x0049d1d0.md
0049d200	FUN_0049d200	particle	re/analysis/particle_promote_ad3/0x0049d200.md
0049de90	FUN_0049de90	particle	re/analysis/particle_promote_ad3/0x0049de90.md
0049e580	FUN_0049e580	particle	re/analysis/particle_promote_ad4/0x0049e580.md
