"ID","Type","Where","Stmt","Ev","Path"
"U-5553","semantic","0x004dfbc0 (FUN_004dfbc0)","D3DFORMAT IDs 0x1b/0x1c/0x34 (R3G3B2, pixel-only, A4L4 family) — formulas confirm packing shape but original RW enum names not verified against RW SDK","RW pixel format enum entries for IDs 0x1b, 0x1c, 0x34","Cross-check criterion-rwg37 or librw pixel-format enum; compare RW image format table"
"U-0010","structural","0x004c5930 sub_004c5930","Structure layout of param_1: offsets +0x8, +0x10, +0x14 accessed; linked-list shape inferred from pointer equality and double-unlink ops; struct type unknown","Type analysis of param_1 callers","Decomp callers (FUN_00402750 at 0x004b3d80 return path; FUN_00402a40 at DAT_00636ac8 path)"
"U-0011","structural","0x004c5930 sub_004c5930","**BOTH GLOBALS CHARACTERISED 2026-09-11, relationship now concrete.** `DAT_007d3ff8` is a pointer, written six times, twice with the literal `0x7d3ec8` (`0x004c31e9`, `0x004c32b7`) - see [[U-0091]]. `DAT_007d4054` has **exactly one write**, `0x004c5f7b MOV [0x007d4054],EAX`, against 53 reads, so it is assigned once and read everywhere. The `+0x11c` access in this row is therefore an offset into the structure `DAT_007d3ff8` points at, with `DAT_007d4054` supplying a separate one-time value rather than being a second base of the same kind. **Still open:** the types. Keeps gating.","Callers and writers of these two data addresses","mcp__ghidra__reference_to 0x007d3ff8 + 0x007d4054"
"U-0091","structural","0x004c3040 sub_004c3040","**ROOT IDENTIFIED 2026-09-11: `DAT_007d3ff8` is a POINTER, and it points at `DAT_007d3ec8`.** `decomp_pc.py --datarefs` over the anchored program (reference-manager query, writes and reads separated) gives six writes to `DAT_007d3ff8`, and two of them store a LITERAL ADDRESS: `0x004c31e9 MOV dword ptr [0x007d3ff8],0x7d3ec8` in `FUN_004c30b0` and `0x004c32b7 MOV dword ptr [0x007d3ff8],0x7d3ec8` in `FUN_004c32b0`. The other four store registers (`0x004c3073`, `0x004c30c1`, `0x004c312b`, `0x004c31c7`). That explains this row's own observation directly: the 0x4b-dword copy into `DAT_007d3ec8` is the fallback buffer being populated (`0x004c307a` and `0x004c31cd` are both `MOVSD.REP ES:EDI,ESI`, the only two writes to `DAT_007d3ec8`) and then the pointer is repointed at it. Also settled: `DAT_007d3fd4` has **zero writes** and its only two references are indirect calls, `0x004c307c CALL dword ptr [0x007d3fd4]` and `0x004c31d0` - so it is a statically-initialised function pointer, not a variable. **Still open:** the field layout of the 300-byte structure. Keeps gating.","reference_to 0x007d3ff8 for all writers; cross-check offsets +0x4 and +0x124 against criterion-rwg37 engine globals struct","mcp__ghidra__reference_to 0x007d3ff8 + cross-check criterion-rwg37/core/src/"
"U-0125","structural","0x005aea00 FUN_005aea00","**Calling-convention question resolved (2026-05-12)**: `MOV EDX,[DAT_007d3ff8]; JMP [EDX+0x108]` — void(void) is correct; pure JMP trampoline, no parameter handling. Remaining open: target function at *(DAT_007d3ff8)+0x108 is runtime-only (DAT_007d3ff8=0 in static image).","Runtime memory read of DAT_007d3ff8 during game execution","Frida: read `ptr(0x007d3ff8).readPointer().add(0x108).readPointer()` at game boot"
"U-0191","structural","0x004aac76 ___sbh_alloc_block","SBH region/group struct layout not verified against master Ghidra types; field offsets derived solely from decomp arithmetic at 0x004aac76","type_get or layout_struct_get on any SBH struct","mcp__ghidra__layout_struct_get in a C2+ scribe session"
"U-4312","semantic","0x004019d0 FUN_004019d0","**WRITE SET COMPLETE 2026-09-11, struct layout still open.** `decomp_pc.py --datarefs` over the anchored program (reference-manager query, writes and reads separated) gives the full set of direct writes to `DAT_00636ac0`, and there are exactly three: `0x00401579 MOV [0x00636ac0],EAX` and `0x00401585 MOV [0x00636ac0],EAX` (both in `FUN_00401570`) and `0x004015a9 MOV dword ptr [0x00636ac0],ESI` in `FUN_004015a0`. 20 references total, 14 of them reads. The row's stated evidence-missing (all writes) is now supplied; deriving the struct definition needs those two function bodies, which is a bounded next step rather than an open search. Keeps gating.","Write sites; struct type at DAT_00636ac0","Inspect all writes to DAT_00636ac0; cross-reference RW particle system types"
"U-4313","semantic","0x004019d0 FUN_004019d0","**WRITE SET COMPLETE 2026-09-11, constants still unexplained.** `decomp_pc.py --datarefs` over the anchored program (reference-manager query, writes and reads separated) gives four writes to `DAT_007f1a1c`: `0x0043e575 MOV dword ptr [0x007f1a1c],EBX` and `0x0043e57e MOV [0x007f1a1c],EAX` (both in `FUN_0043dfd0`), plus two writes through a held pointer in the same region, `0x0042baf8 MOV dword ptr [EBX],EAX` in `FUN_0042b9e0` and `0x0043f8d5 MOV dword ptr [EBX + 0x8],EDX` in `FUN_0043dfd0` - note those two are register-indirect, so the reference model attributes them but the effective address should be confirmed before relying on them. 62 references, 31 reads. The meaning of -131075.98 / -522240.0 / -132092.0 is untouched. Same global as [[U-5587]]. Keeps gating.","Write sites of DAT_007f1a1c","Inspect initialization of DAT_007f1a1c"
"U-4388","structural","0x00472380 FUN_00472380","FUN_004c2d90 first argument (0) and fourth (FUN_004d7ff0): purpose of size=0 and identical ctor/dtor callbacks is unclear","Decomp of FUN_004c2d90 to see what args 1-4 map to in RW plugin API","function_at + decomp_function 0x004c2d90"
"U-4421","structural","0x00475d90 (FUN_00475d90)","DAT_007d3ff8 + 0x10c = vtable pointer; function at that offset called with heap pointer — assumed free/destructor but not confirmed","Decomp of function at *(DAT_007d3ff8 + 0x10c)","read_memory 0x007d3ff8 + follow ptr + 0x10c"
