"ID","Type","RVA","Subsys","Path","Stmt"
"U-5552","semantic","0x004dfb60","render","Cross-check criterion-rwg37 or librw pixel-format enum for ID 0x51; note FUN_004dee20 decode side uses same ID","D3DFORMAT 0x51 — whether this is RW's internal D3DFMT_L16 stand-in or a different single-channel format"
"U-5553","semantic","0x004dfbc0","render","Cross-check criterion-rwg37 or librw pixel-format enum; compare RW image format table","D3DFORMAT IDs 0x1b/0x1c/0x34 (R3G3B2, pixel-only, A4L4 family) — formulas confirm packing shape but original RW enum names not verified against RW SDK"
"U-5302","semantic","0x004d55b0","render","search_pcode for call to 0x004d55b0 or reference_from in caller candidates","no callers found — function may be called via function pointer or be in an unloaded subsystem path"
"U-0007","structural","0x00402750","boot","Decomp FUN_004caea0 (0x004caea0) to determine return type; listing at call site","Vtable call at offset 0xe4 from *(int*)DAT_00771a0c; type of object at DAT_00771a0c unknown; exact instruction addresses for vtable dereference and constants 0xe4, 0x5, 0x19, 0x18 not pinpointed"
"U-0010","structural","0x004c5930","boot","Decomp callers (FUN_00402750 at 0x004b3d80 return path; FUN_00402a40 at DAT_00636ac8 path)","Structure layout of param_1: offsets +0x8, +0x10, +0x14 accessed; linked-list shape inferred from pointer equality and double-unlink ops; struct type unknown"
"U-0011","structural","0x004c5930","boot","mcp__ghidra__reference_to 0x007d3ff8 + 0x007d4054","DAT_007d3ff8 (0x007d3ff8) and DAT_007d4054 (0x007d4054) used as indirect bases for field and vtable access at +0x11c; types and relationship not determinable from this decomp"
"U-0091","structural","0x004c3040","render","mcp__ghidra__reference_to 0x007d3ff8 + cross-check criterion-rwg37/core/src/","Structure at DAT_007d3ff8: function copies 0x4b DWORDs (300 bytes) to fallback buffer DAT_007d3ec8 then frees original via (*DAT_007d3fd4); struct layout unknown; offsets +0x4 and +0x124 (index 0x49) accessed"
"U-0125","structural","0x005aea00","audio","Frida: read `ptr(0x007d3ff8).readPointer().add(0x108).readPointer()` at game boot","**Calling-convention question resolved (2026-05-12)**: `MOV EDX,[DAT_007d3ff8]; JMP [EDX+0x108]` — void(void) is correct; pure JMP trampoline, no parameter handling. Remaining open: target function at *(DAT_007d3ff8)+0x108 is runtime-only (DAT_007d3ff8=0 in static image)."
"U-0191","structural","0x004aac76","boot","mcp__ghidra__layout_struct_get in a C2+ scribe session","SBH region/group struct layout not verified against master Ghidra types; field offsets derived solely from decomp arithmetic at 0x004aac76"
"U-4312","semantic","0x004019d0","render","Inspect all writes to DAT_00636ac0; cross-reference RW particle system types","DAT_00636ac0 structure layout unclear — offset 0xd read as int (float denominator), +4 as pointer to particle sub-struct; full struct definition unknown"
"U-4313","semantic","0x004019d0","render","Inspect initialization of DAT_007f1a1c","DAT_007f1a1c used as float position lookup table; purpose of constants (-131075.98, -522240.0, -132092.0) unknown"
"U-4388","structural","0x00472380","render","function_at + decomp_function 0x004c2d90","FUN_004c2d90 first argument (0) and fourth (FUN_004d7ff0): purpose of size=0 and identical ctor/dtor callbacks is unclear"
"U-4391","semantic","0x00474db0","render","decomp_function 0x004b6520 at C3","FUN_004b6520 role after alloc: is it memset-zero, init-to-pattern, or something else?"
"U-4398","structural","0x00475180","render","reference_to 0x00475180 at C3 to find call sites","No Ghidra callers found — may be called via function pointer or from unanalyzed code"
"U-4399","structural","0x00475210","render","decomp_function 0x0045bfe0 at C3","local_8 negation at 0x004752af: `local_8 = -local_8` after it was set by FUN_0045bfe0 — the sign inversion purpose is unclear"
"U-4401","structural","0x004752f0","render","listing_code_unit_at 0x00475616 at C3","`param_1[3] = 4.2039e-45` — raw float literal at 0x00475616 is `int32(3)` reinterpreted as IEEE-754 float; likely a matrix element initialization bug or Ghidra cast artifact"
"U-4412","structural","0x004756e0","render","listing_code_unit_at 0x004756e0 + read EAX usage","param_1 used simultaneously as float (guard !=0.0) and as pointer offset (param_1+4); Ghidra type mismatch — raw float value reinterpreted as pointer"
"U-4413","structural","0x004756e0","render","decomp_function FUN_004c1480","local_40 64-byte stack buffer layout — passed to FUN_004c1480 as third argument; content and field layout unknown"
