rva	name	subsystem	arg_type	note	callees
004a4bb7	entry	boot	unknown	re/analysis/promote_c2_boot_crt/004a4bb7.md	
004a8a04	FUN_004a8a04	boot	unknown	re/analysis/promote_c2_boot_crt/004a8a04.md	004a467e,004a774d,004a87f7,00616658,00616920
004aa3fe	__heap_init	boot	unknown	re/analysis/promote_c2_boot_crt/004aa3fe.md	004aa3e4,004aa44f
004ac04a	FUN_004ac04a	boot	unknown	re/analysis/promote_c2_boot_crt/004ac04a.md	004a45fb,004ae29f
00492290	sub_00492290	boot	unknown	re/analysis/boot_app_init/00492290.md	004926c0,00492770,004929d0,00492d20,00492d30,00492e90,00493480,00499690
004924f0	sub_004924f0	boot	unknown	re/analysis/boot_app_init/004924f0.md	00431ae0,00431af0,00431b00,00431b10,00431d00,0045b350,007f0a40,007f0a6c,007f0cb0,007f0de8,007f0e50,007f0f2c,007f0f30,007f0f34,007f0f38,007f0f3c,007f0f60,007f0fd0,007f0fec,007f0ff0,007f105c
00493550	thunk_FUN_004938c0	boot	unknown	re/analysis/promote_c2_launch_handshake/00493550.md	00493554,004938c0,004c2f60,004c3040,004c3270,00550390,00558470
00493560	thunk_FUN_004954f0	boot	unknown	re/analysis/promote_c2_launch_handshake/00493560.md	0045b350,00493564,004954f0,00495580,004955c0,00496010,00496370,004963d0,00498b60,00498bf0
00493900	sub_00493900	boot	unknown	re/analysis/promote_c2_launch_handshake/00493900.md	00499730,004a2be9,004a3ac9,006147bc,006147c0,00616038,007719e0,007719e4,007719e8
00499ba0	sub_00499ba0	boot	unknown	re/analysis/boot_app_init/00499ba0.md	00498bc0,00498bd0,00499820,00499890,00773818,007e9580,007e9584
00499cc0	sub_00499cc0	boot	unknown	re/analysis/boot_app_init/00499cc0.md	007e9584,007e95a8
004a774d	__mtinitlocks	boot	unknown	re/analysis/boot_crt_exit/0x004a774d.md	004a7794,004ae29f,00616408,0061640c,00773a08
004aa3e4	___heap_select	boot	unknown	re/analysis/boot_crt_exit/0x004aa3e4.md	004aa3fc,0077399c,007739a8
004aa44f	___sbh_heap_init	boot	unknown	re/analysis/boot_crt_exit/0x004aa44f.md	004aa495
004938c0	sub_004938c0	render	unknown	re/analysis/promote_c2_launch_handshake/004938c0.md	004938d7,004c2f60,004c3040,004c3270,00550390,00558470
00558470	sub_00558470	render	unknown	re/analysis/skeleton_prep_high_leverage/00558470.md	00558484,00558498,005584b5,007d3ff8,007dc8ac,007dc8b8,007dc8bc
004c2f60	FUN_004c2f60	render	unknown	re/analysis/render_promote_c2_rw_plugin/0x004c2f60.md	
00495270	FUN_00495270	render	unknown	re/analysis/skeleton_prep_boot_winmain_a/00495270.md	00499710
004c2fb0	FUN_004c2fb0	render	unknown	re/analysis/render_promote_c2_rw_plugin/0x004c2fb0.md	
004c5c80	FUN_004c5c80	render	unknown	re/analysis/skeleton_prep_boot_winmain_b/004c5c80.md	007d3ff8,007d4054
004c9eb0	FUN_004c9eb0	render	unknown	re/analysis/skeleton_prep_boot_winmain_b/004c9eb0.md	005d8b80,005d8b84,005d8b88,006181c4,007d4108,007d410c
004a9410	_strlen	boot	unknown	re/analysis/boot_crt_env/004a9410.md	004a943f,004a9440,004a9442,004a9447,004a9449,004a944c,004a944e,004a9451,004a9458
004aaff0	_memcpy	boot	unknown	re/analysis/boot_crt_env/004aaff0.md	004aaff5,004aaffb,004ab004,004ab00a,004ab010,004ab018,004ab01b,004ab01e,004ab023,004ab025,004ab02c,004ab18c
004ae29f	___crtInitCritSecAndSpinCount	boot	unknown	re/analysis/boot_crt_env/004ae29f.md	004a5984,004ae2ab,004ae2b0,004ae2b2,004ae2b4,004ae2bd,004ae2c8,004ae2ca,004ae2cc,004ae2d1,004ae2d8,004ae2dd,004ae2df,004ae2e1,004ae2e6,004ae2eb,004ae2ef,004ae2f5,004ae2fa,004ae320,005cc038,005cc0b4,0077399c,00773d60
004c2c90	FUN_004c2c90	render	unknown	re/analysis/render_promote_c2_rw_plugin/0x004c2c90.md	
00498b60	FUN_00498b60	render	unknown	re/analysis/promote_c2_video_cfg/00498b60.md	007731f8,007731fc,00773408,00773410
004c9f50	FUN_004c9f50	render	unknown	re/analysis/skeleton_prep_boot_winmain_b/004c9f50.md	007d4134
