rva	name	subsystem	reason
00492370	sub_00492370	boot	live-state-side-effect: _unlink on live path (in ## why c2)
004abe86	FUN_004abe86	boot	signature-unsupported: fastcall ECX/EDX args
004c5930	sub_004c5930	boot	inline [UNCERTAIN U-0010] catalogued but Blocks=C3 (matched-RVA) (heading=## uncertainties)
00550390	sub_00550390	render	callee-gate: 00551510=C1
004c3040	sub_004c3040	render	inline [UNCERTAIN U-0091] catalogued but Blocks=C3 (matched-RVA) (heading=## uncertainties)
00493710	FUN_00493710	render	callee-gate: 00550350=C1,005584c0=C1
00493640	FUN_00493640	render	callee-gate: 004e5d30=C1,0052d8e0=C1,0052e310=C1,005336d0=C1,00534a80=C1,00538600=C1,0053d0b0=C1,0053eaa0=C1,00543e50=C1,00544d20=C1,00546530=C1,00549640=C1,005515a0=C1,005578a0=C1,00561ee0=C1,0057c270=C1
004a2be9	__security_check_cookie	boot	signature-unsupported: fastcall ECX/EDX args
004aac76	___sbh_alloc_block	boot	inline [UNCERTAIN U-0191] catalogued but Blocks=C3 (matched-RVA) (heading=## uncertainties)
004ac45c	___crtMessageBoxA	boot	live-state-side-effect: blocking message box (in ## mechanical description)
0047b8d0	FUN_0047b8d0	input	live-state-side-effect: fopen — live file I/O (in (preamble))
00472380	FUN_00472380	render	callee-gate: 004e7d40=C1
00499710	FUN_00499710	render	live-state-side-effect: modal Win32 dialog (DialogBoxParam) (in ## mechanical description)
004014b0	FUN_004014b0	boot	callee-gate: 004e45b0=C1,004e4860=C1,004e4d90=C1,004e5700=C1,004e6e00=C1
004015a0	FUN_004015a0	boot	callee-gate: 004e6e00=C1
00403660	FUN_00403660	boot	inline bare [UNCERTAIN] (heading=## struct offsets)
00418980	thunk_FUN_0041a060	boot	callee-gate: 004c0b30=C1,004e69a0=C1,004e7e30=C1
004189e0	thunk_FUN_004196f0	boot	callee-gate: 004e6920=C1,004e6e00=C1
004c7a70	_rwDeviceSystemFn	render	live-state-side-effect: Direct3D vtable on live device (in ## mechanical description)
004c8740	FUN_004c8740	render	live-state-side-effect: Direct3D vtable on live device (in ## what it does)
004c8800	FUN_004c8800	render	live-state-side-effect: Direct3D vtable on live device (in ## what it does)
004c8c70	FUN_004c8c70	render	live-state-side-effect: Direct3D vtable on live device (in ## what it does)
