rva	size	n_callees	callees	name	has_global
0x00403c60	208	4	0x427ad0,0x427ad0,0x427ad0,0x427ad0	FUN_00403c60	1
0x00403db0	288	6	0x427ad0,0x427ad0,0x427ad0,0x427ad0,0x427ad0,0x427ad0	FUN_00403db0	1
0x00407b00	112	1	0x426090	FUN_00407b00	0
0x00407be0	240	1	0x426090	FUN_00407be0	1
0x00407cd0	160	1	0x426090	FUN_00407cd0	0
0x00408590	128	3	0x426cc0,0x426cc0,0x426cc0	FUN_00408590	0
0x00409290	112	2	0x426bc0,0x426bd0	FUN_00409290	0
0x0040ab40	320	2	0x42c1a0,0x42c1a0	FUN_0040ab40	1
0x0040ac80	80	1	0x42c1a0	FUN_0040ac80	1
0x0040b6e0	32	1	0x42f6a0	FUN_0040b6e0	1
0x0040b930	64	1	0x40b8e0	FUN_0040b930	1
0x0040b9a0	96	1	0x46c7b0	FUN_0040b9a0	1
0x0040ba60	64	1	0x46c7b0	FUN_0040ba60	1
0x0040bb30	32	1	0x4c5c00	FUN_0040bb30	1
0x0040dba0	48	1	0x42f6a0	FUN_0040dba0	1
0x0040e4b0	80	1	0x46c7b0	Race::GetSoleFinishedPlayer	0
0x00412130	96	1	0x42f6a0	FUN_00412130	1
0x00413fa0	64	2	0x430790,0x42f6a0	FUN_00413fa0	0
0x00415190	112	3	0x442cc0,0x40e470,0x442cc0	FUN_00415190	0
0x00415200	32	1	0x442cc0	FUN_00415200	0
0x00417cf0	176	3	0x417730,0x417730,0x46d4a0	FUN_00417cf0	1
0x0041a9b0	32	1	0x41a8b0	FUN_0041a9b0	0
0x0041b520	32	1	0x41ae20	FUN_0041b520	1
0x0041c010	128	1	0x41b770	FUN_0041c010	1
0x0041dc30	112	1	0x417730	FUN_0041dc30	1
0x0041f880	112	1	0x422aa0	FUN_0041f880	1
0x00420230	96	1	0x41f330	FUN_00420230	1
0x004215c0	32	1	0x420de0	FUN_004215c0	1
0x004215e0	80	2	0x420de0,0x420de0	FUN_004215e0	1
0x00423b00	32	3	0x423040,0x423270,0x423320	FUN_00423b00	1
0x00426030	48	3	0x41e9b0,0x41ea10,0x41e8f0	FUN_00426030	1
0x00426640	48	2	0x41e9b0,0x41ea70	FUN_00426640	1
0x00426c50	32	1	0x41ea60	FUN_00426c50	1
0x00426c90	32	1	0x41ea80	FUN_00426c90	1
0x004298e0	240	6	0x430b00,0x411580,0x430b00,0x430b00,0x411580,0x430b00	TimeDisplay::InitForLap	1
0x00429b30	64	2	0x42f6a0,0x42b8c0	FUN_00429b30	1
0x00429b70	96	4	0x42f6a0,0x42f6a0,0x42f6a0,0x42b8c0	FUN_00429b70	1
0x0042c1f0	48	1	0x496900	FUN_0042c1f0	0
0x0042c220	96	2	0x40e470,0x496900	FUN_0042c220	1
0x0042c280	32	1	0x42bf30	FUN_0042c280	1
0x0042f8d0	304	5	0x472c60,0x472c60,0x472c60,0x472c60,0x472c60	MenuMenusBC	0
0x00430250	64	1	0x40d430	FUN_00430250	1
0x004322c0	256	4	0x42aa00,0x430830,0x430910,0x42f6b0	FUN_004322c0	1
0x00458f80	32	1	0x458f20	FUN_00458f80	0
0x0045bfa0	48	1	0x45baa0	PowerupSlotActivate	0
0x0045c330	32	1	0x45bff0	FUN_0045c330	0
0x0045c6b0	112	1	0x45c640	FUN_0045c6b0	1
0x0045c7f0	32	1	0x40e350	FUN_0045c7f0	1
0x0045cbe0	112	2	0x45c640,0x45c4e0	FUN_0045cbe0	1
0x0045dfc0	48	2	0x45df70,0x45df70	FUN_0045dfc0	1
0x0045dff0	80	2	0x408ad0,0x408ad0	FUN_0045dff0	0
0x00462520	144	1	0x430790	FUN_00462520	0
0x00462760	80	3	0x5a89b0,0x5a89b0,0x5a89a0	FUN_00462760	1
0x00472560	96	2	0x46be10,0x46be10	FUN_00472560	1
0x004725f0	80	2	0x46be10,0x46be10	FUN_004725f0	1
0x00477730	48	2	0x4773f0,0x4773f0	FUN_00477730	1
0x00477760	112	1	0x477450	FUN_00477760	1
0x00485380	48	2	0x485340,0x4a332b	FUN_00485380	1
0x0048a830	32	1	0x4b6480	FUN_0048a830	1
0x0048ade0	32	1	0x4b6480	FUN_0048ade0	1
0x0048f740	64	3	0x48f710,0x48f6b0,0x48f6e0	FUN_0048f740	1
0x004922e0	96	2	0x40e470,0x40e350	FUN_004922e0	1
0x0049a730	16	1	0x426c00	FUN_0049a730	1
0x0049c810	48	1	0x49c800	FUN_0049c810	0
0x0049ceb0	80	1	0x49fa40	FUN_0049ceb0	1
0x004b6520	32	1	0x4b64e0	ZeroFillWrapper	1
0x004c2c90	224	2	0x4d7ff0,0x4d8480	FUN_004c2c90	1
0x004c2dc0	32	1	0x4d7db0	FUN_004c2dc0	1
0x004c5ae0	112	2	0x4d7ff0,0x4d8480	FUN_004c5ae0	1
0x004c5b50	112	2	0x4d7ff0,0x4d8480	FUN_004c5b50	1
0x004c5cb0	240	4	0x4d7ff0,0x4d8480,0x4d7ff0,0x4d8480	FUN_004c5cb0	1
0x004cc790	80	3	0x4cbd30,0x4d7ff0,0x4d8480	FUN_004cc790	0
0x004cdd60	192	2	0x4d7ff0,0x4d8480	FUN_004cdd60	1
0x004ce2d0	192	2	0x4d7ff0,0x4d8480	FUN_004ce2d0	1
0x004ce5d0	192	2	0x4d7ff0,0x4d8480	FUN_004ce5d0	1
0x004d4170	112	2	0x4d7ff0,0x4d8480	FUN_004d4170	1
0x004d4250	96	2	0x4d7ff0,0x4d8480	FUN_004d4250	1
0x004d42b0	96	2	0x4d7ff0,0x4d8480	FUN_004d42b0	1
0x004d4910	272	2	0x4d7ff0,0x4d8480	FUN_004d4910	1
0x004d5190	320	6	0x4d7ff0,0x4d8480,0x4d7ff0,0x4d8480,0x4d7ff0,0x4d8480	FUN_004d5190	1
0x0052d980	160	4	0x4d7ff0,0x4d8480,0x4d7ff0,0x4d8480	FUN_0052d980	1
0x0052da20	208	2	0x4d7ff0,0x4d8480	FUN_0052da20	1
0x005a7920	128	2	0x5ae800,0x5ae0b0	FUN_005a7920	1
0x005a7a40	32	1	0x5ade60	FUN_005a7a40	1
0x005a7e70	48	1	0x5ade10	FUN_005a7e70	1
0x005a7ee0	144	3	0x5ae0c0,0x5ae010,0x5adfe0	FUN_005a7ee0	1
0x005a8890	208	5	0x5b0c70,0x5aad40,0x5aad40,0x5aad40,0x5aad40	FUN_005a8890	1
0x005a8960	64	1	0x5b0dc0	FUN_005a8960	1
0x005a9ff0	64	1	0x5aa0c0	FUN_005a9ff0	1
0x005aa060	96	1	0x5aa0c0	FUN_005aa060	0
0x005aa1e0	32	1	0x5adf30	FUN_005aa1e0	0
0x005aa900	192	1	0x5aa9c0	FUN_005aa900	1
0x005aac20	208	3	0x5aa9c0,0x5ae920,0x5ae920	FUN_005aac20	1
0x005ad320	256	2	0x5adf30,0x5adf30	FUN_005ad320	0
0x005ad540	48	2	0x5ae010,0x5adfe0	FUN_005ad540	0
0x005ad570	128	2	0x5ae800,0x5ae0b0	FUN_005ad570	1
0x005ad6a0	80	1	0x5adf30	FUN_005ad6a0	1
0x005ad8b0	32	1	0x5ae920	FUN_005ad8b0	1
0x005ae380	32	1	0x5ae920	FUN_005ae380	1
0x005b3020	192	1	0x5aeda0	FUN_005b3020	0
0x005b3620	80	2	0x5adf30,0x5adf30	FUN_005b3620	0
0x005b36f0	112	2	0x5ac9e0,0x5ac9e0	FUN_005b36f0	1
0x005b4150	160	1	0x5b4060	FUN_005b4150	0
0x005b70e0	48	1	0x5b0f10	FUN_005b70e0	1
0x005b8040	64	1	0x5aeea0	FUN_005b8040	0
0x005bc690	192	5	0x5be140,0x5be140,0x5be140,0x5be140,0x5be140	FUN_005bc690	0
0x005bcab0	208	1	0x5bcb80	FUN_005bcab0	1
