rva	name	subsystem	size	n_callees	callees_c3	best_caller
004b6550	thunk_FUN_004b6700	boot	5	1	004b6700	00402a40
00494ee0	thunk_FUN_004d8560	util	5	1	004d8560	00473c20
0045bfd0	thunk_FUN_00426060	gameplay	5	1	00426060	00455060
004b4140	FUN_004b4140	render	16	1	004b4130	004b5260
0045c330	FUN_0045c330	gameplay	19	1	0045bff0	00406950
00421690	FUN_00421690	render	22	1	00421060	00424eb0
00477e40	FUN_00477e40	render	23	2	0040bb30,00477b40	0040bbb0
005ae380	FUN_005ae380	audio	24	1	005ae920	005ae330
005ad8b0	FUN_005ad8b0	audio	25	1	005ae920	005ad770
005a6c90	FUN_005a6c90	audio	25	1	005ae920	005a6b70
005ae7e0	FUN_005ae7e0	audio	30	1	005ae780	005a9d00
005a7a40	FUN_005a7a40	audio	31	1	005ade60	005a79a0
005a9f10	FUN_005a9f10	audio	31	1	005ae800	005aa7a0
00409790	FUN_00409790	gameplay	33	1	0055dec0	00441820
005ad540	FUN_005ad540	audio	34	2	005adfe0,005ae010	005aeb30
0045bfa0	PowerupSlotActivate	powerups	35	1	0045baa0	0045c010
004e4320	FUN_004e4320	render	39	1	004c0e50	004013f0
00428760	FUN_00428760	hud	41	1	00428610	00403050
00485380	FUN_00485380	vehicle	41	2	00485340,004a332b	00485420
00474db0	FUN_00474db0	render	42	1	004b6520	004759b0
005a6c60	FUN_005a6c60	audio	45	1	005ae800	005a6b70
005a7e70	FUN_005a7e70	audio	46	1	005ade10	005abcf0
005c9740	FUN_005c9740	audio	46	1	005c9770	005c7ee0
00410d10	FUN_00410d10	vehicle	47	1	00443080	00411170
004c7730	FUN_004c7730	render	47	1	004d8c40	004c1be0
00477730	FUN_00477730	render	48	1	004773f0	0040bd80
0048f740	FUN_0048f740	util	49	3	0048f6b0,0048f6e0,0048f710	0040bd80
0040b930	FUN_0040b930	gameplay	51	1	0040b8e0	0041b540
00495150	FUN_00495150	input	52	3	00495120,004955b0,00499710	00493540
0040ba60	FUN_0040ba60	gameplay	52	1	0046c7b0	0041b540
00442600	CameraPath::InitForTrack	util	54	1	00426c00	00446520
005a8960	FUN_005a8960	audio	55	1	005b0dc0	0045dc80
004dba60	FUN_004dba60	render	55	1	004c75c0	004d07b0
004778e0	FUN_004778e0	render	56	1	004b6520	00477920
00475ef0	FUN_00475ef0	render	57	1	004b6520	00476390
005a9ff0	FUN_005a9ff0	audio	58	1	005aa0c0	005afa00
005b8040	FUN_005b8040	audio	58	1	005aeea0	005b1260
