rva	class	size	subsystem	name
0x0041f290	race_gated	36	gameplay	FUN_0041f290
0x0045bac0	race_gated	28	powerups	PowerupSlotDeactivate
0x0046cc10	race_gated	41	ai	FUN_0046cc10
0x005b0f40	race_gated	15	audio	FUN_005b0f40
0x005b8080	race_gated	15	audio	FUN_005b8080
0x004039c0	exercised_prerace	23	vehicle	FUN_004039c0
0x0040d020	exercised_prerace	21	track	FUN_0040d020
0x0047a0f0	exercised_prerace	59	track	FUN_0047a0f0
0x0047b860	exercised_prerace	22	input	FUN_0047b860
0x0047b880	exercised_prerace	25	input	FUN_0047b880
0x00494460	exercised_prerace	32	frontend	sub_00494460
0x00494480	exercised_prerace	38	video	FUN_00494480
0x00495110	exercised_prerace	11	util	FUN_00495110
0x0049f210	exercised_prerace	19	particle	FUN_0049f210
0x00404820	never	13	hud	FUN_00404820
0x0041a3d0	never	13	boot	FUN_0041a3d0
0x0041b440	never	11	render	FUN_0041b440
0x0041c2c0	never	13	boot	FUN_0041c2c0
0x004292d0	never	39	util	sub_004292d0
0x00483a40	never	41	vehicle	FUN_00483a40
0x00489240	never	11	sky	SkySecondaryDispatch
0x0048bc10	never	13	particle	FUN_0048bc10
0x004cbb50	never	11	render	FUN_004cbb50
0x005571c0	never	25	hud	FontSys_ShutdownFontPool
