rva	klass	shape	arg_type	subsystem	size	reason
0040dcb0	STATE	-	-	gameplay	176	STATE: reads live global / derefs arg → needs booted game
00413bc0	STATE	-	-	hud	173	STATE: reads live global / derefs arg → needs booted game
00413c70	STATE	-	-	vehicle	59	STATE: reads live global / derefs arg → needs booted game
0041e150	STATE	-	-	gameplay	25	STATE: reads live global / derefs arg → needs booted game
0041f330	STATE	-	-	gameplay	47	STATE: reads live global / derefs arg → needs booted game
00420d80	STATE	-	-	gameplay	25	STATE: reads live global / derefs arg → needs booted game
00420de0	STATE	-	-	vehicle	31	STATE: reads live global / derefs arg → needs booted game
004277a0	STATE	-	-	frontend	147	STATE: reads live global / derefs arg → needs booted game
0042ad90	STATE	-	-	frontend	54	STATE: reads live global / derefs arg → needs booted game
0042add0	STATE	-	-	frontend	64	STATE: reads live global / derefs arg → needs booted game
0042c150	STATE	-	-	util	78	STATE: reads live global / derefs arg → needs booted game
00431b20	STATE	-	-	audio	15	STATE: reads live global / derefs arg → needs booted game
00431b50	STATE	-	-	util	15	STATE: reads live global / derefs arg → needs booted game
00431b60	STATE	-	-	util	15	STATE: reads live global / derefs arg → needs booted game
0044c740	STATE	-	-	render	259	STATE: reads live global / derefs arg → needs booted game
0044e070	STATE	-	-	audio	39	STATE: reads live global / derefs arg → needs booted game
00456eb0	STATE	-	-	gameplay	181	STATE: reads live global / derefs arg → needs booted game
00458f20	STATE	-	-	gameplay	81	STATE: reads live global / derefs arg → needs booted game
0045baa0	STATE	-	-	powerups	32	STATE: reads live global / derefs arg → needs booted game
0045c510	STATE	-	-	gameplay	54	STATE: reads live global / derefs arg → needs booted game
0045c550	STATE	-	-	gameplay	232	STATE: reads live global / derefs arg → needs booted game
0045ca30	STATE	-	-	gameplay	118	STATE: reads live global / derefs arg → needs booted game
0045de80	STATE	-	-	render	236	STATE: reads live global / derefs arg → needs booted game
0046bda0	STATE	-	-	gameplay	104	STATE: reads live global / derefs arg → needs booted game
0046be10	STATE	-	-	gameplay	55	STATE: reads live global / derefs arg → needs booted game
0046d7f0	STATE	-	-	ai	144	STATE: reads live global / derefs arg → needs booted game
004726b0	STATE	-	-	gameplay	64	STATE: reads live global / derefs arg → needs booted game
004726f0	STATE	-	-	gameplay	72	STATE: reads live global / derefs arg → needs booted game
00475f30	STATE	-	-	render	32	STATE: reads live global / derefs arg → needs booted game
00476b30	STATE	-	-	render	92	STATE: reads live global / derefs arg → needs booted game
00476d00	STATE	-	-	render	238	STATE: reads live global / derefs arg → needs booted game
00477450	STATE	-	-	render	56	STATE: reads live global / derefs arg → needs booted game
00477b60	STATE	-	-	render	117	STATE: reads live global / derefs arg → needs booted game
0047bc90	STATE	-	-	gameplay	36	STATE: reads live global / derefs arg → needs booted game
00482730	STATE	-	-	vehicle	110	STATE: reads live global / derefs arg → needs booted game
00482860	STATE	-	-	vehicle	147	STATE: reads live global / derefs arg → needs booted game
00483ca0	STATE	-	-	vehicle	102	STATE: reads live global / derefs arg → needs booted game
