rva	klass	shape	arg_type	subsystem	size	reason
00401000	MANUAL	-	-	hud	482	no-clean-ret (multi-exit/tail)
004011f0	STATE	-	-	hud	325	STATE: reads live global / derefs arg → needs booted game
004013f0	STATE	-	-	hud	181	STATE: reads live global / derefs arg → needs booted game
004014b0	STATE	-	-	boot	182	STATE: reads live global / derefs arg → needs booted game
004015a0	STATE	-	-	boot	129	STATE: reads live global / derefs arg → needs booted game
00401630	MANUAL	-	-	track	87	no-clean-ret (multi-exit/tail)
00401690	STATE	-	-	render	820	STATE: reads live global / derefs arg → needs booted game
004019d0	STATE	-	-	render	973	STATE: reads live global / derefs arg → needs booted game
00401da0	STATE	-	-	frontend	309	STATE: reads live global / derefs arg → needs booted game
00401f10	STATE	-	-	render	202	STATE: reads live global / derefs arg → needs booted game
00401fe0	STATE	-	-	render	600	STATE: reads live global / derefs arg → needs booted game
00402240	MANUAL	-	-	render	89	MANUAL: unrecognized leaf shape
004022a0	STATE	-	-	render	744	STATE: reads live global / derefs arg → needs booted game
00402590	MANUAL	-	-	render	89	MANUAL: unrecognized leaf shape
004025f0	STATE	-	-	boot	211	STATE: reads live global / derefs arg → needs booted game
00402750	MANUAL	-	-	boot	97	no-clean-ret (multi-exit/tail)
00402a40	MANUAL	-	-	boot	293	no-clean-ret (multi-exit/tail)
00402b70	MANUAL	-	-	util	963	no-clean-ret (multi-exit/tail)
00402fb0	STATE	-	-	hud	148	STATE: reads live global / derefs arg → needs booted game
00403050	MANUAL	-	-	frontend	125	no-clean-ret (multi-exit/tail)
004030d0	STATE	-	-	util	137	STATE: reads live global / derefs arg → needs booted game
00403250	MANUAL	-	-	util	581	no-clean-ret (multi-exit/tail)
004034a0	STATE	-	-	render	412	STATE: reads live global / derefs arg → needs booted game
00403640	STATE	-	-	boot	24	STATE: reads live global / derefs arg → needs booted game
00403660	STATE	-	-	boot	54	STATE: reads live global / derefs arg → needs booted game
004036a0	STATE	-	-	render	612	STATE: reads live global / derefs arg → needs booted game
00403910	STATE	-	-	render	170	STATE: reads live global / derefs arg → needs booted game
004039c0	STATE	-	-	vehicle	23	STATE: reads live global / derefs arg → needs booted game
004039f0	STATE	-	-	util	611	STATE: reads live global / derefs arg → needs booted game
00403c60	MANUAL	-	-	hud	207	MANUAL: unrecognized leaf shape
00403db0	MANUAL	-	-	render	278	MANUAL: unrecognized leaf shape
00403fa0	STATE	-	-	render	529	STATE: reads live global / derefs arg → needs booted game
004041c0	STATE	-	-	render	343	STATE: reads live global / derefs arg → needs booted game
00404650	STATE	-	-	render	79	STATE: reads live global / derefs arg → needs booted game
004046a0	STATE	-	-	util	377	STATE: reads live global / derefs arg → needs booted game
00404820	STATE	-	-	hud	13	STATE: reads live global / derefs arg → needs booted game
00404830	STATE	-	-	boot	1474	STATE: reads live global / derefs arg → needs booted game
00404fa0	STATE	-	-	render	1069	STATE: reads live global / derefs arg → needs booted game
00405460	STATE	-	-	util	223	STATE: reads live global / derefs arg → needs booted game
00405540	STATE	-	-	gameplay	495	STATE: reads live global / derefs arg → needs booted game
00405730	STATE	-	-	gameplay	80	STATE: reads live global / derefs arg → needs booted game
00405780	STATE	-	-	gameplay	257	STATE: reads live global / derefs arg → needs booted game
004058e0	STATE	-	-	gameplay	62	STATE: reads live global / derefs arg → needs booted game
00405920	STATE	-	-	gameplay	398	STATE: reads live global / derefs arg → needs booted game
00405ab0	STATE	-	-	gameplay	1192	STATE: reads live global / derefs arg → needs booted game
00405f60	STATE	-	-	gameplay	261	STATE: reads live global / derefs arg → needs booted game
00406070	STATE	-	-	gameplay	192	STATE: reads live global / derefs arg → needs booted game
00406130	MANUAL	-	-	gameplay	46	MANUAL: unrecognized leaf shape
00406160	STATE	-	-	gameplay	522	STATE: reads live global / derefs arg → needs booted game
00406410	STATE	-	-	gameplay	174	STATE: reads live global / derefs arg → needs booted game
004064c0	STATE	-	-	gameplay	1167	STATE: reads live global / derefs arg → needs booted game
00406950	STATE	-	-	gameplay	115	STATE: reads live global / derefs arg → needs booted game
004069d0	STATE	-	-	gameplay	264	STATE: reads live global / derefs arg → needs booted game
00406ae0	STATE	-	-	gameplay	508	STATE: reads live global / derefs arg → needs booted game
00406ce0	STATE	-	-	util	1532	STATE: reads live global / derefs arg → needs booted game
004072e0	STATE	-	-	render	198	STATE: reads live global / derefs arg → needs booted game
