rva	klass	shape	arg_type	subsystem	size	reason
00499ce0	AUTO	multi_const_store x16	scalars_to_scattered_globals	render	166	*(uint32_t*)0x00773960 = 0x00000000u; *(uint32_t*)0x0077395c = 0x00000000u; *(uint32_t*)0x00773958 = 0x00000000u; *(uint32_t*)0x00773954 = 0x00000000u; *(uint32_t*)0x0077394c = 0x00000000u; *(uint32_t*)0x00773948 = 0x00000000u; *(uint32_t*)0x00773944 = 0x00000000u; *(uint32_t*)0x00773940 = 0x00000000u; *(uint32_t*)0x00773938 = 0x00000000u; *(uint32_t*)0x00773934 = 0x00000000u; *(uint32_t*)0x00773930 = 0x00000000u; *(uint32_t*)0x0077392c = 0x00000000u; *(uint32_t*)0x00773964 = 0x3f800000u; *(uint32_t*)0x00773950 = 0x3f800000u; *(uint32_t*)0x0077393c = 0x3f800000u; *(uint32_t*)0x00773928 = 0x3f800000u;
004d71f0	AUTO	read_global_u32 [0x007d6b10]	read_global	render	6	return *(uint32_t*)0x007d6b10;
004f3bc0	AUTO	ptr_fields_clear offs=['0x8', '0x0', '0x4']	ptr_fields_clear	render	15	*(uint32_t*)((char*)p + 0x8) = 0; *(uint32_t*)((char*)p + 0x0) = 0; *(uint32_t*)((char*)p + 0x4) = 0;
004951f0	STATE	-	-	render	122	STATE: reads live global / derefs arg → needs booted game
004c32b0	STATE	-	-	render	768	STATE: reads live global / derefs arg → needs booted game
00498b60	STATE	-	-	render	83	STATE: reads live global / derefs arg → needs booted game
004c9f60	STATE	-	-	render	67	STATE: reads live global / derefs arg → needs booted game
004c8e50	STATE	-	-	render	579	STATE: reads live global / derefs arg → needs booted game
004cc9f0	STATE	-	-	render	136	STATE: reads live global / derefs arg → needs booted game
00412050	STATE	-	-	render	165	STATE: reads live global / derefs arg → needs booted game
004cc5e0	STATE	-	-	render	244	STATE: reads live global / derefs arg → needs booted game
004cf7d0	STATE	-	-	render	514	STATE: reads live global / derefs arg → needs booted game
0040b090	STATE	-	-	render	236	STATE: reads live global / derefs arg → needs booted game
00490500	STATE	-	-	render	2372	STATE: reads live global / derefs arg → needs booted game
0048ebf0	STATE	-	-	render	1010	STATE: reads live global / derefs arg → needs booted game
0048f290	STATE	-	-	render	389	STATE: reads live global / derefs arg → needs booted game
0048f420	STATE	-	-	render	364	STATE: reads live global / derefs arg → needs booted game
00467210	STATE	-	-	render	54	STATE: reads live global / derefs arg → needs booted game
004db3e0	STATE	-	-	render	368	STATE: reads live global / derefs arg → needs booted game
00491780	STATE	-	-	render	23	STATE: reads live global / derefs arg → needs booted game
004c1b10	STATE	-	-	render	44	STATE: reads live global / derefs arg → needs booted game
0040de30	STATE	-	-	render	229	STATE: reads live global / derefs arg → needs booted game
0040df20	STATE	-	-	render	57	STATE: reads live global / derefs arg → needs booted game
0042f530	STATE	-	-	render	299	STATE: reads live global / derefs arg → needs booted game
004db550	STATE	-	-	render	88	STATE: reads live global / derefs arg → needs booted game
004cba80	STATE	-	-	render	76	STATE: reads live global / derefs arg → needs booted game
004c4680	STATE	-	-	render	968	STATE: reads live global / derefs arg → needs booted game
004d6e70	STATE	-	-	render	643	STATE: reads live global / derefs arg → needs booted game
004c0ed0	STATE	-	-	render	31	STATE: reads live global / derefs arg → needs booted game
004a42c5	STATE	-	-	render	87	STATE: reads live global / derefs arg → needs booted game
00498a00	STATE	-	-	render	349	STATE: reads live global / derefs arg → needs booted game
00498e40	STATE	-	-	render	86	STATE: reads live global / derefs arg → needs booted game
004cfa00	STATE	-	-	render	967	STATE: reads live global / derefs arg → needs booted game
004e6680	STATE	-	-	render	65	STATE: reads live global / derefs arg → needs booted game
004e4320	STATE	-	-	render	39	STATE: reads live global / derefs arg → needs booted game
0041faf0	STATE	-	-	render	458	STATE: reads live global / derefs arg → needs booted game
0041fcc0	STATE	-	-	render	329	STATE: reads live global / derefs arg → needs booted game
00491590	STATE	-	-	render	491	STATE: reads live global / derefs arg → needs booted game
0045de80	STATE	-	-	render	236	STATE: reads live global / derefs arg → needs booted game
004b53b0	STATE	-	-	render	431	STATE: reads live global / derefs arg → needs booted game
004cc400	STATE	-	-	render	231	STATE: reads live global / derefs arg → needs booted game
004b42c0	STATE	-	-	render	356	STATE: reads live global / derefs arg → needs booted game
004cd070	STATE	-	-	render	196	STATE: reads live global / derefs arg → needs booted game
004d8430	STATE	-	-	render	59	STATE: reads live global / derefs arg → needs booted game
004d8470	STATE	-	-	render	16	STATE: reads live global / derefs arg → needs booted game
004d8530	STATE	-	-	render	25	STATE: reads live global / derefs arg → needs booted game
004d8fa0	STATE	-	-	render	96	STATE: reads live global / derefs arg → needs booted game
004d8a80	STATE	-	-	render	240	STATE: reads live global / derefs arg → needs booted game
004d8b70	STATE	-	-	render	90	STATE: reads live global / derefs arg → needs booted game
0042d4a0	STATE	-	-	render	190	STATE: reads live global / derefs arg → needs booted game
0042d560	STATE	-	-	render	57	STATE: reads live global / derefs arg → needs booted game
004c4600	STATE	-	-	render	111	STATE: reads live global / derefs arg → needs booted game
004d7c60	STATE	-	-	render	61	STATE: reads live global / derefs arg → needs booted game
00403910	STATE	-	-	render	170	STATE: reads live global / derefs arg → needs booted game
004041c0	STATE	-	-	render	343	STATE: reads live global / derefs arg → needs booted game
00404650	STATE	-	-	render	79	STATE: reads live global / derefs arg → needs booted game
0040bde0	STATE	-	-	render	110	STATE: reads live global / derefs arg → needs booted game
00422570	STATE	-	-	render	890	STATE: reads live global / derefs arg → needs booted game
004c35f0	STATE	-	-	render	122	STATE: reads live global / derefs arg → needs booted game
004c40b0	STATE	-	-	render	35	STATE: reads live global / derefs arg → needs booted game
004cfe20	STATE	-	-	render	25	STATE: reads live global / derefs arg → needs booted game
004d40d0	STATE	-	-	render	159	STATE: reads live global / derefs arg → needs booted game
00426030	STATE	-	-	render	47	STATE: reads live global / derefs arg → needs booted game
00426700	STATE	-	-	render	125	STATE: reads live global / derefs arg → needs booted game
00426810	STATE	-	-	render	672	STATE: reads live global / derefs arg → needs booted game
