rva	name	subsystem	size	n_callers_c2plus	best_caller	shape_hint
00405430	FUN_00405430	gameplay	39	1	0040d470	read_global_u32
004058b0	FUN_004058b0	gameplay	15	1	004058c0	arg_getter
004075b0	FUN_004075b0	gameplay	70	1	00459620	arg_getter
00407620	FUN_00407620	gameplay	29	1	004556f0	other
0040dcb0	FUN_0040dcb0	gameplay	176	1	00429310	read_global_u32
00413bc0	FUN_00413bc0	hud	173	1	00413cb0	other
00413c70	FUN_00413c70	vehicle	59	4	00412f30	arg_getter
00413fe0	FUN_00413fe0	ai	73	1	00418560	xor_clear
00418a30	FUN_00418a30	vehicle	50	3	004194f0	other
0041a4a0	FUN_0041a4a0	gameplay	92	1	0041ad00	other
0041ae20	FUN_0041ae20	render	52	1	0041b520	other
0041b720	FUN_0041b720	render	79	1	0041bf20	other
0041b770	FUN_0041b770	render	39	1	0041c010	other
0041cdb0	FUN_0041cdb0	render	79	1	0041d730	other
0041e150	FUN_0041e150	gameplay	25	1	0041e1e0	other
0041e170	FUN_0041e170	gameplay	71	1	0041e1e0	other
0041ee50	FUN_0041ee50	util	89	2	0040e590	arg_getter
0041f0d0	FUN_0041f0d0	gameplay	33	1	00412f30	other
0041f330	FUN_0041f330	gameplay	47	2	00420230	other
00420d80	FUN_00420d80	gameplay	25	2	00421100	arg_getter
00420de0	FUN_00420de0	vehicle	31	2	004215c0	other
004223f0	FUN_004223f0	gameplay	72	1	00422470	other
00422440	FUN_00422440	gameplay	45	1	00422470	read_global_f32
004233e0	FUN_004233e0	ai	160	3	004252c0	other
004277a0	FUN_004277a0	frontend	147	7	004278d0	other
0042a9f0	GetFadeAlpha	render	6	1	00492e90	other
0042ac50	FUN_0042ac50	frontend	49	10	0042fb70	other
0042ad90	FUN_0042ad90	frontend	54	1	0043d2a0	other
0042add0	FUN_0042add0	frontend	64	1	00432b30	read_global_u32
0042c150	FUN_0042c150	util	78	1	0043d7c0	xor_clear
00431b20	FUN_00431b20	audio	15	2	0045dd60	read_global_f32
00431b50	FUN_00431b50	util	15	1	00466b50	read_global_f32
00431b60	FUN_00431b60	util	15	1	004631f0	read_global_f32
00449880	FUN_00449880	particle	37	1	00449b30	other
0044c740	FUN_0044c740	render	259	1	0044c920	other
0044dff0	FUN_0044dff0	audio	43	1	00461650	arg_getter
0044e070	FUN_0044e070	audio	39	1	00461650	arg_getter
00456eb0	FUN_00456eb0	gameplay	181	1	004577f0	other
004576b0	FUN_004576b0	gameplay	56	2	00458d00	xor_clear
00458f20	FUN_00458f20	gameplay	81	2	00406950	arg_getter
0045baa0	PowerupTypeLookup	powerups	32	1	0045bfa0	other
0045bff0	FUN_0045bff0	gameplay	26	1	0045c330	arg_getter
0045c4e0	FUN_0045c4e0	gameplay	36	2	0045cb20	other
0045c510	FUN_0045c510	gameplay	54	1	0045cb20	other
0045c550	FUN_0045c550	gameplay	232	1	0045cb20	arg_getter
0045c810	FUN_0045c810	util	7	1	0045d3a0	other
0045ca30	FUN_0045ca30	gameplay	118	1	0045d250	other
0045de80	FUN_0045de80	render	236	1	00462950	other
0045df70	FUN_0045df70	util	71	1	0045dfc0	read_global_f32
0046bda0	FUN_0046bda0	gameplay	104	2	0041f3d0	other
0046be10	FUN_0046be10	gameplay	55	4	00451820	other
0046d2e0	FUN_0046d2e0	gameplay	50	4	0040d8f0	arg_getter
0046d7f0	FUN_0046d7f0	ai	144	1	004103a0	other
0046dd90	FUN_0046dd90	gameplay	21	1	004177b0	arg_getter
00471530	FUN_00471530	gameplay	40	1	00471df0	const_return
004726b0	FUN_004726b0	gameplay	64	1	00408b00	arg_getter
004726f0	FUN_004726f0	gameplay	72	6	00405920	arg_getter
00474d80	FUN_00474d80	render	34	3	004568d0	other
00475f30	FUN_00475f30	render	32	1	00475f90	read_global_f32
00476a10	FUN_00476a10	render	30	7	0041faf0	other
00476a80	FUN_00476a80	render	85	1	00457100	arg_getter
00476ae0	FUN_00476ae0	render	68	3	00419ff0	other
00476b30	FUN_00476b30	render	92	1	004770c0	other
00476b90	FUN_00476b90	render	71	1	004770c0	other
00476be0	FUN_00476be0	render	46	2	004770c0	arg_getter
00476c10	FUN_00476c10	vehicle	79	4	00419ff0	other
00476c60	FUN_00476c60	render	71	1	004770c0	other
00476cb0	FUN_00476cb0	vehicle	68	9	00413b80	arg_getter
00476d00	FUN_00476d00	render	238	21	00413cb0	arg_getter
004773f0	FUN_004773f0	render	84	3	00477490	xor_clear
00477450	FUN_00477450	render	56	1	00477760	other
00477b60	FUN_00477b60	render	117	1	0040d8f0	other
00477e00	FUN_00477e00	render	21	1	0040d8f0	arg_getter
00478cb0	FUN_00478cb0	physics	16	1	0047a020	other
0047bc90	FUN_0047bc90	gameplay	36	1	0047bcc0	other
0047c0b0	FUN_0047c0b0	track	63	1	00426e10	other
0047cdc0	FUN_0047cdc0	render	20	3	00407800	other
0047ce40	FUN_0047ce40	physics	37	2	004715a0	other
00482730	PhysicsBodySetMaterialColor	vehicle	110	1	0047d3c0	other
00482860	FUN_00482860	vehicle	147	3	00411750	other
00483ca0	FUN_00483ca0	vehicle	102	1	004117b0	other
004840f0	FUN_004840f0	vehicle	59	1	004841d0	other
004842b0	FUN_004842b0	debug-overlay	23	1	00484580	xor_clear
00484a50	FUN_00484a50	world-objects	108	1	00484ac0	other
00484c90	FUN_00484c90	util	83	1	0040cfd0	other
004850b0	FUN_004850b0	smplfzx	42	1	00478cf0	read_global_u32
00485340	FUN_00485340	vehicle	28	3	00485380	arg_getter
00485a00	FUN_00485a00	smplfzx	101	1	004850e0	arg_getter
00486f90	FUN_00486f90	particle	140	2	0040bd80	const_return
00488320	FUN_00488320	sky	108	1	00488e70	other
00489290	FUN_00489290	particle	36	1	0040bbb0	const_return
004893b0	FUN_004893b0	gameplay	31	3	00453100	arg_getter
004893d0	FUN_004893d0	frontend	119	4	00453100	arg_getter
004899c0	FUN_004899c0	particle	113	2	00406070	other
00489da0	FUN_00489da0	particle	30	1	00489dc0	abs_table_get_idx4
0048a630	FUN_0048a630	ai	185	1	00414c30	other
0048ebc0	FUN_0048ebc0	render	33	2	0048ebf0	other
0048f260	FUN_0048f260	util	35	1	0040bd80	const_return
0048f590	FUN_0048f590	particle	235	1	00420e00	other
00491070	RainColorInit	render	78	1	00491590	read_global_u32
00491bd0	FUN_00491bd0	render	40	1	00491c00	xor_clear
004924c0	FUN_004924c0	render	30	2	00426810	other
004938e0	FUN_004938e0	util	28	3	00403910	arg_getter
004944b0	FUN_004944b0	util	9	1	00494c80	other
00495520	FUN_00495520	input	6	1	00496040	read_global_u32
004957a0	FUN_004957a0	input	136	2	00496530	arg_getter
00497000	FUN_00497000	render	96	1	00497060	arg_getter
00497450	FUN_00497450	input	31	2	004967e0	arg_getter
0049c800	FUN_0049c800	particle	8	1	0049c810	other
0049da90	FUN_0049da90	particle	101	1	0049db00	other
004a2bf7	FUN_004a2bf7	boot	56	1	004a2c2f	const_return
004a2c48	FUN_004a2c48	frontend	117	131	004011f0	other
004a4170	__alldiv	util	170	8	004950b0	other
004a4220	__allmul	util	52	7	004950b0	other
004a4da0	__aulldvrm	render	149	1	004a1260	other
004a5df5	__ms_p5_test_fdiv	boot	64	1	004a5e35	other
004a9410	_strlen	boot	139	21	004a4254	other
004aa3e4	___heap_select	boot	26	1	004aa3fe	other
004aa497	___sbh_find_block	boot	43	2	004a460d	read_global_u32
004aaf90	_memset	boot	96	8	004a467e	other
004ac570	FUN_004ac570	boot	232	4	004a583a	other
004aed77	FUN_004aed77	boot	47	1	004aefd0	other
004aeda6	setSBCS	boot	41	1	004aefd0	other
004affaf	FUN_004affaf	boot	49	1	004affe0	other
004b4550	FUN_004b4550	util	247	4	0044e0a0	arg_getter
004b4650	FUN_004b4650	render	91	7	00418bd0	arg_getter
004b5240	FUN_004b5240	vehicle	29	4	0044ecc0	other
004b52c0	FUN_004b52c0	render	35	4	00419090	other
004b65c0	FUN_004b65c0	render	25	1	004952f0	other
004b6700	FUN_004b6700	render	11	1	004b6550	const_setter
004b7020	FUN_004b7020	render	23	1	004c0610	other
004b9540	FUN_004b9540	input	34	1	004b9730	arg_getter
004c0e50	FUN_004c0e50	render	125	19	004011f0	arg_getter
004c1a70	FUN_004c1a70	render	150	5	004c1a40	other
004c3910	FUN_004c3910	render	149	1	00558b40	other
004c4270	FUN_004c4270	render	91	2	004c4530	arg_getter
004c42d0	FUN_004c42d0	render	137	2	004c4530	arg_getter
004c4360	FUN_004c4360	render	200	1	004c4530	other
004c45f0	FUN_004c45f0	render	12	18	00418aa0	arg_getter
004c5830	FUN_004c5830	render	26	1	004cf5a0	other
004c5850	FUN_004c5850	render	16	1	004cf5a0	read_global_u32
004c5bc0	FUN_004c5bc0	render	58	2	0040bbb0	other
004c5c00	FUN_004c5c00	frontend	115	8	0040bb30	arg_getter
004c5c80	FUN_004c5c80	render	21	22	00407800	other
004c5ca0	FUN_004c5ca0	render	16	3	00554390	read_global_u32
004c75c0	FUN_004c75c0	render	22	1	004dba60	read_global_u32
004cb740	FUN_004cb740	render	244	1	004cb600	arg_getter
004cbb70	FUN_004cbb70	render	82	1	004ec130	other
