rw_name	module	return_type	arg_signature	source_file	line	also_in
RpAnisotGetMaxSupportedMaxAnisotropy	other	RwInt8	void	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpanisot.cpp	5	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpanisot.h
RpAnisotPluginAttach	other	RwBool	void	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpanisot.cpp	17	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpanisot.h
RpAnisotTextureGetMaxAnisotropy	other	RwInt8	RwTexture* tex	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpanisot.cpp	13	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpanisot.h
RpAnisotTextureSetMaxAnisotropy	other	RwTexture*	RwTexture* tex, RwInt8 val	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpanisot.cpp	9	
RpAtomicClone	atomic	RpAtomic*	RpAtomic* atomic	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	666	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpAtomicCreate	atomic	RpAtomic*	void	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	670	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpAtomicDestroy	atomic	RwBool	RpAtomic* atomic	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	662	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpAtomicForAllWorldSectors	atomic	RpAtomic*	RpAtomic* atomic, RpWorldSectorCallBack callback, void* data	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	1110	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpAtomicGetPluginOffset	atomic	RwInt32	RwUInt32 pluginID	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	762	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpAtomicGetWorld	atomic	RpWorld*	const RpAtomic* atomic	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	1066	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpAtomicGetWorldBoundingSphere	atomic	const RwSphere*	RpAtomic* atomic	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	594	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpAtomicInstance	atomic	RwBool	RpAtomic* atomic	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	778	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpAtomicRegisterPlugin	atomic	RwInt32	RwInt32 size, RwUInt32 pluginID, RwPluginObjectConstructor constructCB, RwPluginObjectDestructor destructCB, RwPluginObjectCopy copyCB	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	734	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpAtomicRegisterPluginStream	atomic	RwInt32	RwUInt32 pluginID, RwPluginDataChunkReadCallBack readCB, RwPluginDataChunkWriteCallBack writeCB, RwPluginDataChunkGetSizeCallBack getSizeCB	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	742	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpAtomicSetDefaultPipeline	atomic	RxPipeline*	RxPipeline* pipeline	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	1022	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpAtomicSetFrame	atomic	RpAtomic*	RpAtomic* atomic, RwFrame* frame	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	614	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpAtomicSetFreeListCreateParams	atomic	void	RwInt32 blockSize, RwInt32 numBlocksToPrealloc	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	578	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpAtomicSetGeometry	atomic	RpAtomic*	RpAtomic* atomic, RpGeometry* geometry, RwUInt32 flags	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	674	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpAtomicSetStreamAlwaysCallBack	atomic	RwInt32	RwUInt32 pluginID, RwPluginDataChunkAlwaysCallBack alwaysCB	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	746	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpAtomicSetStreamRightsCallBack	atomic	RwInt32	RwUInt32 pluginID, RwPluginDataChunkRightsCallBack rightsCB	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	750	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpAtomicStreamGetSize	atomic	RwUInt32	RpAtomic* atomic	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	706	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpAtomicStreamRead	atomic	RpAtomic*	RwStream* stream	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	710	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpAtomicStreamWrite	atomic	RpAtomic*	RpAtomic* atomic, RwStream* stream	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	714	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpAtomicValidatePlugins	atomic	RwBool	const RpAtomic* atomic	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	770	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpBuildMeshGenerateDefaultIgnoreWindingTriStrip	other	RpMeshHeader*	RpBuildMesh* buildmesh, void* data	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	326	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpBuildMeshGenerateDefaultTriStrip	other	RpMeshHeader*	RpBuildMesh* buildmesh, void* data	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	314	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpBuildMeshGenerateExhaustiveIgnoreWindingTriStrip	other	RpMeshHeader*	RpBuildMesh* buildmesh, void* data	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	334	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
RpBuildMeshGenerateExhaustiveTriStrip	other	RpMeshHeader*	RpBuildMesh* buildmesh, void* data	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	322	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
