function_rva	current_name	current_confidence	suggested_name	evidence_pattern	raw_string	string_va	ref_count	ref_offsets
0x004624c0	FUN_004624c0	C1	RtFSManagerRegister	STATUS	RtFSManagerRegister successful	0x005ce714	1	0x004624e4
0x00493710	FUN_00493710	C2	RtFSManagerOpen	CALLING	Calling RtFSManagerOpen	0x005cf868	1	0x00493754
0x00493710	FUN_00493710	C2	RwEngineInit	CALLING	Calling RwEngineInit	0x005cf884	1	0x00493729
0x00493710	FUN_00493710	C2	RwEngineOpen	CALLING	Calling RwEngineOpen	0x005cf808	1	0x00493798
0x00493710	FUN_00493710	C2	RwEngineStart	CALLING	Calling RwEngineStart	0x005cf7d0	1	0x004937ef
0x004963e0	ConfigLogError	C3	RtFSManagerOpen	CALLING-callsite	(inferred from 'Calling X' string callsite)	(no string)	4	0x004937ef,0x00493798,0x00493754,0x00493729
0x004963e0	ConfigLogError	C3	RwEngineInit	CALLING-callsite	(inferred from 'Calling X' string callsite)	(no string)	4	0x004937ef,0x00493798,0x00493754,0x00493729
0x004963e0	ConfigLogError	C3	RwEngineOpen	CALLING-callsite	(inferred from 'Calling X' string callsite)	(no string)	4	0x004937ef,0x00493798,0x00493754,0x00493729
0x004963e0	ConfigLogError	C3	RwEngineStart	CALLING-callsite	(inferred from 'Calling X' string callsite)	(no string)	4	0x004937ef,0x00493798,0x00493754,0x00493729
0x004c2fb0	FUN_004c2fb0	C2	RwEngineStart	CALLING-callsite	(inferred from 'Calling X' string callsite)	(no string)	1	0x004937ef
0x004c30b0	FUN_004c30b0	C1	RwEngineOpen	CALLING-callsite	(inferred from 'Calling X' string callsite)	(no string)	1	0x00493798
0x00550350	FUN_00550350	C1	RtFSManagerOpen	CALLING-callsite	(inferred from 'Calling X' string callsite)	(no string)	1	0x00493754
0x005c9d00	GetRaceEndTrigger	C3	RwEngineInit	CALLING-callsite	(inferred from 'Calling X' string callsite)	(no string)	1	0x00493729
