rva	verdict	size	subsystem	detail
0x004219c0	direct	42	render	0x421720
0x00495fe0	direct	42	input	0x495870
0x0055c810	direct	44	vehicle	0x55c380
0x0041f060	direct	46	gameplay	0x4c0ed0
0x0041f220	direct	51	gameplay	0x4c0ed0
0x00442a20	direct	51	util	0x441700
0x00485070	direct	52	util	0x484de0,0x484f70
0x0045d3f0	direct	53	util	0x550be0,0x5a60b0
0x004671d0	direct	54	render	0x42b930,0x42f510
0x00467210	direct	54	render	0x42b930,0x42f510
0x00489890	direct	55	gameplay	0x476df0,0x489500
0x00494a80	direct	55	frontend	0x4944c0,0x4c77c0
0x004cb840	indirect	41	render	dword ptr [ecx + 0x6c]
0x00550950	indirect	41	audio	dword ptr [eax + 8]
0x004c3d90	indirect	43	render	dword ptr [ecx + eax + 0xc]
0x004cb0b0	indirect	51	render	dword ptr [ecx + 0x170]
0x004cb0f0	indirect	51	render	dword ptr [ecx + 0x1ac]
0x004d38b0	indirect	51	render	dword ptr [edx + 0x28]
0x00490490	indirect	52	render	dword ptr [eax + 0x20]
0x005aaac0	indirect	53	audio	ebx
0x0049d1d0	imported	44	particle	KERNEL32.dll!Sleep
