rva	verdict	size	subsystem	detail
0x005b0f40	direct	15	audio	0x5ad2e0
0x0041f290	direct	36	gameplay	0x4c0ed0
0x0046cc10	direct	41	ai	0x4a2c48
0x0047d150	direct	41	gameplay	0x57c210
0x00421980	reg_arg	26	render	0x559ee0,0x55dec0
0x00421960	reg_arg	30	audio	0x559c40,0x55dec0
0x004e4320	reg_arg	39	render	0x4c0e50
0x005b1080	indirect	18	audio	dword ptr [eax + 4]
0x0045bac0	indirect	28	powerups	dword ptr [eax + 0x10]
0x0045bfa0	indirect	35	powerups	dword ptr [eax + 4]
0x005af200	indirect	35	audio	ebx
0x00412100	indirect	38	render	dword ptr [eax + 0x48]
0x005b10a0	indirect	38	audio	dword ptr [ecx]
0x005b10e0	indirect	38	audio	dword ptr [ecx]
0x00421560	indirect	39	render	dword ptr [eax + 0x20],dword ptr [ecx + 0x20]
0x0048fce0	indirect	39	particle	dword ptr [eax + 0x20],dword ptr [ecx + 0x20]
0x0048fd10	indirect	39	particle	dword ptr [eax + 0x20],dword ptr [ecx + 0x20]
0x0048fd40	indirect	39	particle	dword ptr [eax + 0x20],dword ptr [ecx + 0x20]
0x005b8080	destructive	15	audio	KERNEL32.dll!CloseHandle
0x005aeed0	destructive	33	audio	KERNEL32.dll!WaitForSingleObject
