rva	name	subsystem	arg_type	note	callees
004a4bb7	entry	boot	unknown	re/analysis/promote_c2_boot_crt/004a4bb7.md	
00499ba0	sub_00499ba0	boot	unknown	re/analysis/boot_app_init/00499ba0.md	00498bc0,00498bd0,00499820,00499890,00773818,007e9580,007e9584
00499cc0	sub_00499cc0	boot	unknown	re/analysis/boot_app_init/00499cc0.md	007e9584,007e95a8
004c2f60	FUN_004c2f60	render	unknown	re/analysis/render_promote_c2_rw_plugin/0x004c2f60.md	
004c2fb0	FUN_004c2fb0	render	unknown	re/analysis/render_promote_c2_rw_plugin/0x004c2fb0.md	
004a9410	_strlen	boot	unknown	re/analysis/boot_crt_env/004a9410.md	004a943f,004a9440,004a9442,004a9447,004a9449,004a944c,004a944e,004a9451,004a9458
004aaff0	_memcpy	boot	unknown	re/analysis/boot_crt_env/004aaff0.md	004aaff5,004aaffb,004ab004,004ab00a,004ab010,004ab018,004ab01b,004ab01e,004ab023,004ab025,004ab02c,004ab18c
004c2c90	FUN_004c2c90	render	unknown	re/analysis/render_promote_c2_rw_plugin/0x004c2c90.md	
00498b60	FUN_00498b60	render	unknown	re/analysis/promote_c2_video_cfg/00498b60.md	007731f8,007731fc,00773408,00773410
004026d0	FUN_004026d0	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x004026d0.md	004671a0,004c19f0,004c1a00,004c1bb0,004c1be0
00402f50	FUN_00402f50	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x00402f50.md	004015a0,00402750,00636ae8,00636aec,00636af0,00636af4,00636af8,00636afc
00404830	FUN_00404830	boot	unknown	re/analysis/promote_c2_perm_piz_callees/00404830.md	00636c08,006390b0,00639cc8,00639cd0,00639cd4,00639cf4,00639d2c,00639d30,00639d40,00639d4c,00639d50,00639d58,00639d5c,00639d60,00639d64
004114c0	FUN_004114c0	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x004114c0.md	00402750,004113b0,007d3ff8
004c8690	FUN_004c8690	render	unknown	re/analysis/promote_c2_render_d3d9/0x004c8690.md	
004c8e50	FUN_004c8e50	render	unknown	re/analysis/promote_c2_render_d3d9/0x004c8e50.md	
004cc820	FUN_004cc820	render	unknown	re/analysis/promote_c2_render_d3d9/0x004cc820.md	
004cc9f0	RwFreeListDestroy	render	unknown	re/analysis/promote_c2_render_d3d9/0x004cc9f0.md	
004235b0	FUN_004235b0	render	unknown	re/analysis/promote_c2_render_lowrva/004235b0.md	00409710,00423480,00423630,00495280,004952f0,004cbd30,004cc160,004cc230,004cc5e0,00644110,007f1a9c
0042e5b0	FUN_0042e5b0	frontend	unknown	re/analysis/promote_c2_frontend_menus/0x0042e5b0.md	0040bb70,0042e590,00473c20,00473ee0,00474890,004a2c48
004cc5e0	FUN_004cc5e0	render	unknown	re/analysis/texture_loader_d2/0x004cc5e0.md	004cc050,004cc400,004cc601,004cc624,004cc637,004cc664,004cc66e,004d7ff0
00476d00	FUN_00476d00	render	unknown	re/analysis/promote_c2_render_frame/0x00476d00.md	006924d8,006924dc,006924e8,00692528,00692534,00692554,00692598
004671a0	sub_004671a0	render	unknown	re/analysis/promote_c2_piz_loader/004671a0.md	0042b930,0042f510,006905b0
004cc160	FUN_004cc160	frontend	unknown	re/analysis/promote_c2_rw_engine_init/004cc160.md	004cc230,004d7ff0,004d8480,00550910,007d3ff8,007d45c4
004960e0	sub_004960e0	boot	unknown	re/analysis/window_msgpump/004960e0.md	00499820,00772fb8
00434720	FUN_00434720	frontend	unknown	re/analysis/hud_frontend_d2/0x00434720.md	
00439210	FUN_00439210	frontend	unknown	re/analysis/hud_frontend_d2/0x00439210.md	
0042bcb0	FUN_0042bcb0	frontend	unknown	re/analysis/c0_promotion_frontend_a/0x0042bcb0.md	004b5750,004c5c00,005cc560,005cc724,005cd18c,005cd5a8,005cd76c,005cd770,005cd774,005cd776,005cd778,00616038,00636ac8,007d3ff8,007e96fc
00428320	FUN_00428320	frontend	unknown	re/analysis/frontend_promote_menus_b/00428320.md	00427840,005554d0
00403050	FUN_00403050	frontend	unknown	re/analysis/loading_screen/0x00403050.md	00402fb0,00428760,0042b930,00492e90,00616038,00771964,007d3ff8
004cc7f0	FUN_004cc7f0	render	unknown	re/analysis/promote_c2_rw_render_submit/004cc7f0.md	004cc820
0042aa00	FUN_0042aa00	frontend	unknown	re/analysis/frontend_promote_menus_a/0x0042aa00.md	0067e9f8,0067ed40,0067ed74,0067ed84
004c2d90	FUN_004c2d90	render	unknown	re/analysis/render_promote_c2_rw_plugin/0x004c2d90.md	
00498c00	VideoModeTableInit	render	unknown	re/analysis/promote_c2_settings_dialog/00498c00.md	
004228f0	FUN_004228f0	render	unknown	re/analysis/promote_c2_render_lowrva/004228f0.md	00422570,004cd070,004cd140,004cd2d0,005cc320,005cc328,006403fc,006412e8,00641310,00641313,00641318,0064131c,00641324,007d3ff8
004299d0	TimeRecord::WriteTrackBest	util	unknown	re/analysis/leaderboard/0x004299d0.md	
00412f30	FUN_00412f30	util	unknown	re/analysis/util_c0_promote/0x00412f30.md	
004c5c00	FUN_004c5c00	frontend	unknown	re/analysis/sprite_gate_c3/0x004c5c00.md	
004c77c0	FUN_004c77c0	render	unknown	re/analysis/texture_loader_d3/0x004c77c0.md	
004cc400	FUN_004cc400	render	unknown	re/analysis/texture_loader_d3/0x004cc400.md	
004b6540	thunk_FUN_004b6640	boot	unknown	re/analysis/promote_c2_txd_loader/004b6540.md	00402750,004b6544,004b6640
00420d00	FUN_00420d00	boot	unknown	re/analysis/promote_c2_panel_piz_callees/00420d00.md	004b6520,0063e4b8,0063e4d0,0063e4f4,0063e518,0063e53c
00412890	FUN_00412890	boot	unknown	re/analysis/promote_c2_panel_piz_callees/00412890.md	0040bb30,0063bc54
00403db0	FUN_00403db0	render	unknown	re/analysis/promote_c2_render_lowrva/00403db0.md	00403d30,00403ed0,00427ad0
004041c0	FUN_004041c0	render	unknown	re/analysis/promote_c2_render_lowrva/004041c0.md	00403fa0,00417730,00427e00,005cc31c,005cc320,005cc32c,005cc558,005cc574,005cc728,005cc730,005cc734,005cc738,005cc73c,005d757c,00636b80,007f100c
0041ea10	FUN_0041ea10	render	unknown	re/analysis/render_frame_d4/0x0041ea10.md	0063d7e4
00422ac0	FUN_00422ac0	render	unknown	re/analysis/c0_promotion_render_a/0x00422ac0.md	006412e8,006412ec,006412f0,006412f4
00426030	FUN_00426030	render	unknown	re/analysis/render_promote_c2_track_loader/0x00426030.md	0041e8f0,0041e9b0,0041ea10,0042604c,005f616c,00644158,00646e58
004260e0	FUN_004260e0	render	unknown	re/analysis/render_promote_c2_track_loader/0x004260e0.md	005cc4dc,005cd4ac
004c5800	FUN_004c5800	render	unknown	re/analysis/texture_loader_d3_cont1/0x004c5800.md	
004c5820	FUN_004c5820	render	unknown	re/analysis/texture_loader_d3_cont1/0x004c5820.md	
004c5a00	FUN_004c5a00	render	unknown	re/analysis/texture_loader_d3_cont1/0x004c5a00.md	
004c5ae0	FUN_004c5ae0	render	unknown	re/analysis/texture_loader_d3_cont1/0x004c5ae0.md	
004c5b50	FUN_004c5b50	render	unknown	re/analysis/texture_loader_d3_cont1/0x004c5b50.md	
004e1df0	FUN_004e1df0	render	unknown	re/analysis/texture_loader_d3_cont1/0x004e1df0.md	
00477730	FUN_00477730	render	unknown	re/analysis/promote_c2_render_frame/0x00477730.md	004773f0,00477810,006925b8,00692bb8
004cfe40	FUN_004cfe40	render	unknown	re/analysis/promote_c2_render_d3d9/0x004cfe40.md	
004dcdc0	FUN_004dcdc0	render	unknown	re/analysis/promote_c2_render_d3d9/0x004dcdc0.md	
004cc6e0	FUN_004cc6e0	render	unknown	re/analysis/promote_c2_render_d3d9/0x004cc6e0.md	
004997b0	FUN_004997b0	util	unknown	re/analysis/promote_c2_video_cfg/004997b0.md	00499720
00499890	FUN_00499890	boot	unknown	re/analysis/promote_c2_d3d9_window/499890.md	00496400,00499899,004998be,004998cb,004998f3,00499905,00499928,00499951,0049996b,00499979,00499986,00499a05,00499a17,00499a24,00499a2c,005d028c,00773920
00431af0	FUN_00431af0	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x00431af0.md	00431ae0,007f0f08
00431b00	FUN_00431b00	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x00431b00.md	00431ae0,00431af0,007f0f00
00556e90	FUN_00556e90	render	unknown	re/analysis/promote_c1_high_ab3/0x00556e90.md	005d757c
