rva	name	subsystem	reason
00492370	sub_00492370	boot	inline bare [UNCERTAIN] (heading=## why c2)
004a4b6e	__amsg_exit	boot	callee-gate: 004a333c=C1,004ab8d6=C1,004aba4d=C1
004a8a04	FUN_004a8a04	boot	callee-gate: 004a467e=C1,004a774d=C1,004a87f7=C1
004aa3fe	__heap_init	boot	callee-gate: 004aa3e4=C1,004aa44f=C1
004abbea	FUN_004abbea	boot	callee-gate: 004af2b6=C1,004affe0=C1
004abe86	FUN_004abe86	boot	signature-unsupported: fastcall ECX/EDX args
004ac04a	FUN_004ac04a	boot	callee-gate: 004a45fb=C1,004ae29f=C1
004a2c2f	FUN_004a2c2f	boot	callee-gate: 004a2bf7=C1,004a5de3=C1,004a5e35=C1
00402750	sub_00402750	boot	callee-gate: 0041a060=C1,004274d0=C1,004274e0=C1,00428390=C1,00429290=C1,00431b40=C1,0045bae0=C1,004723d0=C1,00484170=C1,004841d0=C1,00496e40=C1,00499ce0=C1,004d8560=C1,00558240=C1
00402a40	sub_00402a40	boot	callee-gate: 004196f0=C1,004210f0=C1,00426c00=C1,0045b930=C1,00467010=C1,00467020=C1,00467070=C1,00484130=C1,00484170=C1,00493f70=C1,00494460=C1,00496970=C1,004b4880=C1,004b6700=C1,004c5930=C1,004ce2d0=C1,004d8560=C1,005581f0=C1,00558240=C1
00492270	sub_00492270	boot	inline bare [UNCERTAIN] (heading=## why c2)
00492290	sub_00492290	boot	inline bare [UNCERTAIN] (heading=## why c2)
004924f0	sub_004924f0	boot	callee-gate: 00431b10=C1
00493540	thunk_FUN_00495150	boot	callee-gate: 00495120=C1,004960a0=C1,00498510=C1
00493550	thunk_FUN_004938c0	boot	callee-gate: 004c3040=C1,004c3270=C1,00550390=C1,00558470=C1
00493560	thunk_FUN_004954f0	boot	callee-gate: 004954f0=C1,00495580=C1,004955c0=C1,00496010=C1,00496370=C1,004963d0=C1
00493900	sub_00493900	boot	callee-gate: 00499730=C1,004a2be9=C1,004a3ac9=C1
004938c0	sub_004938c0	render	callee-gate: 004c3040=C1,004c3270=C1,00550390=C1,00558470=C1
00493710	FUN_00493710	render	callee-gate: 00493640=C1,004951f0=C1,00495270=C1,00495780=C1,004c3040=C1,004c30b0=C1,004c3270=C1,004c32b0=C1,004c5c80=C1,004c9eb0=C1,004c9f50=C1,004c9f60=C1,004cbc60=C1,004cbc70=C1,004cbc80=C1,004cbc90=C1,00550350=C1,00550390=C1,005584c0=C1
00493600	FUN_00493600	render	inline bare [UNCERTAIN] (heading=## why c2)
00499710	FUN_00499710	render	live-state-side-effect: modal Win32 dialog (DialogBoxParam) (in ## mechanical description)
004014b0	FUN_004014b0	boot	callee-gate: 004c0740=C0,004c0c20=C0,004e45b0=C1,004e4860=C1,004e4d90=C1,004e5700=C1,004e6e00=C1
004015a0	FUN_004015a0	boot	callee-gate: 004e6e00=C1
004025f0	FUN_004025f0	boot	callee-gate: 00401630=C1,00401690=C1,00402240=C1,00402590=C1
00403640	FUN_00403640	boot	callee-gate: 004034a0=C1
