rva	name	subsystem	arg_type	note	callees
004a4bb7	entry	boot	unknown	re/analysis/promote_c2_boot_crt/004a4bb7.md	
004a4b6e	__amsg_exit	boot	unknown	re/analysis/promote_c2_boot_crt/004a4b6e.md	004a333c,004ab8d6,004aba4d,006160c4,007739f0
004abbea	FUN_004abbea	boot	unknown	re/analysis/promote_c2_boot_crt/004abbea.md	004abc49,004af2b6,004affe0,005cc4dc
004a2c2f	FUN_004a2c2f	boot	unknown	re/analysis/promote_c2_boot_crt/004a2c2f.md	004a2bf7,004a5de3,004a5e35,00773994
004a333c	__exit	boot	unknown	re/analysis/boot_crt_exit/0x004a333c.md	004a3258,004a334b
004a40fe	___onexitinit	boot	unknown	re/analysis/boot_crt_exit/0x004a40fe.md	004a4124,004a45fb
004a415e	_atexit	boot	unknown	re/analysis/boot_crt_exit/0x004a415e.md	004a4126
00492290	sub_00492290	boot	unknown	re/analysis/boot_app_init/00492290.md	004926c0,00492770,004929d0,00492d20,00492d30,00492e90,00493480,00499690
00493560	thunk_FUN_004954f0	boot	unknown	re/analysis/promote_c2_launch_handshake/00493560.md	0045b350,00493564,004954f0,00495580,004955c0,00496010,00496370,004963d0,00498b60,00498bf0
00499cc0	sub_00499cc0	boot	unknown	re/analysis/boot_app_init/00499cc0.md	007e9584,007e95a8
004a467e	_calloc	boot	unknown	re/analysis/boot_crt_exit/0x004a467e.md	004a4728,004a4737,004a5984,004a59bf,004a787f,004aac76,004aaf72,004aaf90,00773c34
004a57e4	FUN_004a57e4	boot	unknown	re/analysis/boot_crt_exit/0x004a57e4.md	004a5838,00616038
004a87f7	FUN_004a87f7	boot	unknown	re/analysis/boot_crt_exit/0x004a87f7.md	004a7796,004a8813,00616658
004aa44f	___sbh_heap_init	boot	unknown	re/analysis/boot_crt_exit/0x004aa44f.md	004aa495
004ab8d6	FUN_004ab8d6	boot	unknown	re/analysis/boot_crt_exit/0x004ab8d6.md	004a2be9,004a3440,004a34b0,004a9410,004ac45c,004ac560,004ac570,00616038,006160c8,00616890,007739f0
004aba4d	__FF_MSGBANNER	boot	unknown	re/analysis/boot_crt_exit/0x004aba4d.md	004ab8d6,004aba84,006160c8,007739f0,00773c38
00558470	sub_00558470	render	unknown	re/analysis/skeleton_prep_high_leverage/00558470.md	00558484,00558498,005584b5,007d3ff8,007dc8ac,007dc8b8,007dc8bc
004c2f60	FUN_004c2f60	render	unknown	re/analysis/render_promote_c2_rw_plugin/0x004c2f60.md	
004a2cbd	FID_conflict:_wprintf	render	unknown	re/analysis/rw_engine_init/004a2cbd.md	004a2d18,004a504f,00616110
004a45fb	_malloc	boot	unknown	re/analysis/boot_crt_env/004a45fb.md	004a45cf,004a4601,004a4605,004a460a,004a460b,004a460c,00773c34
004a460d	_free	boot	unknown	re/analysis/boot_crt_env/004a460d.md	004a4619,004a461c,004a461e,004a4620,004a4629,004a4636,004a4641,004a4649,004a4650,004a4655,004a4659,004a465b,004a4660,004a466a,004a466c,004a4672,004a4678,004a5984,004a59bf,004a787f,004aa497,004aa4c2,005cc1d0
004a9410	_strlen	boot	unknown	re/analysis/boot_crt_env/004a9410.md	004a943f,004a9440,004a9442,004a9447,004a9449,004a944c,004a944e,004a9451,004a9458
004aaff0	_memcpy	boot	unknown	re/analysis/boot_crt_env/004aaff0.md	004aaff5,004aaffb,004ab004,004ab00a,004ab010,004ab018,004ab01b,004ab01e,004ab023,004ab025,004ab02c,004ab18c
