rva	sub	name	size	n_callees	conv	nargs	ret	arg_type_today	runnable_today	sig_conf	fp	imports	com_d3d	rw_orch	rw_frac	twin	derefs_arg	reads_global	n_globals	cyclic
00401000	hud	FUN_00401000	482	18	cdecl	15	int	-	0	low	0	-	0	1	0.67	ambiguous	1	1	9	0
004011f0	hud	FUN_004011f0	325	9	cdecl	8	int	-	0	low	1	-	0	0	0.33	-	1	1	10	0
004013f0	hud	FUN_004013f0	181	7	cdecl	0	int	-	0	low	0	-	0	0	0.29	-	1	1	3	0
004014b0	boot	FUN_004014b0	182	7	cdecl	0	int	-	0	low	0	-	0	1	1.0	ambiguous	1	1	4	0
004015a0	boot	FUN_004015a0	129	1	fastcall/thiscall	0	int	-	0	low	0	-	0	0	1.0	-	1	1	2	0
00401630	track	FUN_00401630	87	3	cdecl	1	int	int_scalar	1	low	0	-	0	0	0.0	-	0	1	2	0
00401690	render	FUN_00401690	820	2	fastcall/thiscall	0	int	-	0	low	1	-	0	1	0.5	-	1	0	4	0
004019d0	render	FUN_004019d0	973	14	cdecl	23	int	-	0	low	1	-	0	0	0.29	-	1	1	6	0
00401da0	frontend	FUN_00401da0	309	6	cdecl	7	int	-	0	low	1	-	0	1	0.5	-	1	1	4	0
00401f10	render	FUN_00401f10	202	3	cdecl	0	int	-	0	low	0	-	0	0	0.33	-	1	1	2	0
00401fe0	render	FUN_00401fe0	600	7	cdecl	16	int	-	0	low	0	-	0	1	1.0	-	1	0	0	0
00402240	render	FUN_00402240	89	9	cdecl	0	int	none	1	low	0	-	0	1	0.89	-	0	0	0	0
004022a0	render	FUN_004022a0	744	7	cdecl	16	int	-	0	low	0	-	0	1	1.0	-	1	1	0	0
00402590	render	FUN_00402590	89	9	cdecl	0	int	none	1	low	0	-	0	1	0.89	-	0	0	0	0
004025f0	boot	FUN_004025f0	211	4	fastcall/thiscall	13	int	-	0	low	0	-	0	0	0.0	-	1	0	2	0
00402750	boot	sub_00402750	97	2	cdecl	6	int	-	0	low	0	-	0	0	0.0	ambiguous	1	1	2	0
00402a40	boot	sub_00402a40	293	43	cdecl	0	int	none	1	low	0	-	0	0	0.02	-	0	1	5	0
00402b70	util	FUN_00402b70	963	5	fastcall/thiscall	10	int	-	0	low	1	-	0	0	0.4	ambiguous	1	1	14	0
00402fb0	hud	FUN_00402fb0	148	2	cdecl	7	int	-	0	low	1	-	0	0	0.0	-	0	1	3	0
00403050	frontend	FUN_00403050	125	3	cdecl	3	int	-	0	low	0	-	0	0	0.0	-	1	1	3	0
004030d0	util	FUN_004030d0	137	4	cdecl	0	int	-	0	low	1	-	0	0	0.0	-	1	1	7	0
00403250	util	FUN_00403250	581	7	cdecl	1	float	-	0	low	1	-	0	0	0.0	-	0	1	35	0
004034a0	render	FUN_004034a0	412	7	cdecl	4	int	-	0	low	0	-	0	0	0.0	-	1	1	13	0
00403640	boot	FUN_00403640	24	1	cdecl	1	int	int_scalar	1	low	0	-	0	0	0.0	-	0	1	1	0
00403660	boot	FUN_00403660	54	1	cdecl	0	int	-	0	low	0	-	0	0	0.0	-	1	1	2	0
004036a0	render	FUN_004036a0	612	1	cdecl	14	int	-	0	low	1	-	0	0	0.0	-	1	1	2	0
00403910	render	FUN_00403910	170	2	cdecl	5	int	-	0	low	0	-	0	0	0.0	-	1	1	4	0
004039c0	vehicle	FUN_004039c0	23	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	1	2	0
004039f0	util	FUN_004039f0	611	12	cdecl	11	int	-	0	low	1	-	0	0	0.08	ambiguous	1	1	19	0
00403c60	hud	FUN_00403c60	207	1	cdecl	7	void	-	0	low	0	-	0	0	0.0	ambiguous	0	0	0	0
00403db0	render	FUN_00403db0	278	1	cdecl	8	void	-	0	low	0	-	0	0	0.0	ambiguous	0	0	0	0
00403fa0	render	FUN_00403fa0	529	1	cdecl	17	int	-	0	low	1	-	0	0	0.0	-	1	1	11	0
004041c0	render	FUN_004041c0	343	2	cdecl	12	int	-	0	low	1	-	0	0	0.0	-	0	1	11	0
00404650	render	FUN_00404650	79	3	cdecl	0	int	-	0	low	1	-	0	0	0.33	-	1	1	4	0
004046a0	util	FUN_004046a0	377	3	cdecl	1	int	-	0	low	1	-	0	0	0.0	ambiguous	1	1	21	0
00404820	hud	FUN_00404820	13	1	cdecl	0	int	none	1	low	0	-	0	0	1.0	-	0	1	1	0
00404830	boot	FUN_00404830	1474	0	cdecl	0	int	-	0	low	1	-	0	0	0.0	ambiguous	1	1	16	0
00404fa0	render	FUN_00404fa0	1069	5	cdecl	10	int	-	0	low	1	-	0	0	0.4	-	1	1	17	0
00405460	util	FUN_00405460	223	3	cdecl	4	int	-	0	low	1	-	0	0	0.0	-	1	1	8	0
00405540	gameplay	FUN_00405540	495	4	cdecl	1	int	-	0	med	1	-	0	0	0.25	-	1	1	4	0
00405730	gameplay	FUN_00405730	80	1	cdecl	4	int	-	0	low	0	-	0	0	0.0	-	1	1	4	0
00405780	gameplay	FUN_00405780	257	1	cdecl	3	int	-	0	low	0	-	0	0	0.0	-	1	1	2	0
004058e0	gameplay	FUN_004058e0	62	1	cdecl	2	int	-	0	low	0	-	0	0	0.0	-	1	1	2	0
00405920	gameplay	FUN_00405920	398	7	cdecl	11	int	-	0	low	1	-	0	0	0.14	-	1	1	2	0
00405ab0	gameplay	FUN_00405ab0	1192	11	cdecl	13	int	-	0	low	1	-	0	0	0.0	-	1	1	9	0
00405f60	gameplay	FUN_00405f60	261	3	cdecl	0	int	none	1	low	1	-	0	0	0.0	-	0	1	4	0
00406070	gameplay	FUN_00406070	192	3	cdecl	0	int	-	0	low	0	-	0	0	0.0	-	1	1	3	0
00406130	gameplay	FUN_00406130	46	2	cdecl	0	int	none	1	low	0	-	0	1	0.5	-	0	0	2	0
00406160	gameplay	FUN_00406160	522	11	cdecl	9	int	-	0	low	1	-	0	0	0.0	-	1	1	11	0
00406410	gameplay	FUN_00406410	174	5	cdecl	0	int	-	0	low	1	-	0	0	0.0	-	1	1	3	0
004064c0	gameplay	FUN_004064c0	1167	12	cdecl	15	int	-	0	low	1	-	0	0	0.17	-	1	1	16	0
00406950	gameplay	FUN_00406950	115	2	cdecl	1	int	int_scalar	1	low	1	-	0	0	0.0	-	0	1	4	0
004069d0	gameplay	FUN_004069d0	264	3	cdecl	8	int	-	0	low	1	-	0	0	0.33	ambiguous	1	0	6	0
00406ae0	gameplay	FUN_00406ae0	508	7	cdecl	3	int	-	0	low	1	-	0	0	0.0	-	0	1	16	0
00406ce0	util	FUN_00406ce0	1532	22	cdecl	13	int	-	0	low	1	-	0	0	0.23	-	1	1	11	0
004072e0	render	FUN_004072e0	198	2	cdecl	5	int	-	0	low	0	-	0	0	0.0	-	1	1	4	0
004073b0	util	FUN_004073b0	237	4	cdecl	5	int	-	0	low	0	-	0	0	0.0	-	1	1	4	0
004074a0	gameplay	FUN_004074a0	167	3	cdecl	0	int	none	1	low	0	-	0	0	0.33	-	0	1	7	0
00407550	gameplay	FUN_00407550	35	0	cdecl	0	int	-	0	low	0	-	0	0	0.0	-	1	1	2	0
00407580	gameplay	FUN_00407580	17	0	cdecl	1	int	-	0	low	0	-	0	0	0.0	-	1	1	1	0
00407600	util	Player::GetPositionPtr	29	1	cdecl	1	int	-	0	low	0	-	0	0	0.0	-	1	1	1	0
00407800	gameplay	FUN_00407800	498	20	cdecl	7	int	-	0	low	0	-	0	0	0.1	-	0	1	9	0
00407b00	gameplay	FUN_00407b00	99	1	cdecl	1	int	int_scalar	1	low	0	-	0	0	0.0	-	0	0	0	0
00407be0	gameplay	FUN_00407be0	225	1	fastcall/thiscall	2	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
00407cd0	gameplay	FUN_00407cd0	157	1	fastcall/thiscall	2	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
00407e20	gameplay	FUN_00407e20	1895	10	cdecl	14	int	-	0	low	1	-	0	0	0.1	-	1	1	4	0
