rva	sub	name	size	n_callees	conv	nargs	ret	arg_type_today	runnable_today	sig_conf	fp	imports	com_d3d	rw_orch	rw_frac	twin	derefs_arg	reads_global	n_globals	cyclic
005c9d00	util	GetRaceEndTrigger	3	0	cdecl	0	int	none	1	low	0	-	0	0	0.0	-	0	0	0	0
00412880	render	thunk_FUN_00412190	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
00418980	boot	thunk_FUN_0041a060	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
00418990	hud	thunk_FUN_004194f0	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
004189e0	boot	thunk_FUN_004196f0	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
004189f0	frontend	thunk_FUN_00419760	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
00421590	boot	thunk_FUN_004210f0	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
00449ba0	render	thunk_FUN_00449b30	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
00454a20	gameplay	thunk_FUN_004548a0	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
00456c90	gameplay	thunk_FUN_00456c70	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
0045bfd0	gameplay	thunk_FUN_00426060	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
00471eb0	boot	thunk_FUN_00471df0	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
00476430	util	thunk_FUN_00475ef0	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
0047ba10	boot	thunk_FUN_00496970	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
00487e20	render	thunk_FUN_00535700	5	1	cdecl	0	void	none	1	low	0	-	0	0	1.0	-	0	0	0	0
00487e30	render	thunk_FUN_00535910	5	1	cdecl	0	void	none	1	low	0	-	0	0	1.0	-	0	0	0	0
00494ee0	util	thunk_FUN_004d8560	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
00494f00	util	thunk_FUN_00494a80	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
00494f10	util	thunk_FUN_00494480	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
00494f20	boot	thunk_FUN_00494460	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
004951e0	render	thunk_FUN_00495780	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
004955c0	boot	thunk_FUN_00495580	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
004963d0	input	thunk_FUN_00496370	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
0049ead0	particle	thunk_FUN_0049fac0	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
004b5350	render	thunk_FUN_00550b00	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	ok-asc	0	0	0	0
004b5360	render	thunk_FUN_005507b0	5	1	cdecl	0	void	none	1	low	0	-	0	0	1.0	ok-asc	0	0	0	0
004b5370	render	thunk_FUN_00550910	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	ok-asc	0	0	0	0
004b5380	render	thunk_FUN_00550950	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	ok-asc	0	0	0	0
004b5390	render	thunk_FUN_005509b0	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	ok-asc	0	0	0	0
004b53a0	render	thunk_FUN_00550bc0	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	ok-asc	0	0	0	0
004b6540	boot	thunk_FUN_004b6640	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
004b6550	boot	thunk_FUN_004b6700	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
004b6590	render	thunk_FUN_004b67a0	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
004b65b0	vehicle	thunk_FUN_004b68f0	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	ok-asc	0	0	0	0
004b7200	input	thunk_FUN_004b7fd0	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	ok-asc	0	0	0	0
004c4670	render	thunk_FUN_004c4680	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
004c7a60	render	thunk_FUN_004cfa00	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
004cc9e0	render	thunk_FUN_004cc820	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
005ab180	audio	thunk_FUN_005ab620	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	ok-asc	0	0	0	0
005ae4b0	audio	thunk_FUN_004522d0	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	ok-asc	0	0	0	0
005b10d0	audio	thunk_FUN_005b10a0	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	ok-asc	0	0	0	0
005b15d0	audio	thunk_FUN_005b1500	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
0049b300	input	DirectInput8Create	6	0	cdecl	0	void	none	1	low	0	DInput	1	0	0.0	-	0	0	1	0
