rva	subsystem	name	notes
004a2bb8	boot	report_failure	library match VS2003 _report_failure; calls FUN_004a583a(1 0) then ExitProcess(3); D-0462 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name 
004a2be9	boot	__security_check_cookie	cookie@DAT_00616038; calls report_failure(004a2bb8) on mismatch; S-0180 | C1->C2 via lever3-crt-drain-20260523-0245: __fastcall — MSVC /GS stack-cookie checker; FidDB GREEN
004a2bf7	boot	FUN_004a2bf7	writes 6 fn-ptrs to 006160d8..006160ec: __cfltcvt/__fassign/__forcdecpt + LAB labels; U-0187 U-0188 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); F
004a31e1	boot	FUN_004a31e1	wrapper __lock(8) atexit lock; called only by __onexit (004a4126); D-0463 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or CRT library m
004a31ea	boot	FUN_004a31ea	wrapper FUN_004a77eb(8) → LeaveCriticalSection(lock[8]); called by FUN_004a4158; depth-1-fill | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB n
004a333c	boot	__exit	library match VS2003; single call to FUN_004a3258(_Code,1,0) | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or CRT library match confirme
004a34b0	boot	_strncpy	library VS; dword-at-a-time with 0x7efefeff@body; null-detect; no callees | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or CRT library m
004a407e	boot	__onexit_lk	library match VS2003; grows atexit table via realloc; appends fn-ptr at DAT_008ab6cc; globals 008ab6d0 008ab6cc; D-0464 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 00
004a40fe	boot	___onexitinit	library match VS2003; _malloc(0x80); init DAT_008ab6cc/d0; returns 0x18 on alloc fail | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or C
004a4126	boot	__onexit	library VS2003; SEH frame; calls FUN_004a31e1+__onexit_lk+FUN_004a4158; returns __onexit_lk result; S-0181 S-0182 S-0183; U-0189 U-0190 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attes
