rva	subsystem	name	notes
004d8000	frontend	FUN_004d8000	find-in-list then secondary dispatch; walk main list (param_1+0x10) via node+0x30 calling comparator at node+0x20 (param_2 node[0] node[4]); on match walk secondary via node+0x34 calling node+0x24; re
004d8060	render	FUN_004d8060	RW plugin list destructor callback dispatch: walks param_1+0x14 list; calls fn ptr at node+0x24 with (param_2 *node node[1]); advance via node+0x34; returns param_1; 31 callers incl RpLightDestroy/RwF
004d8090	render	FUN_004d8090	RW plugin list copy callback dispatch; walk param_1+0x10 list; call node[0xa] with (param_2 param_3 node[0] node[1]); 4 callers incl FUN_004c0910 clone; U-5360 | batch-render-6-s3 plate at re/analysis
004d80d0	render	FUN_004d80d0	RW dirty-frame queue flush; walk DAT_007d3ff8+0xbc ring; dispatch FUN_004d8280 (LTM-dirty) or FUN_004d8300 (sync-only) per dirty-bit 0; 0 callers (called via fn ptr); U-5361 | batch-render-6-s3 plate 
004d8280	render	FUN_004d8280	RW frame child-sync with LTM concat; recursive walk via param_1+0x9c/+0x98; FUN_004c4600 matrix-concat if dirty-bit 4; clears bits 0xf3; 2 callers FUN_004d80d0+self; U-5362 | batch-render-6-s3 plate a
004d8300	render	FUN_004d8300	RW frame child-sync no matrix-combine; recursive walk via param_1+0x9c/+0x98; sync hooks only; clears bit 0xf7; 2 callers FUN_004d80d0+self; U-5363 | batch-render-6-s3 plate at re/analysis/render_6_c1
004d8350	render	FUN_004d8350	RW single-frame sync entry point; copy local→world matrix if bit 4; iterate first-children via +0x9c; FUN_004d83d0 recurse; clear bits 0xfa; 1 caller FUN_004c0ed0 (RwFrameGetLTM C2); U-5364 | batch-re
004d83d0	render	RwFrameSyncDirtyChildren	recursive child-walker; OR flag+bit2 check; LTM update via FUN_004c4600; sibling chain +0x9c; child +0x98; prior: bucket_004d7ac0/0x004d83d0.md
004d8430	render	rwID_ERRORMODULE_ctor	plugin id=0x40f; size=8; LAB_ label not FUN_; ctor: save offset+INC counter+init 2-dword slot; U-5380
004d8470	render	rwID_ERRORMODULE_dtor	plugin id=0x40f; dtor: DEC counter; returns obj_base; LAB_ not FUN_; U-5381
004d84e0	render	RwResourcesEmptyArena_PopSlot	read+reset 2-dword slot at DAT_007d6c5c+DAT_007d3ff8; writes 0+0x80000000; no callers seen; U-5375; prior: bucket_004d7ac0/0x004d84e0.md
004d8530	render	rwID_PIPEMODULE_ctor	plugin id=0x409; size=0x60; ctor: store offset to DAT_00911ae0; call FUN_004d3db0; NEG/SBB/AND success idiom; LAB_ not FUN_; U-5382 U-5383
004d8550	render	rwID_PIPEMODULE_dtor	plugin id=0x409; dtor: CALL FUN_004d3d50 teardown; returns obj_base; LAB_ not FUN_; U-5384 U-5385
004d8680	render	RwStricmp	canonical stricmp; null-guard; fold uppercase +0x20; stored at vtable+0xf0; prior: bucket_004d7ac0/0x004d8680.md
004d8770	render	RwStringGetSizeAligned	null→DAT_005d8d70; vtable+0xf4 strlen (confirmed=_strlen); (len+4)&~3; prior: bucket_004d7ac0/0x004d8770.md
004d87a0	render	RwStringStreamWrite	null→default; strlen+align; chunk-header write FUN_004cc580 type=0x37002; payload write FUN_004cbe80; U-5377; prior: bucket_004d7ac0/0x004d87a0.md
004d8810	render	RwNativeRasterRead	native raster stream reader; type==2 raw 64B blocks; type==0x13 deinterleave 128B; alloc 0x30002; resolves U-2676; U-3664 U-3665; prior: texture_loader_d3_cont1/0x004d8810.md
004d8a80	render	rwID_RESOURCESMODULE_ctor	plugin id=0x40b; size=0x28; ctor: alloc arena type=0x4040b; init 2x circular list; INC DAT_00911adc; LAB_ not FUN_; U-5386 U-5387
