rva	sub	name	lane	size	n_callees	n_blocking	blocking	arg_hint	n_callers_c2plus	notes
00487e20	render	thunk_FUN_00535700	callee-blocked	5	1	1	00535700:C1	-	2	cluster_0048_first_pass batch_u-s4; THUNK to FUN_00535700 RWS vertex-buffer lock primitive; mask-dispatched stream offsets at RWS-mesh+0x4c..0x90 | batch-render
00487e30	render	thunk_FUN_00535910	callee-blocked	5	1	1	00535910:C1	-	2	cluster_0048_first_pass batch_u-s4; THUNK to FUN_00535910 RWS vertex-buffer unlock; commits locked-bitmask from +0x3c to +0x40 | batch-render-2-s4 plate at re/a
004b5360	render	thunk_FUN_005507b0	callee-blocked	5	1	1	005507b0:C1	-	1	batch_x s2 game viewport/raster/Im2D helpers (mixed bucket; non-Lua/non-CRT plates); matches batch_w s2 render style | batch-render-3-s4 plate at re/analysis/re
0041b440	render	FUN_0041b440	callee-blocked	11	1	1	004e6e00:C1	eax-deref	1	batch_v s1 hud-weapons-effects-and-particle-emitters; wheel-trail-decals + vehicle-icon sprite-batch + decal-color-grid + weapons subsystem (4 launchers + 4 mis
00404820	hud	FUN_00404820	callee-blocked	13	1	1	004e6e00:C1	-	1	 free scene at DAT_00636c00 via FUN_004e6e00; 1 caller FUN_0045b930 | batch-ae-s1
0041a3d0	boot	FUN_0041a3d0	callee-blocked	13	1	1	004e6e00:C1	-	1	promoted_from=re/analysis/boot_app_init_d5/0x0041a3d0.md; batch_u_s5_2026-05-18; FUN_004e6e00(DAT_0063c620); 12B single-call shutdown wrapper
0041c2c0	boot	FUN_0041c2c0	callee-blocked	13	1	1	004e6e00:C1	-	1	promoted_from=re/analysis/boot_app_init_d5/0x0041c2c0.md; batch_u_s5_2026-05-18; FUN_004e6e00(DAT_0063cdb4); 12B single-call shutdown wrapper
0041da80	boot	FUN_0041da80	callee-blocked	13	1	1	004e6e00:C1	-	1	promoted_from=re/analysis/boot_app_init_d5/0x0041da80.md; batch_u_s5_2026-05-18; FUN_004e6e00(DAT_0063d57c); 12B single-call shutdown wrapper
0041de70	boot	FUN_0041de70	callee-blocked	13	1	1	004e6e00:C1	-	1	promoted_from=re/analysis/boot_app_init_d5/0x0041de70.md; batch_u_s5_2026-05-18; FUN_004e6e00(DAT_0063d5e0); 12B single-call shutdown wrapper
0041beb0	render	FUN_0041beb0	callee-blocked	14	1	1	004e6e00:C1	eax-deref	1	batch_v s1 hud-weapons-effects-and-particle-emitters; wheel-trail-decals + vehicle-icon sprite-batch + decal-color-grid + weapons subsystem (4 launchers + 4 mis
