rva	sub	name	lane	size	n_callees	n_blocking	blocking	arg_hint	n_callers_c2plus	notes
0049b300	input	DirectInput8Create	indirect-dispatch	6	0	0		-	1	cluster_0049_first_pass batch_t-s3; input/DInput-adjacent confirmed (32 of 60 input/frontend); also includes render+video glue at 0x4942b0-0x4948 and rain parti
0049c6a0	particle	FUN_0049c6a0	indirect-dispatch	8	0	0		-	0	batch-ad-s1 C1->C2: thin wrapper DeleteCriticalSection(param_1)
0041e8d0	gameplay	FUN_0041e8d0	indirect-dispatch	9	0	0		ecx-this	1	batch_w s1 MIXED[player-slot-state-accessors+gameplay-math-leaves]; small getters/setters + arithmetic leaves around player/vehicle slot state | C1->C2 batch_am
0041e8e0	gameplay	FUN_0041e8e0	indirect-dispatch	9	0	0		ecx-this	1	batch_w s1 MIXED[player-slot-state-accessors+gameplay-math-leaves]; small getters/setters + arithmetic leaves around player/vehicle slot state | C1->C2 batch_am
0041e900	gameplay	FUN_0041e900	indirect-dispatch	9	0	0		ecx-this	1	batch_w s1 MIXED[player-slot-state-accessors+gameplay-math-leaves]; small getters/setters + arithmetic leaves around player/vehicle slot state | C1->C2 batch_am
0041e910	gameplay	FUN_0041e910	indirect-dispatch	9	0	0		ecx-this	1	batch_w s1 MIXED[player-slot-state-accessors+gameplay-math-leaves]; small getters/setters + arithmetic leaves around player/vehicle slot state | C1->C2 batch_am
0041e920	gameplay	FUN_0041e920	indirect-dispatch	9	0	0		ecx-this	1	batch_w s1 MIXED[player-slot-state-accessors+gameplay-math-leaves]; small getters/setters + arithmetic leaves around player/vehicle slot state | C1->C2 batch_am
0041e930	gameplay	FUN_0041e930	indirect-dispatch	9	0	0		ecx-this	1	batch_w s1 MIXED[player-slot-state-accessors+gameplay-math-leaves]; small getters/setters + arithmetic leaves around player/vehicle slot state | C1->C2 batch_am
0041e940	gameplay	FUN_0041e940	indirect-dispatch	9	0	0		ecx-this	1	batch_w s1 MIXED[player-slot-state-accessors+gameplay-math-leaves]; small getters/setters + arithmetic leaves around player/vehicle slot state | C1->C2 batch_am
0041e950	gameplay	FUN_0041e950	indirect-dispatch	9	0	0		ecx-this	1	batch_w s1 MIXED[player-slot-state-accessors+gameplay-math-leaves]; small getters/setters + arithmetic leaves around player/vehicle slot state | C1->C2 batch_am
0041e960	ai	FUN_0041e960	indirect-dispatch	9	0	0		ecx-this	1	lap-line vtable dispatch: calls **(DAT_0063d7e4+0x40)(); 8 bytes; U-3703; D-10561 resolved
0049c6d0	particle	FUN_0049c6d0	indirect-dispatch	10	0	0		ecx-this	0	batch-ad-s1 C1->C2: LeaveCriticalSection(*(LPCRITICAL_SECTION)*param_1)
00489240	sky	SkySecondaryDispatch	indirect-dispatch	11	0	0		eax-deref	1	cluster_0048_first_pass batch_u-s4; sky-secondary-dispatch; vtable[0x12] @DAT_007030ac+0x48; ghost-rename reconciled by sweep-20260518-0514 (Ghidra function ren
004cbb50	render	FUN_004cbb50	indirect-dispatch	11	0	0		stack,ecx-this,eax-deref	2	batch_x s3 RW Image/Texture/Raster + D3D9 + IM3D; many plates carry direct RW catalog names (RwImageCreate, RwCameraFrustumTestSphere, etc.) | batch-render-4-s6
005aea50	audio	FUN_005aea50	indirect-dispatch	11	0	0		eax-deref	3	vtable alloc trampoline DAT_007d3ff8+0x114; jumptable not recoverable; U-1735
004522d0	audio	FUN_004522d0	indirect-dispatch	12	0	0		ecx-this	35	vtable dealloc trampoline DAT_007d3ff8+0x10c; 11-byte body; dispatches via *(*(DAT_007d3ff8)+0x10c); jumptable not recoverable; U-0110 open; drift-promote C1->C
005aea00	audio	FUN_005aea00	indirect-dispatch	12	0	0		-	24	vtable alloc trampoline DAT_007d3ff8+0x108; jumptable not recoverable; U-0125
00550af0	audio	FUN_00550af0	indirect-dispatch	14	0	0		stack,ecx-this,eax-deref	0	EOF checker; vtable dispatch *(*(param_1+0x38)+0x44)(); unrecovered jumptable; D-0343; U-0160 [merged-from-dup: RWS stream EOF/status check; vtable+0x44; indire
0042f020	frontend	FUN_0042f020	indirect-dispatch	15	0	0		ecx-this	1	vehicle flag clear: __fastcall switch(param_1) zeroes byte DAT_007f0e50+in_EAX*0xc; leaf; U-3594; D-4852 cleared; session frontend_c0_promote
