rva	subsystem	name	notes
00095280	util	OpenPizFile	FUN_00495280; path-normalize via FUN_00402b70; logs Opening piz file %s; calls PizOpen; see re/analysis/piz_fsmanager_handler/REPORT.md
000952f0	util	ClosePizFile	FUN_004952f0; logs Closing piz file %s; calls thunk_FUN_004b67a0; see re/analysis/piz_fsmanager_handler/REPORT.md
000b6570	util	PizOpen	FUN_004b6570; thin bool wrapper for PizOpenAndParse; see re/analysis/piz_fsmanager_handler/REPORT.md
000b6710	util	PizWin32Open	FUN_004b6710; BYPASS SITE: CreateFileA(path GENERIC_READ OPEN_EXISTING FILE_FLAG_OVERLAPPED); handle->DAT_007d3e48; alt path via FUN_004a4541 when DAT_007d3e50&1; see re/analysis/piz_fsmanager_handler
000b6770	util	PizWin32Close	FUN_004b6770; BYPASS SITE: CloseHandle on DAT_007d3e48 / alt path _fclose when DAT_007d3e50&1; original Win32 branch (0x004b6792..0x004b679f) does NOT null DAT_007d3e48 after CloseHandle while stdio b
000b67e0	util	PizWin32Read	FUN_004b67e0; BYPASS SITE: ReadFile+GetOverlappedResult async loop on DAT_007d3e48; alt path fseek/fread when DAT_007d3e50&1; see re/analysis/piz_fsmanager_handler/REPORT.md
000b6940	util	PizOpenAndParse	FUN_004b6940; reads piz header+directory into DAT_0090dac0; calls PizWin32Open+PizWin32Read; separate from RW VFS; see re/analysis/piz_fsmanager_handler/REPORT.md
001504d0	util	RtFSManager::FindHandler	FUN_005504d0; walks linked list DAT_007dc754 comparing name via RW vtable DAT_007d3ff8+0xe8; see re/analysis/piz_fsmanager_handler/REPORT.md
00150c30	util	RtFSHandler::GetFileSlot	piz_fsmanager_handler vtable+0x14; slot lookup index*0x60+base; no Win32; see re/analysis/piz_fsmanager_handler/REPORT.md
00150c50	util	RtFSHandler::Open	piz_fsmanager_handler vtable+0x28; path normalize 0x100-byte buf + FUN_00551410/FUN_00551460; see re/analysis/piz_fsmanager_handler/REPORT.md
00150d80	util	RtFSHandler::Close	piz_fsmanager_handler vtable+0x2c; slot[+0x20]=1; CloseHandle([0x005cc088]) on slot[+0x40]; see re/analysis/piz_fsmanager_handler/REPORT.md
00150da0	util	RtFSHandler::ReadAsync	piz_fsmanager_handler vtable+0x30; CreateEventA[0x005cc08c]+ReadFile[0x005cc1a4]+GetLastError[0x005cc0cc]; OVERLAPPED; see re/analysis/piz_fsmanager_handler/REPORT.md
00150f20	util	RtFSHandler::WriteAsync	piz_fsmanager_handler vtable+0x34; CreateEventA[0x005cc08c]+WriteFile[0x005cc1a0]+GetLastError[0x005cc0cc]; OVERLAPPED; see re/analysis/piz_fsmanager_handler/REPORT.md
00151050	util	RtFSHandler::Seek	piz_fsmanager_handler vtable+0x38; SetFilePointer[0x005cc17c]; mode map 1->0 2->1 other->2; handle at slot+0x40; see re/analysis/piz_fsmanager_handler/REPORT.md
