rva	subsystem	name	notes
00404830	boot	FUN_00404830	perm.piz post-mount callee; fills 0x636c08..0x639d67 with 0xffffffff; 13 scalar overrides; stride-6 loop at 0x6390b0; no callees; U-0173 U-0174; promoted S-122
00407600	util	Player::GetPositionPtr	FUN_0047d150((&DAT_00639dc4)[param_1*0x3B])+0x30; player array stride 0x3B; returns float* position for mode-5; D-6474
00409290	util	FUN_00409290	player index range clamp; 109b; walks player list FUN_00426bc0/bd0; clamps *param_1 to [min,max] per entry; wraps to first-entry min; D-8802
004260e0	render	FUN_004260e0	path builder: inline concat ToastArt[sep]tracks[sep]param2[sep]param3+param4 into DAT_008991e0; no callees; 1 caller FUN_00426e10; U-3218 [merged-from-dup: path builder: ToastArt[/|\]tracks[sep]param2
00429620	hud	FUN_00429620	__fastcall; X slide-in animator; 470.0-(1.0-clamp(FUN_004a2c48(),30)*0.033f)*500.0f; range -30→~465; callees FUN_00429300+FUN_004a2c48
0042f020	frontend	FUN_0042f020	vehicle flag clear: __fastcall switch(param_1) zeroes byte DAT_007f0e50+in_EAX*0xc; leaf; U-3594; D-4852 cleared; session frontend_c0_promote
00441820	util	CameraPath::SamplePoint	override table FUN_004098a0 at idx*0xc; two FUN_004c4d20 rotations if entry[0]!=-1; fallback FUN_00426cc0/426d00 delta+rotate -25.0f (0xC1C80000); outputs orientation matrix+scalar; D-6466 | standalon
0045db50	util	FUN_0045db50	float slider DAT_0068fc8c: dir0=dec/1=inc/2=zero/3=fast-dec; clamp [0.0,1.0]; sibling FUN_0045dbe0; U-3483
0045dbe0	util	FUN_0045dbe0	float slider DAT_0068fcbc: dir0=dec/1=inc/2=zero; clamp; then FUN_004943f0(scale*val) if FUN_00493f70(0)!=0; U-3484
004647f0	audio	FUN_004647f0	master volume fader: FUN_0042b8d0 dir; adjust+clamp DAT_006036b8; apply FUN_0045e0f0 to DAT_0088e674 channels; D-10352-fill | C1->C2 batch_ah sweep-20260602-0245
0046baa0	util	FUN_0046baa0	per-vehicle physics state reset; 571b; zeros velocity/force/angular/contact fields at stride 0xd04; inits -1.0f loop+0xffffffff loop; returns 1; leaf; U-3012
0046c5f0	vehicle	FUN_0046c5f0	triangle face normal helper; __fastcall EAX=apex ESI=output; cross-product then FastSqrt normalize; 209b; leaf; callee of VehicleWheelContactSolver 0x0046f6c0; C2 plate: re/analysis/promote_c2_vehicle
0046d570	ai	FUN_0046d570	vehicle forward-angle projection: normalizes +0x88 heading; dots with velocity +0xac; acos*scale → game-angle units; returns float | C1->C2 batch_ak sweep-20260603-0116
00472380	render	FUN_00472380	calls FUN_004c2d90(0,4,cb,cb) then FUN_004e7d40(0x10,0x26990004,lbl,cb,lbl); result→DAT_0086ecd4; returns bool; S-0200 S-0201 U-0207 U-0208; d11007-audit 2026-05-18: subsystem=render confirmed via re/
00476880	util	FUN_00476880	,clamp-vector wrapper; inserts literal 0 as 4th arg; forwards to FUN_00476710; 30 bytes; depth-1-fill
00484170	boot	FUN_00484170	vtable[0x108] alloc 24B rec; [0-1]=param_3[0-1]; [2]=*param_2; [3]=DAT_005cc320/(param_1+0x80); [4-5]=0; pure leaf (vtable); U-3335; skeleton-prep-s5
00484ac0	world-objects	FUN_00484ac0	cluster_0048_first_pass batch_u-s4; multi-cell AABB registration via FUN_00484a50 over X/Z grid (11x11 max, 10 clamp) | C1->C2 batch_aj sweep-20260602-1945
00489ce0	particle	FUN_00489ce0	batch-ac-s3: C1->C2 mechanical; U-3966; no new stubs (no callees)
0048b650	particle	FUN_0048b650	batch-ac-s4 C1->C2; shockwave-pool 2-arg slot alloc+write (64-slot scan+evict; stride 0x18); leaf; U-3993
0048d0f0	particle	FUN_0048d0f0	batch-ac-s5: age-advance leaf; __fastcall+EAX; +0x2c age +0x30 norm +0x38 flag; U-4004..U-4006
0048fe70	render	FUN_0048fe70	world query at position via FUN_00538c80 callback; returns int result; U-0595; S-0598 | batch-render-2-s4 plate at re/analysis/render_2_c1_to_c2_s4/FUN_0048fe70.md; U-4584
