rva	subsystem	name	notes
00425ca0	frontend	FUN_00425ca0	C1->C2 batch-frontend-s3 2026-05-25; spatial-transform setter on RwFrame at param_1+4; void(int,undefined4); reads +0x40/44/48 scales by 0x005cc33c calls FUN_004c1340+FUN_004c1520; caller: FUN_00425d5
00442440	util	FUN_00442440	~390b; copy 16f matrix from FUN_0046d4a0; weighted sums; 3×RwMatrixTranslate+RwMatrix_SetRotAxisAngle; D-6703 [merged-from-dup: full decomp; prior C1 game_state_d4; matrix-vec multiply + velocity scal
00468980	vehicle	VehicleAeroStabilizer	U-2689; airborne aero-stabilize; WS-PHYS-C4-A6B: .asi installed-hook (ECX=record ESI=xform [esp+4]=dt; ABI from A4 dispatch 0x00470943) inline-JMP LIVE; ABIs resolved (FUN_004a3384=CRT acos(double)->S
0046c7d0	vehicle	FUN_0046c7d0	851b; steering-angle updater; heading vs camera via DAT_006146f0/f4/f8; RwMatrix_SetRotAxisAngle on vehicle matrix; mode guard 6/0xb/10
004b42c0	render	FUN_004b42c0	look-at matrix builder: normalize(look=target-camPos), cross(look,up)→right (normalize), cross(right,look)→up (normalize); clear orthonormal flags (004c45f0); RwMatrixMultiply with cam-LTM; FUN_004c14
004c0ed0	render	FUN_004c0ed0	RwFrameGetLTM pattern: tests *(*(param_1+0xa0)+3)&1; if dirty calls FUN_004d8350; returns param_1+0x50 (LTM); 38 callers; batch-render-3-s6 plate at re/analysis/render_3_c1_to_c2_s6/FUN_004c0ed0.md
004c1340	render	FUN_004c1340	frame translate-and-dirty: RwMatrixTranslate on frame+0x10; doubly-linked dirty-list insert at DAT_007d3ff8+0xbc; OR flags |=3 on sub-obj and |=0xc on parent; sibling FUN_004c1680; render_c0_promote_c
004c1480	render	FUN_004c1480	RwFrameTransform: FUN_004c52f0 on frame+0x10; cond dirty-list insert at DAT_007d3ff8+0xbc; flags|=3 at sub+3 flags|=0xc at frame+3; 146b; skeleton_prep_s5-20260522; callee FUN_004c52f0 C1
004c1c10	util	Camera::SetProjection	RwCameraSetProjection wrapper; validates projType in {1 2} at 0x004c1c1c; sets +0x14=projType; FUN_004c0e50+FUN_004c1a70; error str "Invalid projection type" @0x00617fb8; D-6460
004c4270	render	FUN_004c4270	batch_x s3 RW Image/Texture/Raster + D3D9 + IM3D; many plates carry direct RW catalog names (RwImageCreate, RwCameraFrustumTestSphere, etc.) | batch-render-4-s1 plate at re/analysis/render_4_c1_to_c2_
