va	file_off	section	encoding	length	text
0x005cc30c	0x1cc30c	.rdata	ascii	7	cup.dff
0x005cc32f	0x1cc32f	.rdata	ascii	11	?map_%d.dff
0x005cc374	0x1cc374	.rdata	ascii	27	d:\ToastArt\common\perm.piz
0x005cc390	0x1cc390	.rdata	ascii	34	d:\toastart\common\Panel\Panel.piz
0x005cc3b4	0x1cc3b4	.rdata	ascii	40	d:\toastart\common\powerups\powerups.piz
0x005cc3e0	0x1cc3e0	.rdata	ascii	27	Calling BackBuffRasterOpen

0x005cc3fc	0x1cc3fc	.rdata	ascii	13	lensflare-fs8
0x005cc40c	0x1cc40c	.rdata	ascii	6	SemiC2
0x005cc414	0x1cc414	.rdata	ascii	5	SemiC
0x005cc41c	0x1cc41c	.rdata	ascii	29	d:\toastart\common\font36.piz
0x005cc43c	0x1cc43c	.rdata	ascii	31	Calling HardwareShowIntroVideo

0x005cc45c	0x1cc45c	.rdata	ascii	18	Calling PCVS_Init

0x005cc470	0x1cc470	.rdata	ascii	4		OK

0x005cc478	0x1cc478	.rdata	ascii	27	Setting up PIZ file system

0x005cc494	0x1cc494	.rdata	ascii	35	FileName is too long (%dchars max)

0x005cc4c0	0x1cc4c0	.rdata	ascii	8	PLATFORM
0x005cc4cc	0x1cc4cc	.rdata	ascii	4	XBOX
0x005cc4e0	0x1cc4e0	.rdata	ascii	12	[%s] has %d

0x005cc4f0	0x1cc4f0	.rdata	ascii	50	Directory names must have no more than %d letters

0x005cc524	0x1cc524	.rdata	ascii	45	File names must have no more than %d letters

0x005cc577	0x1cc577	.rdata	ascii	27	@	Unable to create texture

0x005cc594	0x1cc594	.rdata	ascii	17		Created texture

0x005cc5a8	0x1cc5a8	.rdata	ascii	53	Attempting to create texture for back buffer (%dx%d)

0x005cc5e0	0x1cc5e0	.rdata	ascii	23	format = D3DFMT_R5G6B5

0x005cc5f8	0x1cc5f8	.rdata	ascii	25	format = D3DFMT_X8R8G8B8

0x005cc618	0x1cc618	.rdata	ascii	70	Video card does NOT support D3DDEVCAPS2_CAN_STRETCHRECT_FROM_TEXTURES

0x005cc660	0x1cc660	.rdata	ascii	62	Video card supports D3DDEVCAPS2_CAN_STRETCHRECT_FROM_TEXTURES

0x005cc6a0	0x1cc6a0	.rdata	ascii	63	Video card does NOT support D3DPTEXTURECAPS_NONPOW2CONDITIONAL

0x005cc6e0	0x1cc6e0	.rdata	ascii	55	Video card supports D3DPTEXTURECAPS_NONPOW2CONDITIONAL

0x005cc718	0x1cc718	.rdata	ascii	8	Bomb.dff
0x005cc764	0x1cc764	.rdata	ascii	12	GrimeSpWheel
0x005cc774	0x1cc774	.rdata	ascii	12	EarthSpWheel
0x005cc784	0x1cc784	.rdata	ascii	11	DirtSpWheel
0x005cc790	0x1cc790	.rdata	ascii	11	SandStWheel
0x005cc79c	0x1cc79c	.rdata	ascii	12	GrimeStWheel
0x005cc7ac	0x1cc7ac	.rdata	ascii	12	EarthStWheel
0x005cc7bc	0x1cc7bc	.rdata	ascii	11	DirtStWheel
0x005cc7c8	0x1cc7c8	.rdata	ascii	11	SandBuWheel
0x005cc7d4	0x1cc7d4	.rdata	ascii	12	GrimeBuWheel
0x005cc7e4	0x1cc7e4	.rdata	ascii	12	EarthBuWheel
0x005cc7f4	0x1cc7f4	.rdata	ascii	11	DirtBuWheel
0x005cc800	0x1cc800	.rdata	ascii	11	SandShWheel
0x005cc80c	0x1cc80c	.rdata	ascii	12	GrimeShWheel
0x005cc81c	0x1cc81c	.rdata	ascii	12	EarthShWheel
0x005cc82c	0x1cc82c	.rdata	ascii	11	DirtShWheel
0x005cc838	0x1cc838	.rdata	ascii	12	SandAtmWheel
0x005cc848	0x1cc848	.rdata	ascii	13	GrimeAtmWheel
0x005cc858	0x1cc858	.rdata	ascii	13	EarthAtmWheel
0x005cc868	0x1cc868	.rdata	ascii	12	DirtAtmWheel
0x005cc878	0x1cc878	.rdata	ascii	11	SandAdWheel
0x005cc884	0x1cc884	.rdata	ascii	12	GrimeAdWheel
0x005cc894	0x1cc894	.rdata	ascii	12	EarthAdWheel
0x005cc8a4	0x1cc8a4	.rdata	ascii	11	DirtAdWheel
0x005cc8b0	0x1cc8b0	.rdata	ascii	8	SandBody
0x005cc8bc	0x1cc8bc	.rdata	ascii	9	GrimeBody
0x005cc8c8	0x1cc8c8	.rdata	ascii	9	EarthBody
0x005cc8d4	0x1cc8d4	.rdata	ascii	8	DirtBody
0x005cc8e0	0x1cc8e0	.rdata	ascii	12	gamesave.bin
0x005cc92c	0x1cc92c	.rdata	ascii	26	tween is less than 0.0f!!

0x005cc952	0x1cc952	.rdata	ascii	28	@?roll %f, pitch %f, yaw %f

0x005cca10	0x1cca10	.rdata	ascii	10	%s%s%s.dff
0x005cca1c	0x1cca1c	.rdata	ascii	21	ToastArt/common/perm/
0x005cca34	0x1cca34	.rdata	ascii	8	Copters/
0x005cca74	0x1cca74	.rdata	ascii	36	Invalid number of cars in race (%d)

0x005cca9c	0x1cca9c	.rdata	ascii	22	Invalid position (%d)

