pc_va,xbox_va,size,tier,xbox_in_text,pc_name,subsystem,confidence
0x004014b0,0x001e6af0,182,full,1,FUN_004014b0,boot,C2
0x00405890,0x001dde90,26,full,1,FUN_00405890,vehicle,C2
0x004098b0,0x001da6b0,28,full,1,LoadingState1Enter,util,C4
0x004098d0,0x001da680,33,full,1,FUN_004098d0,gameplay,C2
0x00409930,0x001da640,31,full,1,LoadingState3Enter,util,C4
0x00409950,0x001da620,26,full,1,FUN_00409950,gameplay,C2
0x00409970,0x001da5f0,41,full,1,FUN_00409970,gameplay,C2
0x0040acd0,0x001db770,49,full,1,FUN_0040acd0,frontend,C2
0x0040bae0,0x001d8190,44,full,1,FUN_0040bae0,gameplay,C2
0x0040cf40,0x00058f60,57,full,1,FUN_0040cf40,gameplay,C2
0x00412010,0x001d0bd0,61,full,1,FUN_00412010,gameplay,C2
0x00412100,0x001d0b70,38,full,1,FUN_00412100,render,C2
0x00412890,0x001d0ab0,86,prefix,1,FUN_00412890,boot,C2
0x0041b340,0x001c68e0,246,full,1,FUN_0041b340,hud,C2
0x0041b630,0x001c6c10,33,full,1,HudSlotLoopB630,hud,C3
0x00420d00,0x0016e870,59,full,1,FUN_00420d00,boot,C2
0x00421a90,0x0016dd00,262,prefix,1,FUN_00421a90,render,C2
0x004248b0,0x001bf9f0,112,prefix,1,PerCarSnapshotInit,vehicle,C3
0x00424920,0x001bf790,608,full,1,EndOfRoundAccumulator,frontend,C3
0x00425ea0,0x001bf280,47,full,1,FUN_00425ea0,frontend,C2
0x00426d90,0x001bd970,34,full,1,FUN_00426d90,frontend,C2
0x004274e0,0x001bc5c0,124,prefix,1,FUN_004274e0,frontend,C2
0x00427620,0x001bc500,94,full,1,FontText_HudShutdown,hud,C2
0x0042ac50,0x0019cf50,49,full,1,FUN_0042ac50,frontend,C2
0x0042c1a0,0x0019ca90,20,full,1,FUN_0042c1a0,util,C2
0x0042e3a0,0x001ab120,487,prefix,1,MenuChromeShellA,frontend,C4
0x0042f020,0x0019c1b0,99,full,1,FUN_0042f020,frontend,C2
0x0042f8d0,0x0019fb30,297,prefix,1,MenuMenusBC,frontend,C2
0x00430910,0x0019bc60,138,full,1,MenuOptionSlotGet,frontend,C3
0x0043bf30,0x001b2710,197,prefix,1,FUN_0043bf30,frontend,C2
0x004540c0,0x0017eb90,109,full,1,DepthChargePerFrameTeardown,powerups,C2
0x00454130,0x0017eb50,58,full,1,FUN_00454130,render,C2
0x00454790,0x0017eb00,37,full,1,FUN_00454790,gameplay,C2
0x004547c0,0x0017e9f0,84,full,1,FUN_004547c0,gameplay,C2
0x00456c70,0x0017b240,24,full,1,FUN_00456c70,gameplay,C2
0x0045bac0,0x001728d0,28,full,1,PowerupSlotDeactivate,powerups,C2
0x004723d0,0x0014d230,303,full,1,FUN_004723d0,boot,C2
0x004725c0,0x0014d1a0,41,full,1,FUN_004725c0,render,C2
0x0047a180,0x0013fda0,38,full,1,FUN_0047a180,render,C2
0x0047a1e0,0x0013fcd0,154,full,1,SkyFilename_Handler,track,C2
0x0047a280,0x0013fc30,155,full,1,FUN_0047a280,track,C2
0x0047a3a0,0x0013fb10,155,full,1,FUN_0047a3a0,track,C2
0x0047a4a0,0x0013fa10,155,full,1,FUN_0047a4a0,track,C2
0x0047a610,0x0013f8a0,155,full,1,FUN_0047a610,track,C2
0x0047b200,0x0013ed10,35,full,1,FUN_0047b200,render,C2
0x0047b230,0x0013ecf0,31,full,1,FUN_0047b230,render,C2
0x0047b480,0x0013eba0,128,prefix,1,FUN_0047b480,gameplay,C2
0x0047b5b0,0x0013ea70,120,prefix,1,FUN_0047b5b0,gameplay,C2
0x0047b6b0,0x0013ea00,112,prefix,1,FUN_0047b6b0,gameplay,C2
0x0047f380,0x00139dd0,206,prefix,1,FUN_0047f380,gameplay,C2
