pc_va,xbox_va,tier,pc_name,subsystem,confidence,scaffold
0x00401000,0x001e6e80,string,FUN_00401000,hud,C2,ambiguous
0x004014b0,0x001e6af0,byte-full,FUN_004014b0,boot,C2,ambiguous
0x00402750,0x001e4570,string,sub_00402750,boot,C2,ambiguous
0x00402b70,0x001e37d0,string,FUN_00402b70,util,C2,ambiguous
0x004039f0,0x001e26e0,const,FUN_004039f0,util,C2,ambiguous
0x00403c60,0x001e22d0,mnem,FUN_00403c60,hud,C2,ambiguous
0x00403d30,0x001e2250,mnem,Render_00403d30,render,C3,ambiguous
0x00403db0,0x001e2130,mnem,FUN_00403db0,render,C2,ambiguous
0x00403ed0,0x001e2060,mnem,Render_00403ed0,render,C3,ambiguous
0x004046a0,0x001e1980,const,FUN_004046a0,util,C2,ambiguous
0x00404830,0x001e12e0,const,FUN_00404830,boot,C2,ambiguous
0x00405890,0x001dde90,byte-full,FUN_00405890,vehicle,C2,ambiguous
0x004069d0,0x001ddaf0,const,FUN_004069d0,gameplay,C2,ambiguous
0x00408610,0x001dd4e0,const,FUN_00408610,gameplay,C2,ambiguous
0x004093b0,0x001dcad0,const,FUN_004093b0,gameplay,C2,ambiguous
0x004095a0,0x001db9a0,string,FUN_004095a0,gameplay,C2,ambiguous
0x004096a0,0x001dbc40,mnem,FUN_004096a0,gameplay,C2,ok-asc
0x00409710,0x001dbdf0,string,FUN_00409710,render,C2,ambiguous
0x004098b0,0x001da6b0,byte-full,LoadingState1Enter,util,C4,ambiguous
0x004098d0,0x001da680,byte-full,FUN_004098d0,gameplay,C2,ambiguous
0x00409930,0x001da640,byte-full,LoadingState3Enter,util,C4,ambiguous
0x00409950,0x001da620,byte-full,FUN_00409950,gameplay,C2,ambiguous
0x00409970,0x001da5f0,byte-full,FUN_00409970,gameplay,C2,flag
0x0040acd0,0x001db770,byte-full,FUN_0040acd0,frontend,C2,ambiguous
0x0040b090,0x001da240,const,sub_0040b090,render,C2,ambiguous
0x0040baa0,0x001d74e0,mnem,FUN_0040baa0,gameplay,C2,ambiguous
0x0040bae0,0x001d8190,byte-full,FUN_0040bae0,gameplay,C2,ok-asc
0x0040bbb0,0x001d8330,string,FUN_0040bbb0,boot,C2,ok-asc
0x0040be50,0x001d8580,prop-weak,FUN_0040be50,gameplay,C2,ok-asc
0x0040c5b0,0x001d8e10,mnem,FUN_0040c5b0,gameplay,C2,ambiguous
0x0040ca00,0x001d7cc0,const,FUN_0040ca00,gameplay,C2,ambiguous
0x0040cea0,0x001d5780,string,FUN_0040cea0,track,C2,ambiguous
0x0040cf40,0x00058f60,byte-full,FUN_0040cf40,gameplay,C2,ambiguous
0x0040dcb0,0x001d2880,const,FUN_0040dcb0,gameplay,C2,ambiguous
0x0040eee0,0x001d3890,const,FUN_0040eee0,frontend,C2,ambiguous
0x004113b0,0x001d1970,prop-weak,FUN_004113b0,boot,C2,ambiguous
0x00411f30,0x001d0c10,string,FUN_00411f30,vehicle,C2,ambiguous
0x00412010,0x001d0bd0,byte-full,FUN_00412010,gameplay,C2,flag
0x00412050,0x001d1640,const,FUN_00412050,render,C2,ambiguous
0x00412100,0x001d0b70,byte-full,FUN_00412100,render,C2,ambiguous
0x00412890,0x001d0ab0,byte-prefix,FUN_00412890,boot,C2,ambiguous
0x00412f30,0x001cfc00,const,FUN_00412f30,util,C2,ambiguous
0x00413cb0,0x00171d10,const,FUN_00413cb0,hud,C2,ambiguous
0x00413fe0,0x001cae80,mnem,FUN_00413fe0,ai,C2,ambiguous
0x00414180,0x001cad20,const,FUN_00414180,util,C2,flag
0x004148b0,0x001cb8d0,const,FUN_004148b0,ai,C2,ok-asc
0x00415220,0x001cca70,const,FUN_00415220,ai,C2,flag
0x004177b0,0x001cc1b0,const,FUN_004177b0,ai,C2,ambiguous
0x00418db0,0x001c89c0,mnem,FUN_00418db0,render,C2,ambiguous
0x00419090,0x001c86a0,mnem,FUN_00419090,gameplay,C2,ambiguous
0x00419100,0x001c8330,const,FUN_00419100,gameplay,C2,ambiguous
0x00419480,0x001c82c0,mnem,FUN_00419480,gameplay,C2,flag
0x00419760,0x001c8d00,const,FUN_00419760,vehicle,C2,ok-asc
0x0041a060,0x001c96e0,string,FUN_0041a060,gameplay,C2,ambiguous
0x0041a1e0,0x001c8170,string,FUN_0041a1e0,boot,C2,ambiguous
0x0041a400,0x001c7ea0,prop-weak,FUN_0041a400,gameplay,C2,ambiguous
0x0041a8d0,0x001c79e0,string,FUN_0041a8d0,gameplay,C2,ambiguous
0x0041ad60,0x001c6b90,mnem,FUN_0041ad60,render,C2,ambiguous
0x0041adb0,0x001c6b20,mnem,FUN_0041adb0,render,C2,flag
0x0041ae20,0x001c6c40,const,FUN_0041ae20,render,C2,ambiguous
0x0041ae60,0x001c6a30,mnem,FUN_0041ae60,render,C2,ambiguous
0x0041af00,0x001c69e0,mnem,FUN_0041af00,render,C2,flag
0x0041af50,0x001c6d70,const,FUN_0041af50,render,C2,ambiguous
0x0041b340,0x001c68e0,byte-full,FUN_0041b340,hud,C2,flag
0x0041b450,0x001c73e0,string,FUN_0041b450,boot,C2,flag
0x0041b630,0x001c6c10,byte-full,HudSlotLoopB630,hud,C3,ambiguous
0x0041b690,0x001c6060,prop-mnem,FUN_0041b690,render,C2,ambiguous
0x0041bc50,0x001c5d70,mnem,FUN_0041bc50,hud,C2,flag
0x0041bec0,0x001c6820,string,FUN_0041bec0,boot,C2,ambiguous
0x0041c100,0x001c5ce0,string,FUN_0041c100,boot,C2,ambiguous
