entry,size,nmnem,mnemhash,strings,callees,imms,datafps
0x00401000,482,111,9160842c7fdb14884132b3da0ae15109bf954a4f,"cup.dff","4671a0;4c1800;4c1840;4e5850;4a2b60;4b3bf0;4b5320;4b4080;53fbb0;4e4dd0;4e4900;4e4dd0;4c0b30;4c0740;4e4b90;4e4900;4e48e0;4e4810;4e4810;4e4450;4a2be9","","4ee640bb75980000"
0x004011f0,325,89,085f61a08865a2232e8139d893ff8204aa3b1af0,"","429300;4a2c48;4c15c0;4c1340;4c1520;4c13e0;4c1480;4c0e50;4c1340;4c1480;4b42c0","","8988083d0ad7233c|0000803f8988083d|000040400000803f|000000000000803f|9a99193f00004040|9a99d93f9a99193f"
0x00401340,162,48,bc52ea6d2b2afb9b0a45a4e2b5e06a4c7b321d9d,"","4b4080;42f6a0;42f6a0","","0ad7233c0000003f"
0x004013f0,181,61,acc77ac9647f096a1da7bfbfeb8da0c741e40e58,"","4c19f0;426060;4e4350;4e4320;4011f0;4c1a00;4e6680;4c19f0;4e4350;426060;4e4320;4c1a00","",""
0x004014b0,182,53,86612eede467f4caba130a0b35b54300d973f8b8,"","4e4860;4e4860;4c0c20;4c0740;4e4d90;4c0c20;4c0740;4e4d90;4e45b0;4e5700;4e6e00","",""
0x00401570,37,11,98ec2884c4332efd78448bbc4b25b1474fe7102f,"","","",""
0x004015a0,126,49,06e7dcbaa8481ebb34ae1cffa30a861da93b5f38,"","4e6e00;4e6e00;4e6e00","fffffff0",""
0x00401630,87,19,3b0b058a3167df1934cd919e41b9cdf4f63625c8,"map_%d.dff","4a2b60;4b3bf0;4a2be9","","4ee640bb75980000"
0x00401690,820,292,c689d551817d933d5dea57461e28c1a38ff0763e,"","4b3f90;4c3ac0","fffffff8|fffffffc","0000003f6d61705f|0000803f8988083d|000080bf3333333f"
0x004019d0,973,267,cbac1c6242545244514227565bd0eba3ea1dec68,"","40e340;426cf0;467210;4c51a0;4c4d20;4c5010;4c51a0;4c1480;46d4a0;4c1480;4c1480;4c13e0;4b4080;426cf0;412130;426d00;426d00;4c1340;4b42c0;4c1480;4c13e0;4b4080","20003|fffffffc","0000803f00000000|0000803f8988083d|0000003f6d61705f|000000000000803f"
0x00401da0,309,92,bc437a71c9c135a694e512c6cd3005f21db75a49,"","426cf0;467210;4c51a0;4c4d20;4c4d20;4c5010;4c51a0;4c1480","20003","3333333f0000a0c0|0000803f8988083d"
0x00401ee0,40,12,344e9f2fad60c078bf3eb307a1cb78c8e50cbede,"","401570;401da0;4e6680","",""
0x00401f10,202,70,9051fee6ae0be68219d46a7b7332c9bc37fcef8e,"","4e6680;40e340;4e6680;40e340;412130;4e6680;412130","",""
0x00401fe0,600,179,56be9d5b33eee61efb3613afbc8c7e1947acdd5e,"","4e7fa0;4e8c70;4e8910;4e8940;4e8640;4e8a10;4e8030","",""
